Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																							
Дата голосования: 04.12.2011																																																																							
																																																																							
Наименование Избирательной комиссии:    Вельская																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222					
1	"Число избирателей, внесенных в список избирателей"	45257	1448	945	1438	1038	1203	1152	2226	171	1237	1724	1674	1632	870	1421	668	124	173	848	1213	188	289	257	136	113	793	113	1004	1178	806	987	1179	222	339	150	1127	1420	505	415	363	75	151	526	1202	120	157	758	242	192	298	130	1658	823	314	813	274	305	260	483	534	1485	154	578	322	614					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44530	1500	950	1300	1050	1200	1150	2300	150	1200	1750	1650	1650	850	1400	650	100	200	800	1200	190	250	250	130	100	800	100	1000	1150	800	1000	1150	200	300	150	1150	1400	500	400	350	70	140	500	1250	100	150	750	200	150	300	100	1650	800	300	800	250	300	250	450	500	1500	150	550	300	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	18616	676	400	615	505	562	459	1092	89	455	704	659	574	416	465	194	69	28	411	431	49	152	63	74	67	306	39	423	467	281	533	431	96	147	59	527	625	217	167	163	43	87	244	344	55	76	342	122	84	148	32	544	309	121	440	104	138	88	162	172	522	87	255	146	261					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2870	22	29	116	14	17	31	61	14	12	30	19	173	8	61	35	3	93	35	111	54	12	104	13	21	61	23	33	22	25	37	24	30	25	24	45	32	77	42	23	4	16	56	155	18	12	45	37	28	39	54	139	74	29	79	34	25	23	42	44	137	14	82	38	35					
6	Число погашенных избирательных бюллетеней	23000	802	521	569	531	621	660	1147	47	733	1016	972	903	426	874	421	28	79	354	614	87	86	83	43	12	433	38	544	661	494	430	695	74	128	67	578	743	206	191	164	23	37	200	751	27	62	363	41	38	113	14	967	417	150	281	112	137	139	246	284	841	49	213	116	304					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2914	22	29	116	14	17	31	61	14	12	30	19	173	8	61	35	3	93	35	155	54	12	104	13	21	61	23	33	22	25	37	24	30	25	24	45	32	77	42	23	4	16	56	155	18	12	45	37	28	39	54	139	74	29	79	34	25	23	42	44	137	14	82	38	35					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18613	676	400	615	505	561	459	1092	89	455	704	659	574	416	465	194	69	28	411	431	49	152	63	74	67	306	39	423	467	281	533	431	96	147	59	527	623	217	167	163	43	87	244	344	55	76	342	122	84	148	32	544	309	121	440	104	138	88	162	172	522	87	255	146	261					
9	Число недействительных избирательных бюллетеней	202	10	7	9	6	7	5	10	2	2	7	8	12	2	7	0	0	0	6	5	0	1	0	0	1	3	0	7	5	1	10	8	0	0	0	6	4	1	1	0	0	1	3	4	0	1	1	0	0	1	0	5	0	1	7	1	2	1	3	2	7	0	5	1	3					
10	Число действительных избирательных бюллетеней	21325	688	422	722	513	571	485	1143	101	465	727	670	735	422	519	229	72	121	440	581	103	163	167	87	87	364	62	449	484	305	560	447	126	172	83	566	651	293	208	186	47	102	297	495	73	87	386	159	112	186	86	678	383	149	512	137	161	110	201	214	652	101	332	183	293					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	611	10	10	13	15	10	15	58	0	10	10	10	40	10	10	0	5	0	9	10	5	8	10	5	5	10	5	10	10	10	15	10	5	8	10	10	12	11	5	8	5	5	7	10	5	5	7	8	5	7	5	10	12	5	37	5	5	5	5	7	10	5	7	5	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	427	9	10	10	12	9	12	58	0	6	10	9	18	5	3	0	2	0	9	5	1	7	10	0	2	4	0	5	4	4	9	5	4	5	1	10	11	11	5	8	5	5	5	10	2	1	4	8	1	7	4	10	11	5	17	5	5	2	3	5	10	0	5	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	306	5	9	46	7	8	10	19	0	8	9	6	15	4	21	5	4	5	6	5	1	5	1	0	4	4	1	2	2	2	4	2	1	5	0	5	6	6	0	1	1	2	5	2	2	1	5	2	1	4	0	7	3	1	0	0	4	0	5	2	5	1	1	6	2					
14	Число погашенных неиспользованных открепительных удостоверений	184	1	0	3	3	1	3	0	0	4	0	1	22	5	7	0	3	0	0	5	4	1	0	5	3	6	5	5	6	6	6	5	1	3	9	0	1	0	0	0	0	0	2	0	3	4	3	0	4	0	1	0	1	0	20	0	0	3	2	2	0	5	2	5	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	36	6	0	0	1	1	1	1	1	0	2	5	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4893	161	84	149	143	148	121	311	23	121	177	190	191	111	135	51	6	29	87	133	23	41	33	12	18	51	5	116	123	67	144	97	31	41	13	149	169	70	51	35	6	29	54	105	6	12	80	31	20	39	8	150	89	35	128	31	30	13	44	35	149	12	48	33	46					
