Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																									
Дата голосования: 02.12.2007																																																																									
																																																																									
Наименование Избирательной комиссии:    Вельская																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224					
1	"Число избирателей, внесенных в списки избирателей"	45803	1609	1030	1547	1139	1702	1312	1978	381	1191	1738	1698	1390	895	1319	673	289	179	733	1058	110	168	271	305	130	93	721	130	1061	1249	821	1048	1177	186	302	176	1052	1443	468	362	90	132	575	1118	102	144	745	235	176	307	133	1646	718	313	864	255	265	269	404	431	1593	153	549	315	639	121	377					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	38050	1400	850	1200	1000	1300	1000	1700	300	800	1500	1200	1100	700	1000	500	280	150	600	920	100	150	260	270	120	110	650	120	800	1000	650	900	900	200	300	150	900	1100	400	320	80	120	500	850	100	220	700	220	160	300	130	1500	700	300	800	200	220	200	300	350	1400	140	450	260	550	100	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22282	742	461	747	535	766	582	972	170	503	749	727	612	434	557	227	247	54	433	535	58	81	156	114	80	43	374	79	585	652	369	686	592	116	167	80	579	620	248	222	48	100	243	633	70	99	407	140	107	165	60	744	383	158	441	139	174	123	189	191	592	86	318	178	305	68	167					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2630	19	26	12	16	25	41	39	26	13	34	21	14	11	34	27	30	96	60	85	24	50	8	81	6	4	75	7	30	34	57	37	29	21	28	37	29	24	76	19	15	13	99	73	18	8	35	41	24	54	50	144	95	14	16	38	36	23	55	58	138	26	90	27	52	28	55					
6	Число погашенных избирательных бюллетеней	13138	639	363	441	449	509	377	689	104	284	717	452	474	255	409	246	3	0	107	300	18	19	96	75	34	63	201	34	185	314	224	177	279	63	105	33	292	456	76	79	17	7	158	144	12	113	258	39	29	81	20	612	222	128	343	23	10	54	56	101	670	28	42	55	193	4	78					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2630	19	26	12	16	25	41	39	26	13	34	21	14	11	34	27	30	96	60	85	24	50	8	81	6	4	75	7	30	34	57	37	29	21	28	37	29	24	76	19	15	13	99	73	18	8	35	41	24	54	50	144	95	14	16	38	36	23	55	58	138	26	90	27	52	28	55					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22273	742	461	747	535	765	581	972	170	503	749	727	612	434	557	227	247	54	433	535	58	81	155	114	80	43	374	79	585	652	368	686	592	116	167	80	579	619	248	222	48	100	243	630	70	99	407	140	107	165	60	744	383	158	441	139	174	123	188	191	592	86	318	178	305	68	167					
9	Число недействительных избирательных бюллетеней	173	5	5	9	2	5	3	10	1	2	2	8	2	3	9	3	3	0	2	1	0	1	0	0	1	1	3	0	10	6	3	10	7	0	1	0	3	2	2	2	0	0	1	8	0	0	7	1	0	0	1	6	3	2	0	0	0	2	0	0	3	1	3	2	2	4	0					
10	Число действительных избирательных бюллетеней	24730	756	482	750	549	785	619	1001	195	514	781	740	624	442	582	251	274	150	491	619	82	130	163	195	85	46	446	86	605	680	422	713	614	137	194	117	605	641	322	239	63	113	341	695	88	107	435	180	131	219	109	882	475	170	457	177	210	144	243	249	727	111	405	203	355	92	222					
