Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																						
Дата голосования: 07.12.2003 0:00:00																																																						
																																																						
Наименование Избирательной комиссии:    Горьковская																																																						
																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																						
																																																						
		Сумма	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151					
1	"Число избирателей, внесенных в списки"	17957	211	127	236	891	719	143	261	103	132	79	717	1101	1292	1054	1157	389	210	170	193	109	76	100	563	147	617	76	67	227	827	132	861	105	584	209	390	138	198	711	192	130	171	923	322	332	138	218	209					
2	"Число бюллетеней, полученных участковыми комиссиями"	17845	211	129	245	933	695	143	260	97	128	76	704	1044	1269	1043	1138	386	209	169	195	111	74	100	558	144	634	78	67	228	829	135	862	103	564	206	386	136	202	718	197	136	170	928	324	322	132	221	206					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10920	133	89	150	562	495	132	170	86	110	47	308	569	665	570	590	197	165	111	122	84	58	73	333	117	359	65	48	160	504	92	593	80	432	142	275	68	149	429	146	61	80	480	160	202	99	160	200					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	884	15	0	22	40	88	0	0	0	0	6	161	34	14	27	32	25	14	17	16	0	3	0	25	20	26	3	0	26	58	7	49	0	0	0	3	11	10	29	3	0	4	52	31	3	0	10	0					
6	Число погашенных бюллетеней	6041	63	40	73	331	112	11	90	11	18	23	235	441	590	446	516	164	30	41	57	27	13	27	200	7	249	10	19	42	267	36	220	23	132	64	108	57	43	260	48	75	86	396	133	117	33	51	6					
7	Число бюллетеней в переносных ящиках для голосования	884	15	0	22	40	88	0	0	0	0	6	161	34	14	27	32	25	14	17	16	0	3	0	25	20	26	3	0	26	58	7	49	0	0	0	3	11	10	29	3	0	4	52	31	3	0	10	0					
8	Число бюллетеней в стационарных ящиках для голосования	10918	133	89	150	562	494	132	170	86	110	47	308	569	665	570	590	197	165	111	122	84	58	73	333	117	359	65	48	160	504	92	593	80	432	142	275	68	149	429	146	61	80	480	160	201	99	160	200					
9	Число недействительных бюллетеней	156	0	2	5	13	0	0	1	0	0	2	16	7	6	12	7	9	0	0	3	1	6	1	4	1	7	0	0	3	7	1	4	3	1	0	6	0	2	3	0	1	0	16	2	1	0	3	0					
10	Число действительных бюллетеней	11646	148	87	167	589	582	132	169	86	110	51	453	596	673	585	615	213	179	128	135	83	55	72	354	136	378	68	48	183	555	98	638	77	431	142	272	79	157	455	149	60	84	516	189	203	99	167	200					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	6	6	6	10	6	6	6	6	6	6	6	13	11	11	9	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	6	6	6	6	6	6	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	60	0	0	0	7	0	0	0	0	0	0	0	12	11	8	8	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	3	0	1	0	1	0	0	1	0	0	0	2	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	52	2	0	1	2	0	1	1	2	0	1	0	1	2	4	2	1	1	1	1	1	0	0	1	2	0	1	1	0	3	1	3	1	4	1	1	2	1	0	0	0	1	1	1	2	1	0	0					
14	Число погашенных открепительных удостоверений	240	6	6	6	3	6	6	6	6	6	6	6	1	0	3	1	6	5	5	6	6	6	6	4	6	5	6	6	6	6	6	3	6	5	6	5	6	6	5	6	0	6	4	6	5	6	6	6					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
18	"1. ""ЕДИНЕНИЕ"""	273	5	1	0	10	10	4	9	5	0	0	12	10	13	12	9	8	11	4	7	5	3	2	2	5	15	1	3	7	15	2	14	1	11	8	12	1	5	9	1	0	0	3	3	3	0	5	7					
		2.31%	3.37%	1.12%	0.0%	1.66%	1.71%	3.03%	5.29%	5.81%	0.0%	0.0%	2.55%	1.65%	1.91%	2.01%	1.44%	3.60%	6.14%	3.12%	5.07%	5.95%	4.91%	2.73%	0.55%	3.64%	3.89%	1.47%	6.25%	3.76%	2.66%	2.02%	2.18%	1.25%	2.54%	5.63%	4.31%	1.26%	3.14%	1.96%	0.67%	0.0%	0.0%	0.56%	1.57%	1.47%	0.0%	2.94%	3.5%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	150	1	0	1	3	9	6	0	3	0	0	1	13	14	18	2	4	0	0	3	1	0	0	2	1	5	0	0	1	10	4	14	0	4	1	0	0	5	3	0	0	2	3	2	7	1	6	0					
		1.27%	0.67%	0.0%	0.58%	0.49%	1.54%	4.54%	0.0%	3.48%	0.0%	0.0%	0.21%	2.15%	2.06%	3.01%	0.32%	1.80%	0.0%	0.0%	2.17%	1.19%	0.0%	0.0%	0.55%	0.72%	1.29%	0.0%	0.0%	0.53%	1.77%	4.04%	2.18%	0.0%	0.92%	0.70%	0.0%	0.0%	3.14%	0.65%	0.0%	0.0%	2.38%	0.56%	1.04%	3.43%	1.01%	3.52%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	414	5	3	7	13	27	7	2	0	3	3	19	19	14	14	23	23	5	3	2	1	2	2	16	9	21	7	0	1	15	4	14	6	13	3	12	5	6	12	0	0	3	23	12	16	5	12	2					
		3.50%	3.37%	3.37%	4.06%	2.15%	4.63%	5.30%	1.17%	0.0%	2.72%	5.66%	4.05%	3.15%	2.06%	2.34%	3.69%	10.36%	2.79%	2.34%	1.44%	1.19%	3.27%	2.73%	4.46%	6.56%	5.45%	10.29%	0.0%	0.53%	2.66%	4.04%	2.18%	7.5%	3.00%	2.11%	4.31%	6.32%	3.77%	2.62%	0.0%	0.0%	3.57%	4.32%	6.28%	7.84%	5.05%	7.05%	1.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	131	0	0	1	4	6	3	0	0	0	1	9	5	6	10	5	3	1	2	0	0	1	0	3	0	6	0	0	4	5	1	23	0	3	1	6	1	2	11	0	0	0	3	0	4	1	0	0					
		1.10%	0.0%	0.0%	0.58%	0.66%	1.03%	2.27%	0.0%	0.0%	0.0%	1.88%	1.91%	0.82%	0.88%	1.67%	0.80%	1.35%	0.55%	1.56%	0.0%	0.0%	1.63%	0.0%	0.83%	0.0%	1.55%	0.0%	0.0%	2.15%	0.88%	1.01%	3.58%	0.0%	0.69%	0.70%	2.15%	1.26%	1.25%	2.40%	0.0%	0.0%	0.0%	0.56%	0.0%	1.96%	1.01%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	54	2	0	0	6	2	0	0	1	0	0	1	0	0	5	4	0	0	0	0	1	1	0	3	1	2	1	0	0	7	0	3	2	1	0	0	0	3	3	0	0	0	2	0	0	0	3	0					
		0.45%	1.35%	0.0%	0.0%	0.99%	0.34%	0.0%	0.0%	1.16%	0.0%	0.0%	0.21%	0.0%	0.0%	0.83%	0.64%	0.0%	0.0%	0.0%	0.0%	1.19%	1.63%	0.0%	0.83%	0.72%	0.51%	1.47%	0.0%	0.0%	1.24%	0.0%	0.46%	2.5%	0.23%	0.0%	0.0%	0.0%	1.88%	0.65%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	1.76%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	24	0	0	1	2	4	0	0	0	0	0	3	0	2	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0					
