Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
"Наименование Избирательной комиссии:    Ростов-на-Дону, Ворошиловская"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №1320	УИК №1321	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1333	УИК №1334	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1379	УИК №1380	УИК №1759	УИК №2489	УИК №2541	УИК №2547	УИК №2548					
1	"Число избирателей, внесенных в список избирателей"	149834	2582	2842	2776	2659	2165	2496	2465	1987	2617	2820	2792	2496	2278	2661	2358	2428	2569	2832	2691	2619	2765	2477	2565	2538	2665	2574	2495	2683	2603	2339	2293	2699	2562	2582	2806	2198	2808	2800	2822	2749	2615	2655	2517	2477	2462	2421	2542	2497	2744	2690	2784	2975	754	2719	2603	2883	1226	2548	2566					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	137518	2300	2350	2400	2450	2000	2400	2300	2250	2100	2600	2600	2250	2100	2450	2200	2100	2400	2600	2450	2400	2350	2150	2350	2350	2400	2350	2250	2500	2450	2100	2150	2450	2350	2300	2600	2200	2650	2650	2650	2500	2350	2450	2350	2300	2300	2250	2250	2300	2600	2300	2500	2650	768	2550	2600	2600	1200	2350	2400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	86951	1417	1440	1363	1207	1183	2030	1372	1480	1647	1467	1816	1641	1899	1497	996	1100	1482	1580	1441	1997	1622	1362	1428	1396	1469	1183	1560	1708	1519	1435	1722	1599	1336	1379	2023	1377	2225	1873	2185	1753	1479	1268	1177	1504	1506	1399	1396	1142	1880	1805	1443	1028	271	1546	1424	1118	771	1234	1351					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	8716	100	186	252	109	373	38	289	95	76	59	220	258	110	85	382	97	329	69	90	156	109	81	120	61	37	58	65	268	188	214	200	115	39	49	65	117	84	62	106	72	171	229	65	176	191	210	48	152	114	130	233	185	477	130	72	354	132	101	63					
6	Число погашенных избирательных бюллетеней	41851	783	724	785	1134	444	332	639	675	377	1074	564	351	91	868	822	903	589	951	919	247	619	707	802	893	894	1109	625	524	743	451	228	736	975	872	512	706	341	715	359	675	700	953	1108	620	603	641	806	1006	606	365	824	1437	20	874	1104	1128	297	1015	986					
7	Число избирательных бюллетеней в переносных ящиках для голосования	8712	100	186	252	109	372	38	289	95	76	59	220	258	110	85	382	97	329	69	90	156	109	81	120	61	37	58	65	268	188	214	200	115	39	49	65	117	84	62	106	71	171	229	65	176	191	210	48	152	114	130	233	183	477	130	72	354	132	101	63					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	86614	1417	1436	1360	1206	1183	2025	1360	1463	1647	1456	1816	1641	1899	1493	996	1100	1383	1580	1441	1997	1622	1362	1428	1395	1467	1183	1544	1708	1518	1435	1722	1593	1336	1379	2023	1377	2225	1871	2079	1742	1479	1268	1176	1504	1506	1399	1396	1142	1880	1801	1443	1009	270	1535	1424	1118	771	1234	1351					
9	Число недействительных избирательных бюллетеней	1017	26	27	21	23	22	36	0	5	18	20	25	19	19	15	10	23	13	17	17	6	11	15	18	17	3	15	16	0	28	23	20	16	17	20	29	6	19	21	51	23	6	18	15	16	18	7	13	11	16	14	18	19	7	24	11	15	26	18	15					
10	Число действительных избирательных бюллетеней	94309	1491	1595	1591	1292	1533	2027	1649	1553	1705	1495	2011	1880	1990	1563	1368	1174	1699	1632	1514	2147	1720	1428	1530	1439	1501	1226	1593	1976	1678	1626	1902	1692	1358	1408	2059	1488	2290	1912	2134	1790	1644	1479	1226	1664	1679	1602	1431	1283	1978	1917	1658	1173	740	1641	1485	1457	877	1317	1399					
