Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																									
Дата голосования: 02.12.2007																									
																									
Наименование Избирательной комиссии:    Чагодощенская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868					
1	"Число избирателей, внесенных в списки избирателей"	11695	999	628	684	1143	957	767	660	884	853	854	523	396	313	335	335	358	570	436					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11350	950	600	660	1030	920	700	620	870	840	840	550	400	320	350	340	380	510	470					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6718	590	378	444	551	507	374	351	456	421	449	357	265	215	194	218	272	422	254					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1098	17	33	23	106	60	56	39	65	122	87	94	42	42	71	56	40	52	93					
6	Число погашенных избирательных бюллетеней	3534	343	189	193	373	353	270	230	349	297	304	99	93	63	85	66	68	36	123					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1098	17	33	23	106	60	56	39	65	122	87	94	42	42	71	56	40	52	93					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6714	590	378	444	551	503	374	351	456	421	449	357	265	215	194	218	272	422	254					
9	Число недействительных избирательных бюллетеней	73	7	6	6	4	5	2	4	3	7	7	3	9	1	0	2	3	3	1					
10	Число действительных избирательных бюллетеней	7739	600	405	461	653	558	428	386	518	536	529	448	298	256	265	272	309	471	346					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	450	10	14	20	26	26	20	26	26	26	26	36	26	26	26	26	26	26	38					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	235	5	5	13	4	2	9	2	7	8	8	36	14	14	22	18	26	4	38					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	134	28	4	9	17	3	2	6	5	8	4	3	1	4	1	6	1	21	11					
14	Число погашенных неиспользованных открепительных удостоверений	215	5	9	7	22	24	11	24	19	18	18	0	12	12	4	8	0	22	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	1	5	3	4	2	4	3	0	0	1	3	2	1	2	6	1	0	12					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	1.Политическая партия «Аграрная партия России»	341	20	11	10	15	25	9	11	10	23	22	38	11	35	26	30	27	9	9					
		4.37%	3.29%	2.68%	2.14%	2.28%	4.44%	2.09%	2.82%	1.92%	4.24%	4.10%	8.43%	3.58%	13.62%	9.81%	10.95%	8.65%	1.90%	2.59%					
19	2.Всероссийская политическая партия «Гражданская Сила»	52	5	4	2	5	6	2	2	2	6	3	3	2	1	0	2	4	2	1					
		0.67%	0.82%	0.97%	0.43%	0.76%	1.07%	0.47%	0.51%	0.38%	1.10%	0.56%	0.67%	0.65%	0.39%	0.00%	0.73%	1.28%	0.42%	0.29%					
20	3.Политическая партия «Демократическая партия России»	10	1	0	0	0	2	1	0	1	0	2	0	1	0	0	0	2	0	0					
		0.13%	0.16%	0.00%	0.00%	0.00%	0.36%	0.23%	0.00%	0.19%	0.00%	0.37%	0.00%	0.33%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1117	92	83	119	85	85	75	51	74	77	78	57	39	29	14	28	39	48	44					
		14.30%	15.16%	20.19%	25.48%	12.94%	15.10%	17.44%	13.08%	14.20%	14.18%	14.55%	12.64%	12.70%	11.28%	5.28%	10.22%	12.50%	10.13%	12.68%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	40	9	6	1	4	1	5	4	0	4	2	0	1	0	0	0	0	3	0					
		0.51%	1.48%	1.46%	0.21%	0.61%	0.18%	1.16%	1.03%	0.00%	0.74%	0.37%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	20	0	2	2	2	0	1	1	1	2	2	2	1	2	0	0	0	2	0					
		0.26%	0.00%	0.49%	0.43%	0.30%	0.00%	0.23%	0.26%	0.19%	0.37%	0.37%	0.44%	0.33%	0.78%	0.00%	0.00%	0.00%	0.42%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	745	54	37	35	74	61	24	41	57	59	50	29	29	20	32	38	21	37	47					
		9.54%	8.90%	9.00%	7.49%	11.26%	10.83%	5.58%	10.51%	10.94%	10.87%	9.33%	6.43%	9.45%	7.78%	12.08%	13.87%	6.73%	7.81%	13.54%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	582	67	25	36	43	38	40	30	36	46	52	23	16	21	17	17	14	32	29					
		7.45%	11.04%	6.08%	7.71%	6.54%	6.75%	9.30%	7.69%	6.91%	8.47%	9.70%	5.10%	5.21%	8.17%	6.42%	6.20%	4.49%	6.75%	8.36%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	29	5	3	2	1	3	1	1	1	4	1	2	1	1	0	2	0	1	0					
		0.37%	0.82%	0.73%	0.43%	0.15%	0.53%	0.23%	0.26%	0.19%	0.74%	0.19%	0.44%	0.33%	0.39%	0.00%	0.73%	0.00%	0.21%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4765	346	231	252	421	332	268	241	332	312	316	293	197	147	175	155	200	335	212					
		60.99%	57.00%	56.20%	53.96%	64.08%	58.97%	62.33%	61.79%	63.72%	57.46%	58.96%	64.97%	64.17%	57.20%	66.04%	56.57%	64.10%	70.68%	61.10%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	38	1	3	2	3	5	2	4	4	3	1	1	0	0	1	0	2	2	4					
		0.49%	0.16%	0.73%	0.43%	0.46%	0.89%	0.47%	1.03%	0.77%	0.55%	0.19%	0.22%	0.00%	0.00%	0.38%	0.00%	0.64%	0.42%	1.15%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
