Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Сорочинская городская																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626					
1	"Число избирателей, внесенных в списки"	23476	2072	1910	3652	1838	1667	3536	1651	2547	1304	3299					
2	"Число бюллетеней, полученных участковыми комиссиями"	22327	1924	1821	3525	1754	1584	3375	1587	2392	1201	3164					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9623	956	798	1462	712	633	1261	682	1183	642	1294					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	318	13	24	29	94	35	46	31	13	8	25					
6	Число погашенных бюллетеней	12381	955	999	2034	948	916	2063	874	1196	551	1845					
7	Число бюллетеней в переносных ящиках для голосования	318	13	24	29	94	35	46	31	13	8	25					
8	Число бюллетеней в стационарных ящиках для голосования	9586	950	798	1462	712	626	1261	682	1183	642	1270					
9	Число недействительных бюллетеней	96	8	8	15	17	3	8	2	8	7	20					
10	Число действительных бюллетеней	9808	955	814	1476	789	658	1299	711	1188	643	1275					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	299	40	45	20	20	44	30	20	20	20	40					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	52	5	7	10	2	3	6	0	5	6	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	13	2	1	1	2	6	1	0	0	0					
14	Число погашенных открепительных удостоверений	247	35	38	10	18	41	24	20	15	14	32					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	5	0	0	0	0	0	5	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	96	5	4	11	7	9	14	8	15	7	16					
		0.96%	0.51%	0.48%	0.73%	0.86%	1.36%	1.07%	1.12%	1.25%	1.07%	1.23%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	201	25	21	39	7	11	24	17	23	14	20					
		2.02%	2.59%	2.55%	2.61%	0.86%	1.66%	1.83%	2.38%	1.92%	2.15%	1.54%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	221	22	23	45	9	19	20	13	19	8	43					
		2.23%	2.28%	2.79%	3.01%	1.11%	2.87%	1.53%	1.82%	1.58%	1.23%	3.32%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	198	18	18	20	8	15	29	6	43	16	25					
		1.99%	1.86%	2.18%	1.34%	0.99%	2.26%	2.21%	0.84%	3.59%	2.46%	1.93%					
22	"5. ""За Русь Святую"""	91	7	4	8	17	6	11	12	7	4	15					
		0.91%	0.72%	0.48%	0.53%	2.10%	0.90%	0.84%	1.68%	0.58%	0.61%	1.15%					
23	"6. ""Объединенная Российская партия ""Русь"""	25	4	0	5	2	2	0	2	7	1	2					
		0.25%	0.41%	0.0%	0.33%	0.24%	0.30%	0.0%	0.28%	0.58%	0.15%	0.15%					
24	"7. ""Новый курс - Автомобильная Россия"""	50	3	1	4	3	7	9	3	9	7	4					
		0.50%	0.31%	0.12%	0.26%	0.37%	1.05%	0.68%	0.42%	0.75%	1.07%	0.30%					
25	"8. ""Народно-республиканская партия России"""	7	0	0	1	1	0	2	0	1	0	2					
		0.07%	0.0%	0.0%	0.06%	0.12%	0.0%	0.15%	0.0%	0.08%	0.0%	0.15%					
26	"9. ""Российская экологическая партия ""Зеленые"""	44	0	5	2	0	2	0	32	1	1	1					
		0.44%	0.0%	0.60%	0.13%	0.0%	0.30%	0.0%	4.48%	0.08%	0.15%	0.07%					
27	"10. ""Аграрная партия России"""	349	58	31	69	36	21	33	0	42	22	37					
		3.52%	6.02%	3.77%	4.62%	4.46%	3.17%	2.52%	0.0%	3.51%	3.38%	2.85%					
28	"11. ""Истинные патриоты России"""	29	0	2	2	0	0	2	18	2	1	2					
		0.29%	0.0%	0.24%	0.13%	0.0%	0.0%	0.15%	2.52%	0.16%	0.15%	0.15%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	55	5	10	5	8	6	5	3	4	2	7					
		0.55%	0.51%	1.21%	0.33%	0.99%	0.90%	0.38%	0.42%	0.33%	0.30%	0.54%					
30	"13. ""Демократическая партия России"""	32	4	2	6	0	0	3	3	1	9	4					
		0.32%	0.41%	0.24%	0.40%	0.0%	0.0%	0.22%	0.42%	0.08%	1.38%	0.30%					
31	"14. ""Великая Россия - Евразийский Союз"""	16	1	2	2	0	5	1	2	2	1	0					
		0.16%	0.10%	0.24%	0.13%	0.0%	0.75%	0.07%	0.28%	0.16%	0.15%	0.0%					
32	"15. ""Партия СЛОН"""	5	1	0	0	0	0	1	0	1	2	0					
		0.05%	0.10%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.08%	0.30%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	701	52	54	120	36	33	97	42	91	86	90					
		7.07%	5.39%	6.56%	8.04%	4.46%	4.99%	7.42%	5.89%	7.60%	13.23%	6.94%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	11	4	0	1	0	1	1	0	3	0	1					
		0.11%	0.41%	0.0%	0.06%	0.0%	0.15%	0.07%	0.0%	0.25%	0.0%	0.07%					
35	"18. ""ЛДПР"""	2002	211	147	292	146	117	270	159	248	129	283					
		20.21%	21.91%	17.88%	19.58%	18.11%	17.70%	20.65%	22.30%	20.73%	19.84%	21.85%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	258	32	22	35	21	18	32	6	35	13	44					
		2.60%	3.32%	2.67%	2.34%	2.60%	2.72%	2.44%	0.84%	2.92%	2.0%	3.39%					
37	"20. ""Политическая партия ""Единая Россия"""	2685	231	251	404	243	194	342	180	338	176	326					
		27.11%	23.98%	30.53%	27.09%	30.14%	29.34%	26.16%	25.24%	28.26%	27.07%	25.17%					
38	"21. ""Российская Конституционно-демократическая партия"""	21	2	1	5	0	0	3	2	4	1	3					
		0.21%	0.20%	0.12%	0.33%	0.0%	0.0%	0.22%	0.28%	0.33%	0.15%	0.23%					
39	"22. ""Развитие предпринимательства"""	29	2	3	2	1	4	2	4	9	1	1					
		0.29%	0.20%	0.36%	0.13%	0.12%	0.60%	0.15%	0.56%	0.75%	0.15%	0.07%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2430	249	195	363	228	163	368	180	243	135	306					
		24.53%	25.85%	23.72%	24.34%	28.28%	24.65%	28.15%	25.24%	20.31%	20.76%	23.62%					
																	
41	Против всех	252	19	18	35	16	25	30	19	40	7	43					
		2.54%	1.97%	2.18%	2.34%	1.98%	3.78%	2.29%	2.66%	3.34%	1.07%	3.32%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
