Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Боковская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11720	2149	1951	364	172	442	262	356	467	767	165	543	123	163	239	713	497	102	205	161	371	357	241	440	227	108	135									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10530	1950	1760	320	150	400	240	320	420	690	150	480	110	140	220	640	450	90	180	140	330	320	220	400	200	90	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7093	1429	1302	211	121	284	135	161	220	470	84	224	70	96	155	486	288	61	120	94	228	152	102	275	159	77	89									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	931	74	44	43	11	15	40	60	61	74	37	59	20	24	14	35	79	22	37	24	52	36	19	35	8	0	8									
6	Число погашенных избирательных бюллетеней	2506	447	414	66	18	101	65	99	139	146	29	197	20	20	51	119	83	7	23	22	50	132	99	90	33	13	23									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	931	74	44	43	11	15	40	60	61	74	37	59	20	24	14	35	79	22	37	24	52	36	19	35	8	0	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7093	1429	1302	211	121	284	135	161	220	470	84	224	70	96	155	486	288	61	120	94	228	152	102	275	159	77	89									
9	Число недействительных избирательных бюллетеней	26	0	6	0	2	1	0	1	0	0	0	4	0	0	2	0	1	1	0	0	1	1	4	1	0	1	0									
10	Число действительных избирательных бюллетеней	7998	1503	1340	254	130	298	175	220	281	544	121	279	90	120	167	521	366	82	157	118	279	187	117	309	167	76	97									
