Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																								
Дата голосования: 07.12.2003 0:00:00																																																								
																																																								
Наименование Избирательной комиссии:    Иркутская городская №2																																																								
																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																								
																																																								
		Сумма	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578					
1	"Число избирателей, внесенных в списки"	103109	2844	1304	1666	1278	1500	2057	1791	2104	1682	2386	2639	2572	2861	1682	1781	1838	2899	2153	1677	2156	2505	2556	2179	2613	1936	1226	1663	1953	2265	2395	2556	2509	1952	2414	2595	1106	2019	1971	2554	2683	2195	2095	1834	2630	2001	2134	2293	1160	2247					
2	"Число бюллетеней, полученных участковыми комиссиями"	92200	2400	1200	1200	1200	1300	1900	1700	1900	1400	2200	2400	2200	2600	1600	1600	1700	2600	1900	1500	2000	2300	2200	2000	2500	1800	1100	1500	1400	1900	2200	2300	2300	1800	2200	2300	1000	1800	1800	2300	2500	1900	1900	1500	2400	1800	1900	2000	1050	2050					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	45642	1483	1029	540	295	450	919	902	1001	460	1061	1180	1293	1297	803	820	875	1458	879	540	869	1090	1110	967	1196	968	554	497	782	648	1123	1121	1109	837	989	1116	456	754	1046	1325	1163	1105	948	856	1266	971	982	1038	419	1052					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1931	23	12	163	12	11	36	21	39	16	27	55	23	25	20	27	37	36	51	24	30	41	16	32	40	28	21	17	330	8	81	41	33	23	44	37	32	48	16	41	32	22	31	30	31	28	81	33	8	18					
6	Число погашенных бюллетеней	44627	894	159	497	893	839	945	777	860	924	1112	1165	884	1278	777	753	788	1106	970	936	1101	1169	1074	1001	1264	804	525	986	288	1244	996	1138	1158	940	1167	1147	512	998	738	934	1305	773	921	614	1103	801	837	929	623	980					
7	Число бюллетеней в переносных ящиках для голосования	1930	23	12	163	12	11	36	21	39	16	27	55	23	25	20	27	37	36	51	24	30	40	16	32	40	28	21	17	330	8	81	41	33	23	44	37	32	48	16	41	32	22	31	30	31	28	81	33	8	18					
8	Число бюллетеней в стационарных ящиках для голосования	45485	1482	1027	536	295	450	919	900	1001	460	1061	1179	1291	1297	803	820	874	1457	875	540	869	1088	1110	967	1191	966	551	497	782	648	1123	1121	1094	837	943	1116	456	754	1046	1323	1161	1090	945	856	1266	943	979	1038	419	1039					
9	Число недействительных бюллетеней	377	8	6	8	1	5	6	3	8	6	9	8	0	14	13	4	2	11	6	8	9	15	15	15	8	10	20	3	4	4	17	8	13	8	14	9	7	5	8	16	6	0	5	5	10	5	0	5	2	5					
10	Число действительных бюллетеней	47038	1497	1033	691	306	456	949	918	1032	470	1079	1226	1314	1308	810	843	909	1482	920	556	890	1113	1111	984	1223	984	552	511	1108	652	1187	1154	1114	852	973	1144	481	797	1054	1348	1187	1112	971	881	1287	966	1060	1066	425	1052					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1225	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25					
