Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Агинская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11952	1997	508	471	582	560	724	119	90	868	587	593	517	640	662	393	384	2257									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12475	2000	560	509	629	584	830	137	104	899	755	639	560	640	668	389	390	2182									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	710	0	58	43	34	65	92	30	16	85	42	45	99	73	0	28	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6569	1002	320	297	428	314	407	69	54	563	325	397	272	436	343	164	189	989									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	619	144	16	22	23	10	42	8	5	62	45	34	18	16	69	34	27	44									
6	Число погашенных избирательных бюллетеней	4577	854	166	147	144	195	289	30	29	189	343	163	171	115	256	163	174	1149									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1329	144	74	65	57	75	134	38	21	147	87	79	117	89	69	62	27	44									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6569	1002	320	297	428	314	407	69	54	563	325	397	272	436	343	164	189	989									
9	Число недействительных избирательных бюллетеней	112	10	5	9	4	8	3	1	1	1	4	5	10	0	3	3	5	40									
10	Число действительных избирательных бюллетеней	7786	1136	389	353	481	381	538	106	74	709	408	471	379	525	409	223	211	993									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	337	50	10	20	20	15	10	10	7	15	50	38	25	20	5	7	10	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	308	50	10	20	20	11	10	10	7	15	50	38	25	8	1	7	9	17									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	98	17	7	3	3	6	6	2	2	6	3	7	7	9	4	4	5	7									
14	Число погашенных неиспользованных открепительных удостоверений	29	0	0	0	0	4	0	0	0	0	0	0	0	12	4	0	1	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	4	1	2	0	1	0	0	0	0	5	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	62	9	1	2	3	5	3	0	1	3	4	2	5	6	1	2	2	13									
		0.79%	0.79%	0.25%	0.55%	0.62%	1.29%	0.55%	0.00%	1.33%	0.42%	0.97%	0.42%	1.29%	1.14%	0.24%	0.88%	0.93%	1.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	202	33	9	12	11	7	23	1	1	10	14	7	9	4	4	11	2	44									
		2.56%	2.88%	2.28%	3.31%	2.27%	1.80%	4.25%	0.93%	1.33%	1.41%	3.40%	1.47%	2.31%	0.76%	0.97%	4.87%	0.93%	4.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	159	20	9	7	9	7	6	0	2	18	11	1	13	8	7	10	15	16									
