Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																		
																																																																		
Наименование Избирательной комиссии:    Стерлитамакская																																																																		
																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																		
																																																																		
		Сумма	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064	УИК №3065	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077	УИК №3078	УИК №3079	УИК №3080	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099					
1	"Число избирателей, внесенных в списки"	25916	443	257	447	189	393	184	165	134	908	458	681	343	360	447	465	458	504	1956	300	461	130	203	308	207	1892	276	308	495	155	528	787	1277	265	133	778	170	193	176	303	591	225	151	125	214	170	168	315	384	609	352	1247	432	290	354	643	557	336	363	253					
2	"Число бюллетеней, полученных участковыми комиссиями"	25610	435	239	429	174	383	185	165	134	863	594	670	318	357	446	462	410	460	1931	311	460	127	191	305	204	1852	287	306	498	155	517	773	1262	269	135	777	222	190	192	300	590	205	153	125	215	184	165	320	385	608	353	1241	418	279	360	638	517	301	338	227					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19274	286	164	325	134	244	164	155	120	754	445	610	212	293	317	364	297	358	1316	220	310	96	149	227	147	1312	199	204	324	132	390	503	892	202	86	624	160	164	145	209	479	174	124	117	193	163	93	235	276	403	251	1152	293	167	273	487	393	259	278	211					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1481	49	13	16	23	60	0	0	0	26	13	37	24	16	36	41	44	64	18	37	19	9	28	30	8	62	14	36	27	10	32	25	15	13	10	22	10	7	9	7	25	16	0	0	13	0	20	17	11	57	25	12	73	67	38	42	77	30	33	15					
6	Число погашенных бюллетеней	4855	100	62	88	17	79	21	10	14	83	136	23	82	48	93	57	69	38	597	54	131	22	14	48	49	478	74	66	147	13	95	245	355	54	39	131	52	19	38	84	86	15	29	8	9	21	52	68	98	148	77	77	52	45	49	109	47	12	27	1					
7	Число бюллетеней в переносных ящиках для голосования	1481	49	13	16	23	60	0	0	0	26	13	37	24	16	36	41	44	64	18	37	19	9	28	30	8	62	14	36	27	10	32	25	15	13	10	22	10	7	9	7	25	16	0	0	13	0	20	17	11	57	25	12	73	67	38	42	77	30	33	15					
8	Число бюллетеней в стационарных ящиках для голосования	19274	286	164	325	134	244	164	155	120	754	445	610	212	293	317	364	297	358	1316	220	310	96	149	227	147	1312	199	204	324	132	390	503	892	202	86	624	160	164	145	209	479	174	124	117	193	163	93	235	276	403	251	1152	293	167	273	487	393	259	278	211					
9	Число недействительных бюллетеней	773	13	2	17	8	14	5	4	12	7	10	6	12	17	7	9	24	11	65	7	28	11	13	11	19	8	9	15	22	11	14	10	14	5	7	8	16	6	4	17	19	16	9	3	5	7	6	9	37	34	4	4	11	13	8	32	11	21	11	15					
10	Число действительных бюллетеней	19982	322	175	324	149	290	159	151	108	773	448	641	224	292	346	396	317	411	1269	250	301	94	164	246	136	1366	204	225	329	131	408	518	893	210	89	638	154	165	150	199	485	174	115	114	201	156	107	243	250	426	272	1160	355	221	303	497	459	268	300	211					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	5	3	5	2	4	3	3	2	10	7	8	4	4	5	5	5	6	22	4	6	2	2	3	2	20	3	3	6	2	6	8	13	3	2	8	3	3	2	3	7	3	2	2	3	2	2	4	4	7	5	18	5	3	1	8	6	4	4	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	143	0	2	1	0	3	0	0	0	10	4	7	4	1	2	3	0	1	15	0	0	0	0	1	0	15	0	2	2	1	1	6	9	0	1	0	0	3	0	0	7	1	0	0	0	1	0	3	0	6	5	18	0	0	1	5	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	207	4	3	1	5	3	6	1	1	7	3	4	1	4	1	5	6	6	8	3	3	1	5	3	4	5	4	3	6	4	5	2	7	3	0	0	5	3	0	2	4	1	2	2	2	1	4	3	2	9	5	5	7	2	4	5	3	1	4	4					
14	Число погашенных открепительных удостоверений	157	5	1	4	2	1	3	3	2	0	3	1	0	3	3	2	5	5	7	4	6	2	2	2	2	5	3	1	4	1	5	2	4	3	1	8	3	0	2	3	0	2	2	2	3	1	2	1	4	1	0	0	5	3	0	3	5	4	4	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
18	"1. ""ЕДИНЕНИЕ"""	576	7	3	13	3	7	19	4	8	19	18	5	1	5	4	14	12	27	29	10	6	4	5	12	8	27	8	7	5	8	12	16	10	9	4	18	5	6	5	7	13	4	8	6	8	8	2	7	3	14	8	39	6	8	8	11	11	14	3	5					
		2.77%	2.08%	1.69%	3.81%	1.91%	2.30%	11.58%	2.58%	6.66%	2.43%	3.93%	0.77%	0.42%	1.61%	1.13%	3.45%	3.51%	6.39%	2.17%	3.89%	1.82%	3.80%	2.82%	4.66%	5.16%	1.96%	3.75%	2.91%	1.42%	5.63%	2.84%	3.03%	1.10%	4.18%	4.16%	2.78%	2.94%	3.50%	3.24%	3.24%	2.57%	2.10%	6.45%	5.12%	3.88%	4.90%	1.76%	2.77%	1.04%	3.04%	2.89%	3.35%	1.63%	3.41%	2.57%	2.07%	2.34%	4.84%	0.96%	2.21%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	293	4	1	0	6	4	1	5	2	12	5	1	0	3	4	7	7	3	18	9	1	1	2	1	3	27	7	6	1	3	6	17	21	1	2	6	1	1	2	2	4	1	1	4	1	9	0	4	2	4	4	18	12	1	4	3	4	4	3	7					
		1.41%	1.19%	0.56%	0.0%	3.82%	1.31%	0.60%	3.22%	1.66%	1.53%	1.09%	0.15%	0.0%	0.97%	1.13%	1.72%	2.05%	0.71%	1.34%	3.50%	0.30%	0.95%	1.12%	0.38%	1.93%	1.96%	3.28%	2.5%	0.28%	2.11%	1.42%	3.21%	2.31%	0.46%	2.08%	0.92%	0.58%	0.58%	1.29%	0.92%	0.79%	0.52%	0.80%	3.41%	0.48%	5.52%	0.0%	1.58%	0.69%	0.86%	1.44%	1.54%	3.27%	0.42%	1.28%	0.56%	0.85%	1.38%	0.96%	3.09%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	513	1	6	7	5	9	3	0	2	19	9	5	1	9	13	11	5	6	29	15	11	4	3	10	3	33	7	5	14	2	16	9	22	4	0	24	1	6	8	6	17	9	2	1	4	3	4	5	4	15	4	13	8	12	5	20	22	12	2	8					
		2.47%	0.29%	3.38%	2.05%	3.18%	2.96%	1.82%	0.0%	1.66%	2.43%	1.96%	0.77%	0.42%	2.91%	3.68%	2.71%	1.46%	1.42%	2.17%	5.83%	3.34%	3.80%	1.69%	3.89%	1.93%	2.40%	3.28%	2.08%	3.98%	1.40%	3.79%	1.70%	2.42%	1.86%	0.0%	3.71%	0.58%	3.50%	5.19%	2.77%	3.37%	4.73%	1.61%	0.85%	1.94%	1.84%	3.53%	1.98%	1.39%	3.26%	1.44%	1.11%	2.18%	5.12%	1.60%	3.78%	4.68%	4.15%	0.64%	3.53%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	228	1	5	7	3	2	2	2	0	8	1	0	8	4	4	2	3	1	9	3	0	0	3	1	1	13	3	5	3	1	6	4	21	2	0	9	1	4	3	2	7	1	1	4	0	1	5	1	5	8	2	11	7	2	1	10	6	1	7	1					
		1.09%	0.29%	2.82%	2.05%	1.91%	0.65%	1.21%	1.29%	0.0%	1.02%	0.21%	0.0%	3.38%	1.29%	1.13%	0.49%	0.87%	0.23%	0.67%	1.16%	0.0%	0.0%	1.69%	0.38%	0.64%	0.94%	1.40%	2.08%	0.85%	0.70%	1.42%	0.75%	2.31%	0.93%	0.0%	1.39%	0.58%	2.33%	1.94%	0.92%	1.38%	0.52%	0.80%	3.41%	0.0%	0.61%	4.42%	0.39%	1.74%	1.73%	0.72%	0.94%	1.91%	0.85%	0.32%	1.89%	1.27%	0.34%	2.25%	0.44%					
22	"5. ""За Русь Святую"""	120	1	1	4	0	2	1	1	0	2	0	0	3	6	1	6	3	0	10	1	3	1	1	1	0	4	5	2	0	2	8	2	7	1	0	7	2	0	0	0	2	0	0	0	0	0	1	1	1	8	0	3	5	0	1	3	1	0	2	4					
		0.57%	0.29%	0.56%	1.17%	0.0%	0.65%	0.60%	0.64%	0.0%	0.25%	0.0%	0.0%	1.27%	1.94%	0.28%	1.48%	0.87%	0.0%	0.74%	0.38%	0.91%	0.95%	0.56%	0.38%	0.0%	0.29%	2.34%	0.83%	0.0%	1.40%	1.89%	0.37%	0.77%	0.46%	0.0%	1.08%	1.17%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.88%	0.39%	0.34%	1.73%	0.0%	0.25%	1.36%	0.0%	0.32%	0.56%	0.21%	0.0%	0.64%	1.76%					
23	"6. ""Объединенная Российская партия ""Русь"""	52	1	1	0	0	1	0	1	0	2	1	0	0	0	2	2	1	1	3	1	1	1	0	3	0	3	2	0	0	0	3	2	1	0	0	1	0	0	0	1	1	3	0	0	0	1	0	2	0	1	1	0	1	1	1	3	0	1	1	0					
		0.25%	0.29%	0.56%	0.0%	0.0%	0.32%	0.0%	0.64%	0.0%	0.25%	0.21%	0.0%	0.0%	0.0%	0.56%	0.49%	0.29%	0.23%	0.22%	0.38%	0.30%	0.95%	0.0%	1.16%	0.0%	0.21%	0.93%	0.0%	0.0%	0.0%	0.71%	0.37%	0.11%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.46%	0.19%	1.57%	0.0%	0.0%	0.0%	0.61%	0.0%	0.79%	0.0%	0.21%	0.36%	0.0%	0.27%	0.42%	0.32%	0.56%	0.0%	0.34%	0.32%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	150	1	2	2	2	8	0	0	1	5	1	0	2	4	1	3	6	1	7	5	4	2	1	0	0	14	1	2	4	1	6	7	10	1	0	7	1	1	2	2	4	1	0	0	1	0	0	1	0	2	0	5	1	1	3	6	5	1	1	1					
		0.72%	0.29%	1.12%	0.58%	1.27%	2.63%	0.0%	0.0%	0.83%	0.64%	0.21%	0.0%	0.84%	1.29%	0.28%	0.74%	1.75%	0.23%	0.52%	1.94%	1.21%	1.90%	0.56%	0.0%	0.0%	1.01%	0.46%	0.83%	1.13%	0.70%	1.42%	1.32%	1.10%	0.46%	0.0%	1.08%	0.58%	0.58%	1.29%	0.92%	0.79%	0.52%	0.0%	0.0%	0.48%	0.0%	0.0%	0.39%	0.0%	0.43%	0.0%	0.42%	0.27%	0.42%	0.96%	1.13%	1.06%	0.34%	0.32%	0.44%					
