Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Кишертская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК №1501	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525					
1	"Число избирателей, внесенных в списки"	11669	609	256	250	175	758	510	175	299	462	359	259	230	184	486	255	813	828	384	136	208	1289	1135	1431	178					
2	"Число бюллетеней, полученных участковыми комиссиями"	11940	650	270	260	190	770	540	190	300	480	390	290	250	200	500	250	800	840	400	140	210	1240	1150	1450	180					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6676	353	114	182	105	470	298	96	153	174	239	149	172	99	261	117	458	493	240	85	119	786	627	802	84					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1093	94	62	18	21	24	29	25	50	145	33	83	20	31	57	39	69	31	30	7	18	89	34	50	34					
6	Число погашенных бюллетеней	4155	203	94	60	64	276	213	69	97	161	118	58	58	70	182	94	273	316	130	48	73	365	489	582	62					
7	Число бюллетеней в переносных ящиках для голосования	1108	94	62	18	21	24	29	25	50	145	33	83	20	31	57	39	69	31	30	7	18	89	34	65	34					
8	Число бюллетеней в стационарных ящиках для голосования	6667	353	114	182	105	470	298	96	153	174	239	149	172	99	261	117	457	493	240	85	119	781	627	799	84					
9	Число недействительных бюллетеней	190	11	4	9	7	16	16	4	6	5	10	4	2	4	7	12	8	7	7	0	5	20	8	15	3					
10	Число действительных бюллетеней	7585	436	172	191	119	478	311	117	197	314	262	228	190	126	311	144	518	517	263	92	132	850	653	849	115					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	235	14	4	6	4	11	10	6	4	7	14	12	4	6	10	4	14	20	7	5	4	25	25	15	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	196	12	3	4	4	6	10	6	2	7	14	12	4	3	10	1	10	18	7	2	3	22	23	11	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	106	5	1	4	2	3	1	2	3	2	3	2	0	12	3	4	7	5	4	2	2	20	11	8	0					
14	Число погашенных открепительных удостоверений	39	2	1	2	0	5	0	0	2	0	0	0	0	3	0	3	4	2	0	3	1	3	2	4	2					
15	Число открепительных удостоверений выданных ТИК	5	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	"1. ""ЕДИНЕНИЕ"""	169	5	4	11	2	14	8	1	6	4	2	5	6	5	6	2	17	19	4	0	0	17	8	19	4					
		2.17%	1.11%	2.27%	5.5%	1.58%	2.83%	2.44%	0.82%	2.95%	1.25%	0.73%	2.15%	3.12%	3.84%	1.88%	1.28%	3.23%	3.62%	1.48%	0.0%	0.0%	1.95%	1.21%	2.19%	3.38%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	198	11	2	4	2	8	2	3	5	6	3	1	0	2	3	0	3	19	13	0	1	37	30	41	2					
		2.54%	2.46%	1.13%	2.0%	1.58%	1.61%	0.61%	2.47%	2.46%	1.88%	1.10%	0.43%	0.0%	1.53%	0.94%	0.0%	0.57%	3.62%	4.81%	0.0%	0.72%	4.25%	4.53%	4.74%	1.69%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	215	18	6	5	12	23	9	4	6	15	6	5	5	3	17	5	16	10	2	2	4	12	13	16	1					
		2.76%	4.02%	3.40%	2.5%	9.52%	4.65%	2.75%	3.30%	2.95%	4.70%	2.20%	2.15%	2.60%	2.30%	5.34%	3.20%	3.04%	1.90%	0.74%	2.17%	2.91%	1.37%	1.96%	1.85%	0.84%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	122	9	3	0	1	6	1	1	0	1	1	1	0	3	7	1	8	13	3	2	2	25	15	17	2					
		1.56%	2.01%	1.70%	0.0%	0.79%	1.21%	0.30%	0.82%	0.0%	0.31%	0.36%	0.43%	0.0%	2.30%	2.20%	0.64%	1.52%	2.48%	1.11%	2.17%	1.45%	2.87%	2.26%	1.96%	1.69%					
22	"5. ""За Русь Святую"""	63	3	1	3	2	9	2	2	0	1	5	2	2	0	1	2	2	2	4	1	0	7	3	8	1					
		0.81%	0.67%	0.56%	1.5%	1.58%	1.82%	0.61%	1.65%	0.0%	0.31%	1.83%	0.86%	1.04%	0.0%	0.31%	1.28%	0.38%	0.38%	1.48%	1.08%	0.0%	0.80%	0.45%	0.92%	0.84%					
23	"6. ""Объединенная Российская партия ""Русь"""	24	2	0	0	1	2	1	0	2	1	0	0	1	2	0	1	0	0	2	1	1	3	1	1	2					
		0.30%	0.44%	0.0%	0.0%	0.79%	0.40%	0.30%	0.0%	0.98%	0.31%	0.0%	0.0%	0.52%	1.53%	0.0%	0.64%	0.0%	0.0%	0.74%	1.08%	0.72%	0.34%	0.15%	0.11%	1.69%					
24	"7. ""Новый курс - Автомобильная Россия"""	64	1	1	4	0	2	1	0	2	3	1	2	3	0	1	2	3	4	3	1	1	6	8	15	0					
		0.82%	0.22%	0.56%	2.0%	0.0%	0.40%	0.30%	0.0%	0.98%	0.94%	0.36%	0.86%	1.56%	0.0%	0.31%	1.28%	0.57%	0.76%	1.11%	1.08%	0.72%	0.68%	1.21%	1.73%	0.0%					
25	"8. ""Народно-республиканская партия России"""	13	0	0	0	1	0	0	2	0	2	1	0	0	1	1	1	2	0	1	0	0	0	0	1	0					
		0.16%	0.0%	0.0%	0.0%	0.79%	0.0%	0.0%	1.65%	0.0%	0.62%	0.36%	0.0%	0.0%	0.76%	0.31%	0.64%	0.38%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	21	2	1	1	0	1	0	2	1	1	1	1	0	0	1	1	2	0	2	0	0	3	0	1	0					
		0.27%	0.44%	0.56%	0.5%	0.0%	0.20%	0.0%	1.65%	0.49%	0.31%	0.36%	0.43%	0.0%	0.0%	0.31%	0.64%	0.38%	0.0%	0.74%	0.0%	0.0%	0.34%	0.0%	0.11%	0.0%					
27	"10. ""Аграрная партия России"""	535	42	26	5	2	11	5	13	15	50	25	17	9	8	37	3	88	35	11	14	33	35	19	25	7					
		6.88%	9.39%	14.77%	2.5%	1.58%	2.22%	1.52%	10.74%	7.38%	15.67%	9.19%	7.32%	4.68%	6.15%	11.63%	1.92%	16.73%	6.67%	4.07%	15.21%	24.08%	4.02%	2.87%	2.89%	5.93%					
28	"11. ""Истинные патриоты России"""	8	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0					
		0.10%	0.0%	0.56%	0.5%	0.0%	0.0%	0.0%	0.82%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.72%	0.11%	0.0%	0.11%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	62	3	3	3	1	4	5	1	2	3	3	3	1	0	2	2	3	3	4	3	2	1	6	4	0					
		0.79%	0.67%	1.70%	1.5%	0.79%	0.80%	1.52%	0.82%	0.98%	0.94%	1.10%	1.29%	0.52%	0.0%	0.62%	1.28%	0.57%	0.57%	1.48%	3.26%	1.45%	0.11%	0.90%	0.46%	0.0%					
30	"13. ""Демократическая партия России"""	15	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	3	0	0	0	1	4	1	0	1					
		0.19%	0.22%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.49%	0.31%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.72%	0.45%	0.15%	0.0%	0.84%					
31	"14. ""Великая Россия - Евразийский Союз"""	27	0	1	0	1	1	1	1	2	3	0	1	1	1	0	1	2	2	2	0	2	1	1	2	1					
		0.34%	0.0%	0.56%	0.0%	0.79%	0.20%	0.30%	0.82%	0.98%	0.94%	0.0%	0.43%	0.52%	0.76%	0.0%	0.64%	0.38%	0.38%	0.74%	0.0%	1.45%	0.11%	0.15%	0.23%	0.84%					
32	"15. ""Партия СЛОН"""	9	3	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0					
		0.11%	0.67%	0.56%	0.0%	0.0%	0.0%	0.0%	0.82%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.11%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	350	14	1	3	4	21	7	3	6	25	4	4	3	2	9	4	15	30	13	3	7	62	46	57	7					
		4.50%	3.13%	0.56%	1.5%	3.17%	4.25%	2.14%	2.47%	2.95%	7.83%	1.47%	1.72%	1.56%	1.53%	2.83%	2.56%	2.85%	5.72%	4.81%	3.26%	5.10%	7.12%	6.95%	6.59%	5.93%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	33	3	1	2	2	0	1	1	1	2	1	0	1	0	2	0	1	2	3	0	0	6	2	2	0					
		0.42%	0.67%	0.56%	1.0%	1.58%	0.0%	0.30%	0.82%	0.49%	0.62%	0.36%	0.0%	0.52%	0.0%	0.62%	0.0%	0.19%	0.38%	1.11%	0.0%	0.0%	0.68%	0.30%	0.23%	0.0%					
35	"18. ""ЛДПР"""	934	43	16	10	18	45	44	19	18	40	43	17	20	13	37	24	77	60	23	3	20	99	109	127	9					
		12.01%	9.61%	9.09%	5.0%	14.28%	9.10%	13.45%	15.70%	8.86%	12.53%	15.80%	7.32%	10.41%	10.0%	11.63%	15.38%	14.63%	11.45%	8.51%	3.26%	14.59%	11.37%	16.49%	14.69%	7.62%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	104	7	2	1	3	12	3	3	3	6	2	3	3	0	4	0	10	4	3	1	1	7	8	16	2					
		1.33%	1.56%	1.13%	0.5%	2.38%	2.42%	0.91%	2.47%	1.47%	1.88%	0.73%	1.29%	1.56%	0.0%	1.25%	0.0%	1.90%	0.76%	1.11%	1.08%	0.72%	0.80%	1.21%	1.85%	1.69%					
37	"20. ""Политическая партия ""Единая Россия"""	3452	204	92	110	58	255	184	37	102	102	130	56	47	78	152	74	226	254	138	57	36	373	275	356	56					
		44.39%	45.63%	52.27%	55.0%	46.03%	51.61%	56.26%	30.57%	50.24%	31.97%	47.79%	24.13%	24.47%	60.0%	47.79%	47.43%	42.96%	48.47%	51.11%	61.95%	26.27%	42.87%	41.60%	41.20%	47.45%					
38	"21. ""Российская Конституционно-демократическая партия"""	20	1	1	1	0	3	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	5	2	0	1					
		0.25%	0.22%	0.56%	0.5%	0.0%	0.60%	0.30%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.31%	0.64%	0.0%	0.0%	0.37%	0.0%	0.72%	0.57%	0.30%	0.0%	0.84%					
39	"22. ""Развитие предпринимательства"""	16	1	1	1	0	2	1	1	1	1	0	0	0	0	2	0	0	0	0	0	0	1	3	1	0					
		0.20%	0.22%	0.56%	0.5%	0.0%	0.40%	0.30%	0.82%	0.49%	0.31%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.45%	0.11%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	785	48	7	23	7	45	27	16	20	32	26	97	78	5	18	10	22	31	15	2	18	84	57	81	16					
		10.09%	10.73%	3.97%	11.5%	5.55%	9.10%	8.25%	13.22%	9.85%	10.03%	9.55%	41.81%	40.62%	3.84%	5.66%	6.41%	4.18%	5.91%	5.55%	2.17%	13.13%	9.65%	8.62%	9.37%	13.55%					
																															
41	Против всех	346	15	1	3	2	13	8	5	4	13	6	13	10	3	10	9	17	29	16	2	1	60	46	57	3					
		4.45%	3.35%	0.56%	1.5%	1.58%	2.63%	2.44%	4.13%	1.97%	4.07%	2.20%	5.60%	5.20%	2.30%	3.14%	5.76%	3.23%	5.53%	5.92%	2.17%	0.72%	6.89%	6.95%	6.59%	2.54%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
