Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																													
Дата голосования: 04.12.2011																																																													
																																																													
Наименование Избирательной комиссии:    Абанская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №2264	УИК №2292	УИК №2293	УИК №2294	УИК №2295					
1	"Число избирателей, внесенных в список избирателей"	17380	2515	2238	1507	257	50	474	215	144	242	853	856	111	114	146	77	259	131	39	44	433	183	167	99	74	130	68	409	158	359	165	83	82	87	48	446	506	218	318	61	74	616	236	109	34	72	163	213	190	93	904	45	65	77	123					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17414	2510	2230	1490	258	69	478	216	146	248	860	870	114	115	152	77	270	133	42	42	440	180	164	100	82	129	68	414	160	357	157	81	80	88	50	450	518	215	320	60	77	626	228	103	35	70	157	214	189	93	880	47	66	75	121					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9248	1270	1040	675	161	39	304	134	102	173	350	432	90	66	91	38	157	79	24	39	273	105	100	70	71	98	50	186	78	143	75	57	57	56	28	206	311	142	156	50	40	307	151	67	25	45	113	137	114	66	420	30	44	30	83					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	773	74	51	56	9	11	11	19	0	19	42	46	3	2	2	3	6	10	4	0	12	8	8	1	3	5	0	28	13	57	21	5	0	1	0	30	25	7	34	4	6	20	18	2	0	6	9	7	6	0	50	0	1	11	7					
6	Число погашенных избирательных бюллетеней	7393	1166	1139	759	88	19	163	63	44	56	468	392	21	47	59	36	107	44	14	3	155	67	56	29	8	26	18	200	69	157	61	19	23	31	22	214	182	66	130	6	31	299	59	34	10	19	35	70	69	27	410	17	21	34	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	773	74	51	56	9	11	11	19	0	19	42	46	3	2	2	3	6	10	4	0	12	8	8	1	3	5	0	28	13	57	21	5	0	1	0	30	25	7	34	4	6	20	18	2	0	6	9	7	6	0	50	0	1	11	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9247	1270	1040	674	161	39	304	134	102	173	350	432	90	66	91	38	157	79	24	39	273	105	100	70	71	98	50	186	78	143	75	57	57	56	28	206	311	142	156	50	40	307	151	67	25	45	113	137	114	66	420	30	44	30	83					
9	Число недействительных избирательных бюллетеней	156	22	19	12	2	0	5	4	3	1	2	3	4	3	1	7	4	2	1	0	7	0	0	1	3	2	0	3	1	2	1	0	2	2	0	6	5	3	2	0	0	3	3	0	0	0	5	0	1	0	7	0	1	1	0					
10	Число действительных избирательных бюллетеней	9864	1322	1072	718	168	50	310	149	99	191	390	475	89	65	92	34	159	87	27	39	278	113	108	70	71	101	50	211	90	198	95	62	55	55	28	230	331	146	188	54	46	324	166	69	25	51	117	144	119	66	463	30	44	40	90					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	241	25	24	15	3	2	6	3	2	3	9	10	2	2	2	2	8	2	2	2	5	2	2	4	2	2	2	6	2	4	2	2	8	2	2	5	10	3	4	2	2	7	3	2	2	2	2	3	2	2	9	2	4	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	142	25	22	14	0	0	2	1	0	0	4	10	2	0	2	0	7	0	0	0	5	1	0	3	0	0	0	6	0	3	0	0	5	1	0	1	9	2	1	0	0	4	0	0	0	1	0	0	0	0	6	0	4	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	111	4	5	2	0	1	4	1	1	0	2	2	1	1	3	2	1	3	2	3	4	1	1	1	1	2	2	4	3	5	1	1	7	1	0	0	2	2	1	1	1	3	1	3	1	2	3	1	3	1	6	0	4	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	99	0	2	1	3	2	4	2	2	3	5	0	0	2	0	2	1	2	2	2	0	1	2	1	2	2	2	0	2	1	2	2	3	1	2	4	1	1	3	2	2	3	3	2	2	1	2	3	2	2	3	2	0	2	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	5	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1193	219	153	96	21	3	43	21	13	14	54	73	5	4	5	4	16	9	1	4	35	16	8	5	1	3	2	32	11	20	10	7	5	3	2	19	28	17	29	3	1	30	16	0	0	3	9	10	11	0	83	0	8	3	5					
		11.91%	16.29%	14.02%	13.15%	12.35%	6.00%	13.65%	13.73%	12.75%	7.29%	13.78%	15.27%	5.38%	5.88%	5.38%	9.76%	9.82%	10.11%	3.57%	10.26%	12.28%	14.16%	7.41%	7.04%	1.35%	2.91%	4.00%	14.95%	12.09%	10.00%	10.42%	11.29%	8.77%	5.26%	7.14%	8.05%	8.33%	11.41%	15.26%	5.56%	2.17%	9.17%	9.47%	0.00%	0.00%	5.88%	7.38%	6.94%	9.17%	0.00%	17.66%	0.00%	17.78%	7.32%	5.56%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1758	301	261	192	16	5	22	20	12	20	63	44	6	12	3	8	28	20	2	4	64	25	28	11	7	14	2	49	6	26	18	7	5	4	4	27	43	18	21	6	7	68	37	13	7	7	25	20	10	2	122	5	3	0	8					
