Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																
Дата голосования: 02.12.2007																																
																																
"Наименование Избирательной комиссии:    Ростов-на-Дону, Кировская"																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №1611	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1639					
1	"Число избирателей, внесенных в списки избирателей"	52224	2375	2411	2153	1996	2105	1953	1760	1887	2429	2707	2077	2623	2014	1634	2577	2330	1725	1635	2347	2584	2061	2122	1524	2100	1095					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	48700	2200	2200	2100	1900	2100	1800	1600	1900	2300	2300	2000	2400	1900	1500	2400	2200	1600	1600	2000	2400	1900	1900	1400	2000	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	30496	1077	1209	1374	1119	1459	1212	843	1092	1299	1246	1097	1770	1551	881	1464	1550	859	1012	1399	1370	1490	1269	689	1070	1095					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4834	381	95	351	146	68	65	286	183	160	298	103	162	215	87	344	75	342	118	217	149	101	148	489	251	0					
6	Число погашенных избирательных бюллетеней	13370	742	896	375	635	573	523	471	625	841	756	800	468	134	532	592	575	399	470	384	881	309	483	222	679	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4833	381	95	350	146	68	65	286	183	160	298	103	162	215	87	344	75	342	118	217	149	101	148	489	251	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30476	1074	1202	1374	1119	1459	1212	843	1092	1299	1246	1096	1770	1550	876	1464	1550	859	1009	1399	1370	1490	1269	689	1070	1095					
9	Число недействительных избирательных бюллетеней	279	10	13	6	7	9	14	4	18	9	15	15	10	9	7	21	14	8	9	50	17	10	0	2	2	0					
10	Число действительных избирательных бюллетеней	35030	1445	1284	1718	1258	1518	1263	1125	1257	1450	1529	1184	1922	1756	956	1787	1611	1193	1118	1566	1502	1581	1417	1176	1319	1095					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1637	60	80	70	60	50	60	50	97	90	80	70	60	70	50	80	60	60	60	80	90	70	70	50	70	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	997	35	46	51	48	33	41	30	85	63	47	34	53	46	29	47	32	25	22	62	47	25	29	23	44	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1636	13	60	63	26	34	17	95	76	57	275	23	31	73	51	34	50	22	17	60	35	34	24	13	20	433					
14	Число погашенных неиспользованных открепительных удостоверений	640	25	34	19	12	17	19	20	12	27	33	36	7	24	21	33	28	35	38	18	43	45	41	27	26	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	58	7	3	3	2	1	0	1	1	7	3	6	1	5	1	2	1	3	1	0	2	4	3	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
