Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																
Дата голосования: 04.12.2011																
																
Наименование Избирательной комиссии:    Лермонтовская городская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756					
1	"Число избирателей, внесенных в список избирателей"	18880	2403	1975	1845	1942	2084	2541	2204	1947	1939					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18680	2200	1970	1850	1970	2080	2540	2210	1940	1920					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8689	1030	874	881	956	993	1176	963	897	919					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	361	50	35	45	31	42	28	30	40	60					
6	Число погашенных избирательных бюллетеней	9630	1120	1061	924	983	1045	1336	1217	1003	941					
7	Число избирательных бюллетеней в переносных ящиках для голосования	361	50	35	45	31	42	28	30	40	60					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8687	1030	873	881	956	993	1176	963	896	919					
9	Число недействительных избирательных бюллетеней	179	13	22	20	23	16	18	12	33	22					
10	Число действительных избирательных бюллетеней	8869	1067	886	906	964	1019	1186	981	903	957					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	180	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	62	1	3	4	14	12	8	8	6	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	59	5	6	10	5	9	5	12	3	4					
14	Число погашенных неиспользованных открепительных удостоверений	118	19	17	16	6	8	12	12	14	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1812	179	176	166	223	229	253	188	203	195					
		20.03%	16.57%	19.38%	17.93%	22.59%	22.13%	21.01%	18.93%	21.69%	19.92%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1939	271	194	191	200	191	256	252	179	205					
		21.43%	25.09%	21.37%	20.63%	20.26%	18.45%	21.26%	25.38%	19.12%	20.94%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	135	14	21	14	17	7	21	18	14	9					
		1.49%	1.30%	2.31%	1.51%	1.72%	0.68%	1.74%	1.81%	1.50%	0.92%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2159	279	224	244	194	268	308	216	185	241					
		23.86%	25.83%	24.67%	26.35%	19.66%	25.89%	25.58%	21.75%	19.76%	24.62%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	315	35	31	30	58	48	36	23	34	20					
		3.48%	3.24%	3.41%	3.24%	5.88%	4.64%	2.99%	2.32%	3.63%	2.04%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2411	277	228	253	260	265	299	278	283	268					
		26.65%	25.65%	25.11%	27.32%	26.34%	25.60%	24.83%	27.99%	30.24%	27.37%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	98	12	12	8	12	11	13	6	5	19					
		1.08%	1.11%	1.32%	0.86%	1.22%	1.06%	1.08%	0.60%	0.53%	1.94%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
