Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																						
Дата голосования: 04.12.2011																																																																						
																																																																						
"Наименование Избирательной комиссии:    Набережные Челны, Центральная"																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135					
1	"Число избирателей, внесенных в список избирателей"	135970	1295	1841	2658	1762	2916	2689	2376	2239	2263	2553	2120	2080	2196	2480	2666	2373	1712	1832	2386	1940	2290	1107	1943	2367	2596	2402	2454	2593	2343	2117	2301	2540	2002	2257	2026	2076	1475	2185	1807	2510	2187	2151	2063	2184	2311	2238	2386	1835	1780	1688	1833	1232	1357	2315	2447	2399	2183	2450	2481	2404	1860	2352	2066					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	132400	1200	1800	2300	2150	2550	2400	2200	2200	2200	2500	2300	2000	2000	2400	2200	2100	1600	1700	2300	2000	2100	1200	2100	2300	2300	2400	2500	2200	2300	2000	2300	2300	1900	2000	2200	2300	1100	2200	1900	2200	2200	2300	2000	2100	2300	2300	2300	1800	1800	1800	2000	1200	1400	2300	2300	2300	2200	2400	2500	2400	2000	2400	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	107460	964	1687	2202	1295	2493	2151	1933	1721	1774	2007	1874	1860	1799	1644	2116	1976	1276	1510	1532	1618	1862	999	1526	1977	2192	1979	1920	1987	1718	1592	2011	2015	1557	1910	1501	1641	964	1587	1317	1883	1788	1814	1664	1752	2010	1808	1660	1155	1309	1349	1453	864	1134	1972	2027	1982	1700	1945	1736	1835	1468	1815	1650					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2103	15	20	15	7	15	16	22	12	13	24	29	25	24	18	32	32	14	21	305	27	70	108	21	14	5	16	19	10	13	16	40	44	36	30	67	89	132	37	31	11	50	25	31	21	20	30	26	32	39	11	16	18	21	21	24	24	28	15	50	25	17	20	44					
6	Число погашенных избирательных бюллетеней	22837	221	93	83	848	42	233	245	467	413	469	397	115	177	738	52	92	310	169	463	355	168	93	553	309	103	405	561	203	569	392	249	241	307	60	632	570	4	576	552	306	362	461	305	327	270	462	614	613	452	440	531	318	245	307	249	294	472	440	714	540	515	565	506					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2103	15	20	15	7	15	16	22	12	13	24	29	25	24	18	32	32	14	21	305	27	70	108	21	14	5	16	19	10	13	16	40	44	36	30	67	89	132	37	31	11	50	25	31	21	20	30	26	32	39	11	16	18	21	21	24	24	28	15	50	25	17	20	44					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	107297	964	1687	2202	1295	2493	2151	1932	1721	1774	2007	1874	1860	1799	1644	2111	1976	1276	1510	1532	1618	1862	999	1526	1977	2192	1979	1920	1987	1716	1592	2011	2014	1557	1910	1501	1641	810	1587	1317	1883	1788	1814	1664	1752	2010	1808	1660	1155	1309	1349	1453	864	1134	1972	2027	1982	1700	1945	1736	1835	1468	1815	1650					
9	Число недействительных избирательных бюллетеней	1274	4	3	21	12	7	2	10	32	51	29	0	23	27	24	47	5	12	26	11	34	49	10	18	8	29	24	51	74	64	35	75	28	42	9	2	3	8	4	2	38	17	0	37	5	14	0	5	0	0	4	12	2	19	53	27	17	0	43	6	7	17	2	34					
10	Число действительных избирательных бюллетеней	108126	975	1704	2196	1290	2501	2165	1944	1701	1736	2002	1903	1862	1796	1638	2096	2003	1278	1505	1826	1611	1883	1097	1529	1983	2168	1971	1888	1923	1665	1573	1976	2030	1551	1931	1566	1727	934	1620	1346	1856	1821	1839	1658	1768	2016	1838	1681	1187	1348	1356	1457	880	1136	1940	2024	1989	1728	1917	1780	1853	1468	1833	1660					
