Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
"Наименование Избирательной комиссии:    Набережные Челны, Центральная"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150					
1	"Число избирателей, внесенных в списки избирателей"	147695	3088	2992	2461	2772	2526	2943	2962	2764	1746	2625	2945	2026	2334	2917	2633	3133	2808	2697	2402	2783	2596	2850	2492	2239	2478	1864	1868	2378	2946	2778	1902	2230	2352	2284	2547	2715	2746	3027	2203	2695	2760	2265	2880	2873	2334	2377	2145	1426	1768	2896	2220	2337	1942	2696	2520	2385	2779	2460	1885					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	141540	2820	2790	2280	2650	2290	2270	2870	2690	1550	2780	2830	1760	2260	2750	2430	2570	2750	2180	2270	2520	2560	2810	2290	2370	2390	1840	1760	2700	2820	2540	1750	2260	2350	2120	2580	2650	2650	2870	2100	2600	2730	2760	2820	2770	2240	2370	2120	1440	1740	2770	2250	2320	1890	2500	2340	2400	2670	2190	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	110163	2167	2153	1849	2050	1944	2100	2121	1950	1225	2418	2106	1342	1662	1968	1800	2183	2229	2049	1777	2161	1983	2220	1782	1900	1921	1348	1622	2296	2017	1854	1368	1697	1830	1772	1963	1874	1908	2130	1594	2063	2108	2224	2214	2149	1701	1833	1535	1096	1285	2025	1723	1693	1372	1948	1879	1817	1935	1882	1348					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2302	11	16	17	34	18	23	16	24	183	29	20	212	52	35	30	21	38	12	14	10	33	38	26	40	23	17	28	41	64	31	26	22	21	19	30	38	47	112	22	34	29	41	39	36	27	14	20	52	27	20	13	53	29	27	40	25	26	33	224					
6	Число погашенных избирательных бюллетеней	29075	642	621	414	566	328	147	733	716	142	333	704	206	546	747	600	366	483	119	479	349	544	552	482	430	446	475	110	363	739	655	356	541	499	329	587	738	695	628	484	503	593	495	567	585	512	523	565	292	428	725	514	574	489	525	421	558	709	275	328					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2302	11	16	17	34	18	23	16	24	183	29	20	212	52	35	30	21	38	12	14	10	33	38	26	40	23	17	28	41	64	31	26	22	21	19	30	38	47	112	22	34	29	41	39	36	27	14	20	52	27	20	13	53	29	27	40	25	26	33	224					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	110109	2167	2153	1849	2050	1944	2100	2121	1950	1225	2418	2106	1342	1662	1968	1800	2183	2191	2043	1777	2161	1983	2220	1782	1900	1921	1348	1622	2296	2017	1852	1368	1697	1830	1772	1963	1874	1907	2130	1594	2063	2108	2224	2214	2149	1699	1833	1535	1091	1285	2025	1723	1693	1372	1948	1879	1817	1935	1882	1348					
9	Число недействительных избирательных бюллетеней	1071	5	27	15	28	21	48	34	21	2	11	23	9	13	29	24	0	0	28	21	10	28	55	23	27	29	22	22	0	17	19	12	10	19	22	21	20	24	7	27	13	15	0	13	29	12	5	0	10	9	29	3	19	4	22	13	24	8	28	42					
10	Число действительных избирательных бюллетеней	111340	2173	2142	1851	2056	1941	2075	2103	1953	1406	2436	2103	1545	1701	1974	1806	2204	2229	2027	1770	2161	1988	2203	1785	1913	1915	1343	1628	2337	2064	1864	1382	1709	1832	1769	1972	1892	1930	2235	1589	2084	2122	2265	2240	2156	1714	1842	1555	1133	1303	2016	1733	1727	1397	1953	1906	1818	1953	1887	1530					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1444	28	25	27	24	23	19	33	27	25	21	27	25	27	29	13	62	27	26	26	26	27	27	26	26	25	13	25	27	22	24	20	24	24	29	27	27	21	21	22	27	25	28	28	27	20	25	26	18	18	23	20	20	20	16	24	16	22	29	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1257	28	25	25	17	23	17	32	17	18	19	27	19	22	27	13	62	27	24	26	21	27	27	21	22	20	10	19	27	11	19	7	24	15	29	23	20	17	19	20	19	22	28	28	17	17	12	22	7	16	22	20	20	20	16	24	16	22	28	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	609	11	10	12	13	17	5	5	11	62	7	7	13	4	2	5	23	10	6	7	5	7	11	12	9	7	4	15	5	12	5	8	3	5	8	11	8	6	11	3	2	60	10	18	13	6	4	4	7	7	12	2	3	6	3	15	3	16	17	16					
14	Число погашенных неиспользованных открепительных удостоверений	187	0	0	2	7	0	2	1	10	7	2	0	6	5	2	0	0	0	2	0	5	0	0	5	4	5	3	6	0	11	5	13	0	9	0	4	7	4	2	2	8	3	0	0	10	3	13	4	11	2	1	0	0	0	0	0	0	0	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	5	1	0	0	0	0	0	1	1	1	1	2	2	3	1	2	2	2	0	2	0	0	1	2	1	0	1	0	1	1	1	1	1	0	3	2	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	3	1	0	1	1	2	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
18	1.Политическая партия «Аграрная партия России»	1388	12	32	30	8	41	28	37	42	11	32	25	12	32	41	35	6	9	10	20	29	29	30	29	28	40	25	27	4	6	40	12	11	26	12	15	28	40	18	28	28	22	0	34	35	28	13	20	17	26	34	16	7	12	17	23	35	22	27	32					
		1.23%	0.55%	1.48%	1.61%	0.38%	2.09%	1.32%	1.73%	2.13%	0.78%	1.31%	1.18%	0.77%	1.87%	2.05%	1.91%	0.27%	0.40%	0.49%	1.12%	1.34%	1.44%	1.33%	1.60%	1.44%	2.06%	1.83%	1.64%	0.17%	0.29%	2.12%	0.86%	0.64%	1.40%	0.67%	0.75%	1.46%	2.05%	0.80%	1.73%	1.34%	1.03%	0.00%	1.51%	1.60%	1.62%	0.70%	1.29%	1.49%	1.98%	1.66%	0.92%	0.40%	0.86%	0.86%	1.20%	1.90%	1.12%	1.41%	2.04%					
19	2.Всероссийская политическая партия «Гражданская Сила»	834	4	9	14	32	21	25	19	21	7	10	24	5	17	14	12	2	0	6	4	26	11	23	29	10	27	18	5	3	6	15	11	22	21	18	24	7	18	1	15	21	24	0	27	12	11	4	10	9	20	27	24	3	11	7	0	19	14	25	10					
		0.74%	0.18%	0.41%	0.75%	1.54%	1.07%	1.18%	0.89%	1.06%	0.50%	0.41%	1.13%	0.32%	0.99%	0.70%	0.66%	0.09%	0.00%	0.29%	0.22%	1.20%	0.55%	1.02%	1.60%	0.52%	1.39%	1.32%	0.30%	0.13%	0.29%	0.80%	0.79%	1.28%	1.13%	1.01%	1.20%	0.37%	0.92%	0.04%	0.93%	1.00%	1.12%	0.00%	1.20%	0.55%	0.64%	0.22%	0.64%	0.79%	1.52%	1.32%	1.38%	0.17%	0.79%	0.35%	0.00%	1.03%	0.71%	1.31%	0.64%					
20	3.Политическая партия «Демократическая партия России»	252	3	2	1	6	3	5	2	2	4	4	4	0	5	3	1	0	1	0	2	2	0	2	2	1	5	2	1	2	2	0	1	1	4	4	3	1	1	1	4	6	4	0	4	6	3	102	3	3	2	5	1	2	2	1	12	2	2	2	3					
		0.22%	0.14%	0.09%	0.05%	0.29%	0.15%	0.24%	0.09%	0.10%	0.28%	0.16%	0.19%	0.00%	0.29%	0.15%	0.05%	0.00%	0.04%	0.00%	0.11%	0.09%	0.00%	0.09%	0.11%	0.05%	0.26%	0.15%	0.06%	0.09%	0.10%	0.00%	0.07%	0.06%	0.22%	0.22%	0.15%	0.05%	0.05%	0.04%	0.25%	0.29%	0.19%	0.00%	0.18%	0.27%	0.17%	5.52%	0.19%	0.26%	0.15%	0.24%	0.06%	0.11%	0.14%	0.05%	0.63%	0.11%	0.10%	0.10%	0.19%					
