Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    Абанская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №2264					
1	"Число избирателей, внесенных в списки избирателей"	16361	2383	2336	1107	277	71	448	200	119	242	840	824	138	99	133	78	256	133	56	49	320	173	145	83	66	122	62	382	148	316	156	121	135	91	44	523	452	269	339	65	81	641	251	111	43	87	162	169	151	105	759					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16347	2408	2354	1076	272	71	438	180	113	229	805	796	145	95	128	72	251	127	56	48	391	168	142	81	74	121	59	382	160	342	163	148	127	88	46	517	414	286	340	65	77	673	229	107	40	84	147	162	143	108	799					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10707	1449	1357	580	173	56	368	163	110	211	472	517	89	75	102	50	183	111	36	46	295	141	108	75	60	112	49	251	115	170	89	56	105	77	44	209	339	178	209	54	66	440	176	105	35	74	136	131	96	89	475					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1385	97	96	48	29	7	23	17	3	14	74	84	11	9	0	13	15	10	9	0	25	11	14	5	6	4	4	46	12	78	18	42	7	6	0	153	53	68	52	5	10	47	20	0	1	8	8	13	11	0	99					
6	Число погашенных избирательных бюллетеней	4255	862	901	448	70	8	47	0	0	4	259	195	45	11	26	9	53	6	11	2	71	16	20	1	8	5	6	85	33	94	56	50	15	5	2	155	22	40	79	6	1	186	33	2	4	2	3	18	36	19	225					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1385	97	96	48	29	7	23	17	3	14	74	84	11	9	0	13	15	10	9	0	25	11	14	5	6	4	4	46	12	78	18	42	7	6	0	153	53	68	52	5	10	47	20	0	1	8	8	13	11	0	99					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10707	1449	1357	580	173	56	368	163	110	211	472	517	89	75	102	50	183	111	36	46	295	141	108	75	60	112	49	251	115	170	89	56	105	77	44	209	339	178	209	54	66	440	176	105	35	74	136	131	96	89	475					
9	Число недействительных избирательных бюллетеней	113	23	9	8	1	0	2	1	1	2	5	2	0	5	0	6	2	0	0	0	3	0	1	0	0	1	0	1	1	3	0	1	2	1	0	3	3	3	1	0	2	11	3	1	0	0	0	0	0	0	5					
10	Число действительных избирательных бюллетеней	11979	1523	1444	620	201	63	389	179	112	223	541	599	100	79	102	57	196	121	45	46	317	152	121	80	66	115	53	296	126	245	107	97	110	82	44	359	389	243	260	59	74	476	193	104	36	82	144	144	107	89	569					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	292	33	31	20	4	3	7	3	3	6	10	9	3	3	3	3	4	2	2	3	5	3	4	2	2	3	2	5	2	4	3	3	6	3	2	9	9	5	5	3	3	8	3	3	2	3	3	4	3	4	24					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	255	33	31	20	4	3	7	3	3	6	10	9	3	3	3	3	4	0	2	0	5	3	2	2	0	2	1	5	2	4	3	3	3	2	0	0	9	5	5	3	3	8	1	0	0	1	1	4	3	4	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	165	24	14	15	2	1	2	3	1	5	11	6	2	3	4	1	5	1	1	2	3	2	1	2	2	4	1	6	1	3	2	4	2	1	0	4	0	1	2	1	1	1	1	3	2	3	1	2	0	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	2	0	2	1	1	0	0	0	0	0	3	1	2	9	0	0	0	0	0	0	2	3	2	2	2	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	1.Политическая партия «Аграрная партия России»	307	53	48	12	9	1	8	3	6	4	6	9	2	3	1	0	4	0	1	1	10	16	9	4	0	2	1	1	1	2	1	4	3	2	0	4	16	4	2	1	2	12	10	3	1	5	3	1	2	1	13					
		2.54%	3.43%	3.30%	1.91%	4.46%	1.59%	2.05%	1.67%	5.31%	1.78%	1.10%	1.50%	2.00%	3.57%	0.98%	0.00%	2.02%	0.00%	2.22%	2.17%	3.13%	10.53%	7.38%	5.00%	0.00%	1.72%	1.89%	0.34%	0.79%	0.81%	0.93%	4.08%	2.68%	2.41%	0.00%	1.10%	4.08%	1.63%	0.77%	1.69%	2.63%	2.46%	5.10%	2.86%	2.78%	6.10%	2.08%	0.69%	1.87%	1.12%	2.26%					
19	2.Всероссийская политическая партия «Гражданская Сила»	36	7	4	4	2	3	1	0	0	2	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	2	0	0	0	0	0	0	1					
		0.30%	0.45%	0.28%	0.64%	0.99%	4.76%	0.26%	0.00%	0.00%	0.89%	0.18%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	0.83%	2.22%	0.00%	0.31%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.38%	0.00%	0.00%	0.21%	0.00%	1.90%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%					
20	3.Политическая партия «Демократическая партия России»	11	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1					
		0.09%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.86%	0.00%	0.34%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2022	291	257	89	39	6	55	14	16	23	96	138	34	10	24	12	28	7	3	11	96	23	14	10	16	5	12	58	35	46	18	26	3	12	4	44	91	11	37	5	10	66	31	13	5	11	36	8	21	9	93					
		16.72%	18.82%	17.69%	14.17%	19.31%	9.52%	14.07%	7.78%	14.16%	10.22%	17.58%	22.96%	34.00%	11.90%	23.53%	19.05%	14.14%	5.79%	6.67%	23.91%	30.00%	15.13%	11.48%	12.50%	24.24%	4.31%	22.64%	19.53%	27.56%	18.55%	16.82%	26.53%	2.68%	14.46%	9.09%	12.15%	23.21%	4.47%	14.18%	8.47%	13.16%	13.55%	15.82%	12.38%	13.89%	13.41%	25.00%	5.56%	19.63%	10.11%	16.20%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	154	30	38	17	7	0	5	1	0	1	2	2	1	0	0	2	2	1	0	0	7	0	0	1	0	1	1	3	0	0	0	0	7	0	0	2	6	2	4	0	0	5	3	0	0	0	0	1	2	0	0					
		1.27%	1.94%	2.62%	2.71%	3.47%	0.00%	1.28%	0.56%	0.00%	0.44%	0.37%	0.33%	1.00%	0.00%	0.00%	3.17%	1.01%	0.83%	0.00%	0.00%	2.19%	0.00%	0.00%	1.25%	0.00%	0.86%	1.89%	1.01%	0.00%	0.00%	0.00%	0.00%	6.25%	0.00%	0.00%	0.55%	1.53%	0.81%	1.53%	0.00%	0.00%	1.03%	1.53%	0.00%	0.00%	0.00%	0.00%	0.69%	1.87%	0.00%	0.00%					
