Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Кинельская городская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28					
1	"Число избирателей, внесенных в списки"	38353	1463	1313	1057	1222	1492	1701	1823	2464	1596	976	1656	1122	836	735	1166	1465	1922	367	324	238	1619	1250	2102	1485	1356	1519	2032	2052					
2	"Число бюллетеней, полученных участковыми комиссиями"	33945	1305	1170	925	1110	1320	1510	1580	2255	1410	875	1420	985	750	645	1025	1315	1660	305	280	200	1400	1070	1935	1335	1190	1335	1785	1850					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16633	592	513	408	480	565	590	791	1061	798	465	681	472	310	292	452	573	764	162	166	132	785	705	1133	730	567	610	954	882					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	965	30	29	62	36	15	51	22	29	38	25	36	47	13	31	50	13	24	11	11	10	54	52	35	71	51	56	47	16					
6	Число погашенных бюллетеней	16347	683	628	455	594	740	869	767	1165	574	385	703	466	427	322	523	729	872	132	103	58	561	313	767	534	572	669	784	952					
7	Число бюллетеней в переносных ящиках для голосования	965	30	29	62	36	15	51	22	29	38	25	36	47	13	31	50	13	24	11	11	10	54	52	35	71	51	56	47	16					
8	Число бюллетеней в стационарных ящиках для голосования	16621	592	513	408	480	565	590	791	1061	797	465	681	472	310	292	452	573	764	162	166	132	784	705	1124	730	567	609	954	882					
9	Число недействительных бюллетеней	337	8	14	6	11	15	7	24	23	22	16	16	15	0	6	9	17	18	10	6	3	14	0	9	13	17	11	10	17					
10	Число действительных бюллетеней	17249	614	528	464	505	565	634	789	1067	813	474	701	504	323	317	493	569	770	163	171	139	824	757	1150	788	601	654	991	881					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	298	5	5	5	6	4	8	11	15	13	10	5	9	5	5	5	8	10	3	3	3	9	5	106	13	5	5	5	12					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	256	3	4	5	6	3	7	10	13	11	10	5	7	2	2	2	6	10	1	0	2	5	5	100	12	5	3	5	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	155	8	4	6	4	1	8	8	3	2	5	7	3	1	11	6	8	9	0	5	4	5	9	14	2	9	3	5	5					
14	Число погашенных открепительных удостоверений	42	2	1	0	0	1	1	1	2	2	0	0	2	3	3	3	2	0	2	3	1	4	0	6	1	0	2	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	165	2	3	4	7	4	7	7	9	14	6	9	2	2	3	7	3	11	1	3	3	7	5	11	2	4	10	9	10					
		0.93%	0.32%	0.55%	0.85%	1.35%	0.68%	1.09%	0.86%	0.82%	1.67%	1.22%	1.25%	0.38%	0.61%	0.92%	1.39%	0.51%	1.39%	0.57%	1.69%	2.11%	0.83%	0.66%	0.94%	0.24%	0.64%	1.50%	0.89%	1.11%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	365	11	4	6	13	7	17	13	19	14	11	14	9	2	5	12	17	15	5	8	4	19	26	35	25	14	12	12	16					
		2.07%	1.76%	0.73%	1.27%	2.51%	1.20%	2.65%	1.59%	1.74%	1.67%	2.24%	1.95%	1.73%	0.61%	1.54%	2.39%	2.90%	1.90%	2.89%	4.51%	2.81%	2.26%	3.43%	3.01%	3.12%	2.26%	1.80%	1.19%	1.78%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	748	27	30	25	23	25	41	26	41	43	23	21	18	12	7	35	17	18	2	4	7	29	31	28	43	44	29	43	56					
		4.25%	4.34%	5.53%	5.31%	4.45%	4.31%	6.39%	3.19%	3.76%	5.14%	4.69%	2.92%	3.46%	3.71%	2.16%	6.97%	2.90%	2.28%	1.15%	2.25%	4.92%	3.46%	4.09%	2.41%	5.36%	7.11%	4.36%	4.29%	6.23%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	488	20	15	10	12	12	22	26	30	21	10	24	8	7	3	19	16	29	1	2	4	25	38	27	28	18	15	17	29					
		2.77%	3.21%	2.76%	2.12%	2.32%	2.06%	3.43%	3.19%	2.75%	2.51%	2.04%	3.34%	1.54%	2.16%	0.92%	3.78%	2.73%	3.68%	0.57%	1.12%	2.81%	2.98%	5.01%	2.32%	3.49%	2.91%	2.25%	1.69%	3.22%					
22	"5. ""За Русь Святую"""	113	6	0	6	4	0	8	8	12	5	2	4	6	5	2	1	3	3	0	0	0	1	6	4	3	5	5	6	8					
		0.64%	0.96%	0.0%	1.27%	0.77%	0.0%	1.24%	0.98%	1.10%	0.59%	0.40%	0.55%	1.15%	1.54%	0.61%	0.19%	0.51%	0.38%	0.0%	0.0%	0.0%	0.11%	0.79%	0.34%	0.37%	0.80%	0.75%	0.59%	0.89%					
23	"6. ""Объединенная Российская партия ""Русь"""	37	4	0	1	1	0	4	5	3	2	0	0	1	1	0	2	1	1	0	0	1	0	1	2	1	0	3	2	1					
		0.21%	0.64%	0.0%	0.21%	0.19%	0.0%	0.62%	0.61%	0.27%	0.23%	0.0%	0.0%	0.19%	0.30%	0.0%	0.39%	0.17%	0.12%	0.0%	0.0%	0.70%	0.0%	0.13%	0.17%	0.12%	0.0%	0.45%	0.19%	0.11%					
24	"7. ""Новый курс - Автомобильная Россия"""	123	3	2	1	4	5	3	5	15	3	3	3	5	2	2	3	3	13	0	4	1	7	4	9	2	2	6	2	11					
		0.69%	0.48%	0.36%	0.21%	0.77%	0.86%	0.46%	0.61%	1.37%	0.35%	0.61%	0.41%	0.96%	0.61%	0.61%	0.59%	0.51%	1.64%	0.0%	2.25%	0.70%	0.83%	0.52%	0.77%	0.24%	0.32%	0.90%	0.19%	1.22%					
25	"8. ""Народно-республиканская партия России"""	18	0	1	0	2	0	1	1	3	0	0	1	1	0	0	1	2	0	0	1	0	0	0	1	2	0	0	1	0					
		0.10%	0.0%	0.18%	0.0%	0.38%	0.0%	0.15%	0.12%	0.27%	0.0%	0.0%	0.13%	0.19%	0.0%	0.0%	0.19%	0.34%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.08%	0.24%	0.0%	0.0%	0.09%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	71	3	2	2	4	2	3	6	2	1	3	1	1	3	0	2	2	5	0	1	0	8	0	11	3	1	0	2	3					
		0.40%	0.48%	0.36%	0.42%	0.77%	0.34%	0.46%	0.73%	0.18%	0.11%	0.61%	0.13%	0.19%	0.92%	0.0%	0.39%	0.34%	0.63%	0.0%	0.56%	0.0%	0.95%	0.0%	0.94%	0.37%	0.16%	0.0%	0.19%	0.33%					
27	"10. ""Аграрная партия России"""	447	20	10	16	15	9	15	9	17	18	13	17	4	7	13	3	7	21	4	6	3	21	19	79	27	10	16	30	18					
		2.54%	3.21%	1.84%	3.40%	2.90%	1.55%	2.34%	1.10%	1.55%	2.15%	2.65%	2.37%	0.77%	2.16%	4.02%	0.59%	1.19%	2.66%	2.31%	3.38%	2.11%	2.50%	2.50%	6.81%	3.37%	1.61%	2.40%	2.99%	2.00%					
28	"11. ""Истинные патриоты России"""	41	1	0	1	3	2	1	0	0	15	1	2	0	2	0	1	2	1	0	1	0	3	0	0	1	0	2	1	1					
