Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Оленинская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9963	2466	1707	640	110	1409	255	228	388	209	64	210	187	202	167	120	125	82	186	266	153	184	61	255	103	186									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10125	2509	1739	647	110	1428	260	228	387	209	66	212	195	211	176	135	127	81	188	272	154	184	59	256	109	183									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4690	1176	768	225	56	675	109	116	193	110	28	113	133	80	60	51	48	46	94	87	97	103	20	128	64	110									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2573	386	290	134	33	365	114	97	167	88	33	69	48	71	55	41	74	22	63	160	50	64	25	60	35	29									
6	Число погашенных избирательных бюллетеней	2862	947	681	288	21	388	37	15	27	11	5	30	14	60	61	43	5	13	31	25	7	17	14	68	10	44									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2573	386	290	134	33	365	114	97	167	88	33	69	48	71	55	41	74	22	63	160	50	64	25	60	35	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4690	1176	768	225	56	675	109	116	193	110	28	113	133	80	60	51	48	46	94	87	97	103	20	128	64	110									
9	Число недействительных избирательных бюллетеней	51	16	6	0	0	13	0	0	5	1	0	0	1	0	0	0	1	0	0	0	0	0	0	5	0	3									
10	Число действительных избирательных бюллетеней	7212	1546	1052	359	89	1027	223	213	355	197	61	182	180	151	115	92	121	68	157	247	147	167	45	183	99	136									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	265	35	30	15	5	25	5	4	5	10	8	10	8	10	10	10	5	5	10	10	5	5	5	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	113	32	17	3	0	9	3	0	1	0	1	1	8	10	6	10	1	0	0	4	0	0	0	3	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	16	5	3	0	0	2	1	1	2	0	0	2	1	0	1	0	1	3	0	0	1	3	2	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	152	3	13	12	5	16	2	4	4	10	7	9	0	0	4	0	4	5	10	6	5	5	5	7	6	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	57	23	11	2	0	5	1	0	0	1	0	0	1	0	3	3	0	0	3	0	0	0	1	0	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	37	18	9	1	0	4	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1									
		0.51%	1.15%	0.85%	0.28%	0.00%	0.38%	0.00%	0.00%	0.28%	0.51%	0.00%	0.55%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	99	48	24	4	0	6	0	0	2	3	0	1	0	0	2	1	1	0	0	0	3	1	0	2	0	1									
		1.36%	3.07%	2.27%	1.11%	0.00%	0.58%	0.00%	0.00%	0.56%	1.52%	0.00%	0.55%	0.00%	0.00%	1.74%	1.09%	0.82%	0.00%	0.00%	0.00%	2.04%	0.60%	0.00%	1.06%	0.00%	0.72%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	64	9	12	3	1	10	5	0	2	10	0	2	1	0	5	0	0	0	0	1	0	0	0	3	0	0									
		0.88%	0.58%	1.13%	0.84%	1.12%	0.96%	2.24%	0.00%	0.56%	5.05%	0.00%	1.10%	0.55%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	1.60%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5755	1041	730	280	88	787	183	205	319	155	58	168	173	138	86	88	110	64	155	220	133	160	42	153	98	121									
		79.24%	66.65%	68.99%	77.99%	98.88%	75.67%	82.06%	96.24%	88.61%	78.28%	95.08%	92.31%	95.58%	91.39%	74.78%	95.65%	90.16%	94.12%	98.73%	89.07%	90.48%	95.81%	93.33%	81.38%	98.99%	87.05%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	11	3	0	3	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1									
		0.15%	0.19%	0.00%	0.84%	0.00%	0.19%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%									
