Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																													
Дата голосования: 04.12.2011																																																													
																																																													
Наименование Избирательной комиссии:    Алексеевская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54					
1	"Число избирателей, внесенных в список избирателей"	51883	2373	2494	1620	2806	2508	2736	2735	2655	1801	2820	2503	1659	1231	383	1018	414	193	959	652	514	582	413	808	305	379	496	173	425	1310	1146	1009	93	431	274	209	1033	159	549	425	153	791	243	393	211	315	1086	1018	421	145	140	1043	667	474	490					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49000	2100	2100	1470	2500	2250	2480	2480	2400	1620	2550	2250	1480	1110	389	900	421	198	968	661	527	595	420	821	314	389	513	176	437	1342	1170	1016	96	430	283	218	1054	161	557	423	155	791	252	407	216	320	1097	1043	425	148	150	1074	681	476	496					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	39185	1776	1785	1026	2196	1698	2292	2173	1948	1165	1749	2015	1119	818	316	664	356	160	839	517	297	339	294	736	203	302	362	130	345	1191	1045	874	60	344	197	170	904	119	444	347	131	649	186	326	153	255	828	955	347	102	85	673	552	365	263					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5133	115	111	162	88	269	96	87	236	82	327	134	171	122	28	82	53	30	109	104	149	165	56	37	85	74	105	38	60	52	35	118	30	82	63	37	98	36	93	63	15	105	24	53	55	47	218	57	68	42	35	148	108	96	180					
6	Число погашенных избирательных бюллетеней	4682	209	204	282	216	283	92	220	216	373	474	101	190	170	45	154	12	8	20	40	81	91	70	48	26	13	46	8	32	99	90	24	6	4	23	11	52	6	20	13	9	37	42	28	8	18	51	31	10	4	30	253	21	15	53					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5133	115	111	162	88	269	96	87	236	82	327	134	171	122	28	82	53	30	109	104	149	165	56	37	85	74	105	38	60	52	35	118	30	82	63	37	98	36	93	63	15	105	24	53	55	47	218	57	68	42	35	148	108	96	180					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	39185	1776	1785	1026	2196	1698	2292	2173	1948	1165	1749	2015	1119	818	316	664	356	160	839	517	297	339	294	736	203	302	362	130	345	1191	1045	874	60	344	197	170	904	119	444	347	131	649	186	326	153	255	828	955	347	102	85	673	552	365	263					
9	Число недействительных избирательных бюллетеней	390	13	10	5	1	0	17	3	8	15	25	16	10	9	1	9	0	10	3	4	5	2	0	33	3	6	0	0	0	0	0	2	0	22	0	0	0	1	3	1	0	2	0	5	1	3	7	107	2	0	0	11	3	6	6					
10	Число действительных избирательных бюллетеней	43928	1878	1886	1183	2283	1967	2371	2257	2176	1232	2051	2133	1280	931	343	737	409	180	945	617	441	502	350	740	285	370	467	168	405	1243	1080	990	90	404	260	207	1002	154	534	409	146	752	210	374	207	299	1039	905	413	144	120	810	657	455	437					
