Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																								
Дата голосования: 02.12.2007																																																																								
																																																																								
Наименование Избирательной комиссии:    Анапская																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265					
1	"Число избирателей, внесенных в списки избирателей"	105322	2630	2324	1425	2219	2300	1359	1814	1914	1590	2097	2821	2153	1991	2777	2230	3469	2536	1400	373	1105	2277	2444	1967	876	1894	1542	356	337	818	1962	2178	2601	2462	1176	622	2589	873	781	2700	2007	2531	1529	370	1490	1035	610	549	413	2667	1237	501	2147	781	573	742	700	1255	2671	2675	1372	1851	602	1581	1421	1030					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	107900	2750	2900	2300	2500	1900	1300	1900	2000	1700	2700	2800	2500	2700	2700	2300	2950	2700	1200	400	1300	2200	2400	1900	900	1800	1500	380	300	790	2000	2000	2400	2400	1200	650	2500	900	770	2600	1900	2400	1600	370	1500	1000	600	550	400	2700	1300	500	2600	800	590	780	720	1200	2800	2600	1400	1800	600	1600	1500	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	79243	2285	2056	1392	1867	1719	934	1272	1418	1091	1900	2072	1754	1921	2084	1638	2573	1982	1109	314	985	1484	1627	1238	647	1243	1100	301	244	586	1596	1491	1657	1805	913	485	2076	739	635	1841	1423	1781	1287	284	1059	707	341	377	233	2007	881	339	1632	611	434	570	529	886	1926	1922	1076	1261	489	1217	1067	830					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4529	343	95	29	68	46	35	44	56	86	30	29	53	70	67	54	34	66	12	11	30	39	57	74	35	32	62	0	25	26	88	70	56	88	106	22	54	22	8	60	49	60	68	29	148	105	135	71	78	58	145	115	49	30	18	38	34	56	134	523	55	165	30	67	66	21					
6	Число погашенных избирательных бюллетеней	24128	122	749	879	565	135	331	584	526	523	770	699	693	709	549	608	343	652	79	75	285	677	716	588	218	525	338	79	31	178	316	439	687	507	181	143	370	139	127	699	428	559	245	57	293	188	124	102	89	635	274	46	919	159	138	172	157	258	740	155	269	374	81	316	367	149					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4529	343	95	29	68	46	35	44	56	86	30	29	53	70	67	54	34	66	12	11	30	39	57	74	35	32	62	0	25	26	88	70	56	88	106	22	54	22	8	60	49	60	68	29	148	105	135	71	78	58	145	115	49	30	18	38	34	56	134	523	55	165	30	67	66	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	79228	2285	2055	1391	1867	1719	934	1272	1418	1091	1900	2071	1754	1921	2084	1638	2573	1982	1109	314	985	1484	1627	1238	647	1243	1100	301	244	586	1596	1491	1657	1804	913	485	2076	739	635	1841	1423	1781	1287	284	1059	707	341	377	233	2007	881	339	1632	611	434	570	529	882	1926	1922	1076	1259	489	1212	1067	830					
9	Число недействительных избирательных бюллетеней	1351	29	31	43	12	29	1	25	23	25	17	19	20	21	29	26	63	16	8	6	11	37	59	30	8	30	26	16	2	14	0	23	21	29	11	16	20	4	12	26	34	37	13	4	34	6	0	19	11	0	12	6	46	19	14	0	15	20	55	42	30	22	16	8	25	25					
10	Число действительных избирательных бюллетеней	82406	2599	2119	1377	1923	1736	968	1291	1451	1152	1913	2081	1787	1970	2122	1666	2544	2032	1113	319	1004	1486	1625	1282	674	1245	1136	285	267	598	1684	1538	1692	1863	1008	491	2110	757	631	1875	1438	1804	1342	309	1173	806	476	429	300	2065	1014	448	1635	622	438	608	548	918	2005	2403	1101	1402	503	1271	1108	826					
