Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																											
Дата голосования: 04.12.2011																																																																											
																																																																											
Наименование Избирательной комиссии:    Анапская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268					
1	"Число избирателей, внесенных в список избирателей"	106972	3045	2097	1892	1978	2152	2335	2307	1882	1149	1881	1779	1741	2396	2696	1557	2704	1362	923	405	2164	1696	2165	1955	852	2037	1452	343	341	864	2010	2005	2231	2362	1382	605	2709	1048	858	2736	2292	2354	1350	301	1395	938	631	501	410	2514	1110	517	2234	998	580	838	695	928	2136	2667	1349	1565	667	1302	1485	2074	1719	2186	1140					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	112890	2400	1900	1810	2150	2100	2200	2200	2100	1400	2600	2000	2800	2500	2800	1600	2200	1350	900	400	2500	2400	2500	2000	900	2000	1600	350	300	900	2000	1900	2000	2600	1200	700	2700	1000	900	2800	2400	2500	1700	400	1600	1000	650	600	400	2180	1400	500	2400	1000	600	900	750	1300	2300	2800	1400	1800	650	1700	1600	2000	2000	2500	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	80624	1735	1517	1776	1851	1455	1746	1712	1866	953	1858	1208	1716	2125	2498	1327	1751	1256	657	319	1724	1668	1502	1427	587	1203	1039	286	284	523	1929	1425	1661	1874	1136	477	2339	903	728	1820	1671	2000	1021	215	1054	734	537	308	311	1919	660	318	1433	602	400	421	535	673	1159	1301	793	1078	370	1168	1102	1585	1004	1580	811					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3856	438	76	25	127	296	39	29	16	24	23	20	25	27	88	33	58	41	24	20	55	28	44	39	36	21	27	20	15	16	70	49	72	109	36	24	51	18	18	40	43	37	52	33	72	30	94	60	45	188	125	85	39	126	9	55	36	41	82	54	57	58	14	35	53	37	37	17	25					
6	Число погашенных избирательных бюллетеней	28406	227	307	9	172	349	415	459	218	423	719	772	1059	348	214	240	391	53	219	61	721	704	954	534	277	776	534	44	1	361	1	426	267	617	28	199	310	79	154	936	686	463	627	152	474	236	19	232	44	73	615	97	928	272	191	424	179	586	1059	1445	550	664	266	497	445	378	959	903	364					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3856	438	76	25	127	296	39	29	16	24	23	20	25	27	88	33	58	41	24	20	55	28	44	39	36	21	27	20	15	16	70	49	72	109	36	24	51	18	18	40	43	37	52	33	72	30	94	60	45	188	125	85	39	126	9	55	36	41	82	54	57	58	14	35	53	37	37	17	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	80599	1735	1517	1776	1851	1455	1746	1712	1862	953	1858	1208	1716	2125	2498	1327	1751	1256	657	319	1724	1668	1502	1427	587	1203	1039	286	284	523	1929	1425	1661	1874	1136	477	2339	903	728	1820	1671	1985	1021	215	1054	734	537	308	311	1919	660	318	1433	602	400	421	535	673	1159	1301	790	1078	370	1168	1102	1582	1004	1580	811					
9	Число недействительных избирательных бюллетеней	1086	33	22	6	23	23	25	2	33	3	2	19	6	11	22	17	33	16	8	7	18	2	19	148	15	36	17	10	0	6	0	22	4	15	19	0	26	6	3	18	13	23	7	3	0	1	0	0	0	76	0	0	19	9	7	7	1	18	21	36	11	26	13	18	10	20	24	9	19					
10	Число действительных избирательных бюллетеней	83369	2140	1571	1795	1955	1728	1760	1739	1845	974	1879	1209	1735	2141	2564	1343	1776	1281	673	332	1761	1694	1527	1318	608	1188	1049	296	299	533	1999	1452	1729	1968	1153	501	2364	915	743	1842	1701	1999	1066	245	1126	763	631	368	356	2031	785	403	1453	719	402	469	570	696	1220	1319	836	1110	371	1185	1145	1599	1017	1588	817					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1623	26	20	25	25	24	25	35	35	35	37	43	51	30	50	32	55	30	20	15	35	25	25	20	15	30	20	10	10	10	25	15	20	40	10	10	20	10	5	25	30	28	20	10	25	20	10	10	10	64	20	10	40	20	10	10	10	20	25	35	20	30	10	30	15	15	28	35	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1613	26	20	25	25	24	25	35	35	35	37	43	51	30	50	32	55	28	20	15	35	25	25	20	15	30	20	10	10	10	25	15	20	40	10	10	20	10	5	25	30	28	20	10	25	20	10	10	10	64	20	10	40	20	10	10	10	20	25	33	19	30	10	30	15	15	28	35	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2448	387	22	19	619	324	53	19	11	5	73	32	13	21	11	21	14	20	94	13	20	19	5	9	5	2	5	1	3	0	9	17	28	5	4	10	4	0	2	5	16	2	6	1	21	4	2	2	6	310	6	4	11	6	1	3	4	7	2	7	3	40	6	2	10	13	12	12	5					
