Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																														
Дата голосования: 07.12.2003 0:00:00																																																														
																																																														
Наименование Избирательной комиссии:    Буздякская																																																														
																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																														
																																																														
		Сумма	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008					
1	"Число избирателей, внесенных в списки"	22466	2339	2198	2643	361	362	196	125	461	265	205	284	607	251	63	722	162	259	257	386	393	159	599	309	102	368	519	217	160	118	168	581	233	135	138	480	43	409	108	304	76	848	336	252	569	148	93	238	108	215	394	418	316	168	547	51					
2	"Число бюллетеней, полученных участковыми комиссиями"	21987	2219	2101	2520	358	350	192	121	461	263	200	276	601	247	63	727	162	257	251	383	391	156	594	298	101	368	511	219	159	118	164	578	226	134	137	484	44	405	116	303	76	832	331	248	568	150	96	237	107	215	392	412	305	165	544	51					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17399	1610	1443	1826	290	269	164	92	351	195	191	218	563	229	61	650	131	200	220	281	293	127	466	231	77	300	479	202	154	111	140	431	193	113	104	385	37	318	87	232	69	605	280	221	549	135	93	193	95	178	330	309	249	136	464	29					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1043	35	38	20	21	20	14	12	37	25	8	10	19	3	2	31	13	28	26	46	55	29	37	34	20	21	9	15	5	6	11	33	12	3	0	40	3	11	21	15	0	61	33	13	0	0	0	11	5	11	24	21	12	0	45	19					
6	Число погашенных бюллетеней	3545	574	620	674	47	61	14	17	73	43	1	48	19	15	0	46	18	29	5	56	43	0	91	33	4	47	23	2	0	1	13	114	21	18	33	59	4	76	8	56	7	166	18	14	19	15	3	33	7	26	38	82	44	29	35	3					
7	Число бюллетеней в переносных ящиках для голосования	1043	35	38	20	21	20	14	12	37	25	8	10	19	3	2	31	13	28	26	46	55	29	37	34	20	21	9	15	5	6	11	33	12	3	0	40	3	11	21	15	0	61	33	13	0	0	0	11	5	11	24	21	12	0	45	19					
8	Число бюллетеней в стационарных ящиках для голосования	17399	1610	1443	1826	290	269	164	92	351	195	191	218	563	229	61	650	131	200	220	281	293	127	466	231	77	300	479	202	154	111	140	431	193	113	104	385	37	318	87	232	69	605	280	221	549	135	93	193	95	178	330	309	249	136	464	29					
9	Число недействительных бюллетеней	625	65	48	40	7	8	13	5	5	5	4	18	0	0	0	12	0	22	6	0	0	0	3	1	0	15	15	6	1	1	2	44	19	7	19	18	1	6	19	15	11	51	24	13	0	10	0	6	0	14	0	12	16	18	0	0					
10	Число действительных бюллетеней	17817	1580	1433	1806	304	281	165	99	383	215	195	210	582	232	63	669	144	206	240	327	348	156	500	264	97	306	473	211	158	116	149	420	186	109	85	407	39	323	89	232	58	615	289	221	549	125	93	198	100	175	354	318	245	118	509	48					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	195	15	24	23	1	5	3	1	7	3	2	0	2	2	1	3	3	2	2	4	0	0	4	3	3	5	5	3	3	2	2	3	3	2	0	3	2	4	0	4	0	9	2	1	4	3	3	1	0	3	3	3	2	2	4	1					
