Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Даниловский район																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК  2992	УИК №3135	УИК №3136	УИК №3137					
1	"Число избирателей, внесенных в список"	54982	2393	2531	1608	1650	2237	1602	1752	1903	2173	2071	2312	2833	1505	1916	2118	2179	2159	1662	2541	1134	1883	2280	2337	2631	1722	1695	1342	501	174	138					
2	Число полученных избирательных бюллетеней	57700	2200	2300	2000	2000	2100	2200	2000	2400	2100	1700	2700	3000	1400	2100	2000	2000	2400	2100	2400	1100	1800	2100	2300	2500	1600	2200	1300	1100	400	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	35662	1359	1382	1167	1061	1723	1193	1220	1366	1782	1628	1548	2511	1079	1429	1030	1160	1345	1197	1306	603	972	1207	1297	1358	937	1327	682	481	174	138					
5	"Число избирательных бюллетеней, выданных вне помещения"	1071	29	52	23	15	83	47	42	40	50	22	77	105	10	44	42	28	31	40	50	7	30	28	37	29	25	55	30	0	0	0					
6	Число погашенных избирательных бюллетеней	20967	812	866	810	924	294	960	738	994	268	50	1075	384	311	627	928	812	1024	863	1044	490	798	865	966	1113	638	818	588	619	226	62					
7	Число избирательных бюллетеней в переносных ящиках	1071	29	52	23	15	83	47	42	40	50	22	77	105	10	44	42	28	31	40	50	7	30	28	37	29	25	55	30	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	35244	1358	1374	1160	1061	1640	1187	1191	1362	1778	1628	1543	2511	1079	1424	974	1160	1327	1197	1303	603	972	1204	1260	1358	795	1325	679	479	174	138					
9	Число недействительных избирательных бюллетеней	434	2	9	14	6	6	11	13	13	15	12	1	80	12	28	16	22	14	14	13	5	6	10	8	48	18	17	8	9	2	2					
10	Число действительных избирательных бюллетеней	35881	1385	1417	1169	1070	1717	1223	1220	1389	1813	1638	1619	2536	1077	1440	1000	1166	1344	1223	1340	605	996	1222	1289	1339	802	1363	701	470	172	136					
11	Число полученных открепительных  удостоверений	1370	50	50	50	50	50	50	50	50	40	40	70	150	30	50	50	50	50	50	50	30	40	50	50	50	40	50	30	0	0	0					
12	Число выданных открепительных удостоверений	880	28	39	27	30	26	31	22	43	13	38	52	137	15	28	23	23	29	33	30	15	18	28	32	33	37	35	15	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	940	45	21	24	5	35	8	40	24	54	109	30	9	20	18	7	35	14	18	16	10	50	31	72	19	7	32	9	28	12	138					
14	Число неиспользованных открепительных удостоверений	490	22	11	23	20	24	19	28	7	27	2	18	13	15	22	27	27	21	17	20	15	22	22	18	17	3	15	15	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	11	3	1	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	2130	106	96	71	76	109	88	101	109	55	75	133	20	36	74	57	70	76	66	85	37	63	116	96	90	53	67	47	37	8	13					
		5.87%	7.64%	6.73%	6.00%	7.06%	6.33%	7.13%	8.19%	7.77%	3.01%	4.55%	8.21%	0.76%	3.31%	5.04%	5.61%	5.89%	5.60%	5.34%	6.28%	6.07%	6.29%	9.42%	7.40%	6.49%	6.46%	4.86%	6.63%	7.72%	4.60%	9.42%					
19	. Малышкин Олег Александрович	399	10	14	15	15	11	19	25	10	11	12	13	26	16	17	9	14	16	6	12	17	11	15	13	21	3	22	13	9	3	1					
		1.10%	0.72%	0.98%	1.27%	1.39%	0.64%	1.54%	2.03%	0.71%	0.60%	0.73%	0.80%	0.99%	1.47%	1.16%	0.89%	1.18%	1.18%	0.49%	0.89%	2.79%	1.10%	1.22%	1.00%	1.51%	0.37%	1.59%	1.83%	1.88%	1.72%	0.72%					
