Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Лермонтовская городская																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726					
1	"Число избирателей, внесенных в списки"	19355	2031	2028	2011	2133	2197	2487	2326	2094	2048					
2	"Число бюллетеней, полученных участковыми комиссиями"	18799	1976	1965	1973	2059	2128	2416	2274	2029	1979					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9796	984	992	1109	1087	1093	1180	1189	1107	1055					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	369	67	47	31	23	51	28	36	38	48					
6	Число погашенных бюллетеней	8633	925	926	833	949	984	1208	1048	884	876					
7	Число бюллетеней в переносных ящиках для голосования	369	67	47	31	23	51	28	36	38	48					
8	Число бюллетеней в стационарных ящиках для голосования	9794	984	991	1109	1087	1093	1179	1189	1107	1055					
9	Число недействительных бюллетеней	103	14	4	12	8	8	8	20	18	11					
10	Число действительных бюллетеней	10060	1037	1034	1128	1102	1136	1199	1205	1127	1092					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	298	33	33	33	33	33	33	33	33	34					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	63	7	3	10	4	8	6	12	3	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	1	3	4	3	3	2	2	3	1					
14	Число погашенных открепительных удостоверений	235	26	30	23	29	25	27	21	30	24					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	2					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	1	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	114	17	9	9	14	8	20	13	15	9					
		1.12%	1.61%	0.86%	0.78%	1.26%	0.69%	1.65%	1.06%	1.31%	0.81%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	218	19	22	20	36	21	30	26	17	27					
		2.14%	1.80%	2.11%	1.75%	3.24%	1.83%	2.48%	2.12%	1.48%	2.44%					
