Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Рыбновская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118					
1	"Число избирателей, внесенных в списки"	28782	474	238	1961	994	356	363	310	1057	324	185	439	88	277	287	555	362	406	314	171	349	455	418	409	397	187	679	562	842	550	72	1489	1574	1172	660	1837	1921	2007	2192	1849					
2	"Число бюллетеней, полученных участковыми комиссиями"	25147	435	214	1655	890	320	322	280	940	295	170	392	81	257	257	493	323	366	284	170	315	408	382	410	358	170	600	502	770	510	82	1300	1360	1018	628	1610	1610	1800	1560	1610					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12642	170	81	874	338	173	187	143	526	135	53	137	49	131	177	273	153	187	159	23	138	238	197	313	174	77	269	279	364	188	49	685	617	525	320	689	754	864	1047	886					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2093	112	63	25	86	40	64	85	71	60	40	120	11	40	27	66	73	47	32	114	54	21	20	7	99	47	65	15	86	111	23	65	59	16	59	35	45	29	33	28					
6	Число погашенных бюллетеней	10411	153	70	756	466	107	71	52	343	100	77	135	21	86	53	154	97	132	93	33	123	149	165	90	85	46	266	208	320	211	10	550	684	477	249	886	811	906	480	696					
7	Число бюллетеней в переносных ящиках для голосования	2092	112	63	25	86	40	64	85	71	60	40	120	11	40	27	66	73	47	32	114	54	21	20	7	99	47	65	15	86	110	23	65	59	16	59	35	45	29	33	28					
8	Число бюллетеней в стационарных ящиках для голосования	12626	170	81	874	338	173	187	143	526	135	53	137	49	131	177	273	153	187	159	23	138	238	197	313	174	77	267	279	364	188	49	679	617	525	320	681	754	864	1047	886					
9	Число недействительных бюллетеней	206	2	1	15	6	2	5	0	14	4	2	0	1	3	5	4	1	0	3	0	0	5	6	2	5	2	3	6	14	2	1	0	9	6	9	7	22	8	24	7					
10	Число действительных бюллетеней	14512	280	143	884	418	211	246	228	583	191	91	257	59	168	199	335	225	234	188	137	192	254	211	318	268	122	329	288	436	296	71	744	667	535	370	709	777	885	1056	907					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	393	8	6	23	15	6	6	4	15	5	4	6	3	5	5	7	6	8	4	3	6	7	7	3	6	3	10	7	12	10	3	21	20	15	12	23	23	23	20	23					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	80	0	0	8	1	0	0	1	7	2	0	2	0	1	0	0	0	0	0	0	2	0	1	0	2	0	0	0	3	1	0	7	5	7	2	5	7	5	6	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	150	0	1	7	7	3	2	3	3	4	1	0	0	1	3	9	3	5	0	1	2	7	1	33	6	1	4	3	5	3	3	2	3	4	6	2	3	0	4	5					
14	Число погашенных открепительных удостоверений	313	8	6	15	14	6	6	3	8	3	4	4	3	4	5	7	6	8	4	3	4	7	6	3	4	3	10	7	9	9	3	14	15	8	10	18	16	18	14	18					
15	Число открепительных удостоверений выданных ТИК	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	1	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	189	7	4	6	7	1	0	2	7	2	2	1	0	5	4	5	2	3	5	4	3	6	1	1	7	0	6	3	7	2	2	10	7	7	5	9	7	9	13	17					
		1.28%	2.48%	2.77%	0.66%	1.65%	0.46%	0.0%	0.87%	1.17%	1.02%	2.15%	0.38%	0.0%	2.92%	1.96%	1.47%	0.88%	1.28%	2.61%	2.91%	1.56%	2.31%	0.46%	0.31%	2.56%	0.0%	1.80%	1.02%	1.55%	0.67%	2.77%	1.34%	1.03%	1.29%	1.31%	1.25%	0.87%	1.00%	1.20%	1.85%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	449	5	2	33	5	1	3	5	13	3	0	2	0	2	5	5	1	5	0	1	4	8	5	125	0	1	3	3	12	0	0	19	27	24	7	19	18	23	42	18					
		3.05%	1.77%	1.38%	3.67%	1.17%	0.46%	1.19%	2.19%	2.17%	1.53%	0.0%	0.77%	0.0%	1.16%	2.45%	1.47%	0.44%	2.13%	0.0%	0.72%	2.08%	3.08%	2.30%	39.06%	0.0%	0.80%	0.90%	1.02%	2.66%	0.0%	0.0%	2.55%	3.99%	4.43%	1.84%	2.65%	2.25%	2.57%	3.88%	1.96%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1575	17	3	57	56	19	15	16	78	8	16	28	2	11	23	33	3	10	10	15	31	17	25	6	19	13	72	48	76	45	22	91	79	58	75	73	78	111	114	102					
		10.70%	6.02%	2.08%	6.34%	13.20%	8.92%	5.97%	7.01%	13.06%	4.10%	17.20%	10.89%	3.33%	6.43%	11.27%	9.73%	1.32%	4.27%	5.23%	10.94%	16.14%	6.56%	11.52%	1.87%	6.95%	10.48%	21.68%	16.32%	16.88%	15.10%	30.55%	12.23%	11.68%	10.72%	19.78%	10.19%	9.76%	12.43%	10.55%	11.15%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	368	3	0	20	6	5	3	2	18	1	3	1	1	1	5	10	3	2	1	4	4	1	15	2	4	1	2	8	8	3	0	24	25	18	8	42	25	32	28	29					
		2.50%	1.06%	0.0%	2.22%	1.41%	2.34%	1.19%	0.87%	3.01%	0.51%	3.22%	0.38%	1.66%	0.58%	2.45%	2.94%	1.32%	0.85%	0.52%	2.91%	2.08%	0.38%	6.91%	0.62%	1.46%	0.80%	0.60%	2.72%	1.77%	1.00%	0.0%	3.22%	3.69%	3.32%	2.11%	5.86%	3.12%	3.58%	2.59%	3.17%					
22	"5. ""За Русь Святую"""	69	2	0	4	2	4	3	0	2	0	1	0	1	0	1	0	5	0	2	0	0	0	4	1	2	0	1	0	1	0	0	8	5	3	1	2	1	8	3	2					
		0.46%	0.70%	0.0%	0.44%	0.47%	1.87%	1.19%	0.0%	0.33%	0.0%	1.07%	0.0%	1.66%	0.0%	0.49%	0.0%	2.21%	0.0%	1.04%	0.0%	0.0%	0.0%	1.84%	0.31%	0.73%	0.0%	0.30%	0.0%	0.22%	0.0%	0.0%	1.07%	0.73%	0.55%	0.26%	0.27%	0.12%	0.89%	0.27%	0.21%					
23	"6. ""Объединенная Российская партия ""Русь"""	36	0	0	5	3	1	0	0	4	0	1	1	0	1	1	2	1	0	0	0	1	0	0	0	0	2	0	0	0	1	0	2	1	0	0	1	3	0	4	1					
		0.24%	0.0%	0.0%	0.55%	0.70%	0.46%	0.0%	0.0%	0.67%	0.0%	1.07%	0.38%	0.0%	0.58%	0.49%	0.58%	0.44%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	1.61%	0.0%	0.0%	0.0%	0.33%	0.0%	0.26%	0.14%	0.0%	0.0%	0.13%	0.37%	0.0%	0.37%	0.10%					
24	"7. ""Новый курс - Автомобильная Россия"""	101	0	0	2	1	1	0	1	4	1	1	0	0	1	1	2	3	1	0	0	1	1	0	0	0	0	6	5	4	4	0	2	3	4	1	3	10	8	26	4					
		0.68%	0.0%	0.0%	0.22%	0.23%	0.46%	0.0%	0.43%	0.67%	0.51%	1.07%	0.0%	0.0%	0.58%	0.49%	0.58%	1.32%	0.42%	0.0%	0.0%	0.52%	0.38%	0.0%	0.0%	0.0%	0.0%	1.80%	1.70%	0.88%	1.34%	0.0%	0.26%	0.44%	0.73%	0.26%	0.41%	1.25%	0.89%	2.40%	0.43%					
25	"8. ""Народно-республиканская партия России"""	16	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	3	2					
		0.10%	0.0%	0.0%	0.11%	0.23%	0.0%	0.39%	0.43%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.80%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.18%	0.0%	0.0%	0.0%	0.0%	0.27%	0.21%					
26	"9. ""Российская экологическая партия ""Зеленые"""	49	0	0	2	1	0	0	0	4	0	2	0	0	0	0	1	0	0	0	0	1	2	1	1	0	0	4	2	0	1	0	2	1	4	2	1	1	7	7	2					
		0.33%	0.0%	0.0%	0.22%	0.23%	0.0%	0.0%	0.0%	0.67%	0.0%	2.15%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.52%	0.77%	0.46%	0.31%	0.0%	0.0%	1.20%	0.68%	0.0%	0.33%	0.0%	0.26%	0.14%	0.73%	0.52%	0.13%	0.12%	0.78%	0.64%	0.21%					
27	"10. ""Аграрная партия России"""	667	20	5	63	19	12	54	15	29	8	4	14	4	16	10	24	20	9	31	4	16	28	9	2	18	1	24	25	13	19	0	15	25	16	6	23	10	19	8	29					
		4.53%	7.09%	3.47%	7.00%	4.48%	5.63%	21.51%	6.57%	4.85%	4.10%	4.30%	5.44%	6.66%	9.35%	4.90%	7.07%	8.84%	3.84%	16.23%	2.91%	8.33%	10.81%	4.14%	0.62%	6.59%	0.80%	7.22%	8.50%	2.88%	6.37%	0.0%	2.01%	3.69%	2.95%	1.58%	3.21%	1.25%	2.12%	0.74%	3.17%					
28	"11. ""Истинные патриоты России"""	57	0	0	0	0	0	3	0	0	1	0	0	5	1	0	0	27	0	0	3	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	1					
		0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	1.19%	0.0%	0.0%	0.51%	0.0%	0.0%	8.33%	0.58%	0.0%	0.0%	11.94%	0.0%	0.0%	2.18%	0.0%	1.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.11%	0.10%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	139	2	0	7	4	1	2	5	10	1	1	2	0	1	3	4	3	0	2	0	1	2	3	0	2	0	2	6	1	1	0	2	10	9	2	12	8	5	13	12					
		0.94%	0.70%	0.0%	0.77%	0.94%	0.46%	0.79%	2.19%	1.67%	0.51%	1.07%	0.77%	0.0%	0.58%	1.47%	1.17%	1.32%	0.0%	1.04%	0.0%	0.52%	0.77%	1.38%	0.0%	0.73%	0.0%	0.60%	2.04%	0.22%	0.33%	0.0%	0.26%	1.47%	1.66%	0.52%	1.67%	1.00%	0.55%	1.20%	1.31%					
30	"13. ""Демократическая партия России"""	36	1	1	4	2	0	0	0	3	4	0	0	0	0	1	1	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	2	0	0	0	4	1	4	2	1					
		0.24%	0.35%	0.69%	0.44%	0.47%	0.0%	0.0%	0.0%	0.50%	2.05%	0.0%	0.0%	0.0%	0.0%	0.49%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.77%	0.92%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.55%	0.12%	0.44%	0.18%	0.10%					
31	"14. ""Великая Россия - Евразийский Союз"""	25	0	0	2	3	1	0	0	1	0	2	0	2	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	2	4	1	1					
		0.16%	0.0%	0.0%	0.22%	0.70%	0.46%	0.0%	0.0%	0.16%	0.0%	2.15%	0.0%	3.33%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.36%	0.80%	0.0%	0.0%	0.0%	0.33%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.25%	0.44%	0.09%	0.10%					
32	"15. ""Партия СЛОН"""	18	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	1	0	0	2	1	2	0	1	0	0	1	1	2	1					
