Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Хабаровская (ОИК 70)																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №740	УИК №741	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №785	УИК №786	УИК №787	УИК №793	УИК №794	УИК №795	УИК №796									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31313	609	410	447	1634	558	137	777	68	536	266	381	91	59	362	870	251	661	80	1763	1724	412	1555	1346	1128	218	1657	742	2184	1034	1775	1070	2253	1634	2099	522									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30366	600	400	400	1600	500	130	750	70	560	270	400	90	56	400	850	200	650	70	1700	1700	400	1500	1300	1100	200	1600	770	2100	1000	1700	1000	2200	1600	2000	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	38	0	0	0	0	0	0	35	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11882	202	103	103	449	153	50	239	18	190	81	158	52	30	121	735	111	221	54	759	1451	113	403	598	365	74	718	556	536	257	584	298	733	573	622	172									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	544	8	7	5	9	21	6	53	1	20	29	12	2	8	25	28	3	38	0	22	70	9	7	8	13	0	26	8	8	6	32	1	21	12	20	6									
6	Число погашенных избирательных бюллетеней	17902	390	290	292	1142	326	74	423	51	347	160	230	36	18	254	87	86	391	16	919	179	278	1090	694	722	126	856	206	1556	737	1084	701	1446	1015	1358	322									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	582	8	7	5	9	21	6	88	1	23	29	12	2	8	25	28	3	38	0	22	70	9	7	8	13	0	26	8	8	6	32	1	21	12	20	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11876	202	103	103	449	153	50	239	18	190	81	158	52	30	121	735	111	221	54	756	1450	113	403	598	364	74	718	556	536	257	584	297	733	573	622	172									
9	Число недействительных избирательных бюллетеней	346	6	0	1	21	1	1	9	1	6	1	4	0	0	1	12	7	7	0	22	46	5	13	19	10	3	29	11	18	5	15	7	17	19	20	9									
10	Число действительных избирательных бюллетеней	12112	204	110	107	437	173	55	318	18	207	109	166	54	38	145	751	107	252	54	756	1474	117	397	587	367	71	715	553	526	258	601	291	737	566	622	169									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	620	30	5	5	30	5	5	10	5	10	5	10	5	5	20	20	5	10	5	60	20	30	30	20	30	5	20	30	20	10	30	30	30	30	30	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	272	2	1	2	8	1	1	4	1	10	5	10	2	5	20	20	0	2	0	18	14	4	17	3	19	3	10	9	9	2	9	21	24	9	5	2									
