Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Кызылская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12913	1433	1288	2157	2272	532	577	601	220	623	316	985	653	649	607									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15180	1525	1610	2626	2176	731	646	761	312	822	374	1266	918	743	670									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	266	0	0	0	0	84	0	120	0	0	0	0	0	62	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9953	939	806	1689	1825	382	496	471	201	516	273	804	621	441	489									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	503	71	32	18	42	30	23	8	9	27	43	58	16	8	118									
6	Число погашенных избирательных бюллетеней	4458	515	772	919	309	235	127	162	102	279	58	404	281	232	63									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	768	71	32	17	42	114	23	128	9	27	43	58	16	70	118									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9926	939	806	1662	1825	382	496	471	201	516	273	804	621	441	489									
9	Число недействительных избирательных бюллетеней	98	15	7	15	12	7	0	6	0	4	2	13	9	0	8									
10	Число действительных избирательных бюллетеней	10596	995	831	1664	1855	489	519	593	210	539	314	849	628	511	599									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	122	21	10	14	17	5	5	5	5	5	5	10	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	93	16	8	10	17	5	5	0	4	2	0	6	10	5	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	56	2	1	6	11	3	3	3	5	3	5	2	5	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	29	5	2	4	0	0	0	5	1	3	5	4	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	4	1	4	2	3	3	2	4	4	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	32	4	4	6	3	0	3	0	0	4	0	4	1	1	2									
