Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Максатихинская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676	УИК  677	УИК  678	УИК  679	УИК  680	УИК  681	УИК  682	УИК  683	УИК  684	УИК  685	УИК  686	УИК  687	УИК  688	УИК  689	УИК  690	УИК  691	УИК  692					
1	"Число избирателей, внесенных в список"	16261	349	115	106	1766	2202	2424	1465	253	148	204	205	469	549	205	331	141	208	254	555	322	264	222	168	166	593	327	281	572	439	322	433	203					
2	Число полученных избирательных бюллетеней	16199	340	103	105	1733	2217	2438	1486	250	153	196	206	468	563	190	328	137	210	246	532	323	264	219	171	168	599	317	273	571	441	314	433	205					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6968	190	72	26	755	907	1044	564	157	69	70	93	181	228	107	238	65	89	112	248	148	101	76	82	58	262	124	124	258	157	156	126	81					
5	"Число избирательных бюллетеней, выданных вне помещения"	2218	62	13	63	94	34	41	60	68	40	87	62	92	116	73	38	39	44	80	98	60	72	49	54	67	75	83	74	52	154	68	145	61					
6	Число погашенных избирательных бюллетеней	7013	88	18	16	884	1276	1353	862	25	44	39	51	195	219	10	52	33	77	54	186	115	91	94	35	43	262	110	75	261	130	90	162	63					
7	Число избирательных бюллетеней в переносных ящиках	2218	62	13	63	94	34	41	60	68	40	87	62	92	116	73	38	39	44	80	98	60	72	49	54	67	75	83	74	52	154	68	145	61					
8	Число бюллетеней в стационарных ящиках для голосования	6968	190	72	26	755	907	1044	564	157	69	70	93	181	228	107	238	65	89	112	248	148	101	76	82	58	262	124	124	258	157	156	126	81					
9	Число недействительных избирательных бюллетеней	25	2	0	1	3	2	4	2	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	2	0	0	1	1	2	0	0					
10	Число действительных избирательных бюллетеней	9161	250	85	88	846	939	1081	622	224	109	157	155	273	343	180	275	104	133	192	346	208	171	125	136	125	335	207	198	309	310	222	271	142					
11	Число полученных открепительных  удостоверений	255	7	6	6	13	13	14	12	7	6	7	7	9	14	8	9	6	6	8	10	7	7	6	6	6	8	7	6	7	7	7	7	6					
12	Число выданных открепительных удостоверений	72	2	0	0	9	11	11	4	0	3	0	0	1	10	2	2	1	0	0	0	2	0	1	2	0	0	2	1	2	1	0	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	71	0	2	0	13	8	11	3	0	0	2	0	3	1	3	2	0	2	0	3	1	1	1	1	0	1	5	1	4	0	1	2	0					
14	Число неиспользованных открепительных удостоверений	183	5	6	6	4	2	3	8	7	3	7	7	8	4	6	7	5	6	8	10	5	7	5	4	6	8	5	5	5	6	7	2	6					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	4	0	3	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																							
18	. Глазьев Сергей Юрьевич	230	5	2	4	16	39	45	18	4	0	3	2	4	8	3	4	1	2	3	2	12	3	2	2	3	9	4	1	11	6	1	3	8					
		2.50%	1.98%	2.35%	4.49%	1.88%	4.14%	4.15%	2.88%	1.78%	0.00%	1.91%	1.29%	1.47%	2.33%	1.67%	1.45%	0.96%	1.50%	1.56%	0.58%	5.77%	1.73%	1.60%	1.47%	2.40%	2.67%	1.93%	0.51%	3.55%	1.93%	0.45%	1.11%	5.63%					
19	. Малышкин Олег Александрович	201	6	1	0	12	19	24	20	11	0	5	2	4	1	2	5	6	2	6	2	0	6	5	3	4	14	7	1	8	9	9	4	3					
		2.19%	2.38%	1.18%	0.00%	1.41%	2.02%	2.21%	3.21%	4.89%	0.00%	3.18%	1.29%	1.47%	0.29%	1.11%	1.81%	5.77%	1.50%	3.12%	0.58%	0.00%	3.47%	4.00%	2.21%	3.20%	4.15%	3.38%	0.51%	2.58%	2.89%	4.02%	1.48%	2.11%					
20	. Миронов Сергей Михайлович	91	3	1	0	8	6	11	5	2	3	1	4	2	1	6	3	0	3	1	5	1	2	2	1	3	7	1	0	4	3	2	0	0					
		0.99%	1.19%	1.18%	0.00%	0.94%	0.64%	1.01%	0.80%	0.89%	2.75%	0.64%	2.58%	0.73%	0.29%	3.33%	1.09%	0.00%	2.26%	0.52%	1.45%	0.48%	1.16%	1.60%	0.74%	2.40%	2.08%	0.48%	0.00%	1.29%	0.96%	0.89%	0.00%	0.00%					
21	. Путин Владимир Владимирович	6744	185	62	62	651	609	699	459	162	86	118	99	211	280	142	223	87	82	145	275	153	138	91	120	108	273	156	126	222	251	149	215	105					
		73.42%	73.41%	72.94%	69.66%	76.68%	64.72%	64.42%	73.56%	72.00%	78.90%	75.16%	63.87%	77.29%	81.40%	78.89%	80.80%	83.65%	61.65%	75.52%	79.48%	73.56%	79.77%	72.80%	88.24%	86.40%	81.01%	75.36%	63.64%	71.61%	80.71%	66.52%	79.34%	73.94%					
22	. Хакамада Ирина Муцуовна	169	2	0	3	14	30	44	9	2	2	0	3	10	5	2	5	0	1	3	7	1	2	1	2	2	1	1	1	5	5	2	2	2					
		1.84%	0.79%	0.00%	3.37%	1.65%	3.19%	4.06%	1.44%	0.89%	1.83%	0.00%	1.94%	3.66%	1.45%	1.11%	1.81%	0.00%	0.75%	1.56%	2.02%	0.48%	1.16%	0.80%	1.47%	1.60%	0.30%	0.48%	0.51%	1.61%	1.61%	0.89%	0.74%	1.41%					
23	. Харитонов Николай Михайлович	1519	45	19	14	124	202	210	90	29	18	29	42	37	47	18	32	8	38	33	51	39	19	21	8	5	28	36	67	51	34	57	44	24					
		16.54%	17.86%	22.35%	15.73%	14.61%	21.47%	19.35%	14.42%	12.89%	16.51%	18.47%	27.10%	13.55%	13.66%	10.00%	11.59%	7.69%	28.57%	17.19%	14.74%	18.75%	10.98%	16.80%	5.88%	4.00%	8.31%	17.39%	33.84%	16.45%	10.93%	25.45%	16.24%	16.90%					
																																							
