Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Сладковская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9612	887	474	187	600	1271	130	359	307	540	601	1447	1729	324	756									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9651	878	474	190	620	1280	130	364	310	533	605	1450	1730	327	760									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	543	0	0	68	139	42	0	0	151	0	63	0	0	80	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7507	700	378	109	388	1022	114	299	128	436	463	1121	1522	220	607									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	727	94	61	0	36	70	5	32	3	63	22	200	37	15	89									
6	Число погашенных избирательных бюллетеней	874	84	35	13	57	146	11	33	28	34	57	129	171	12	64									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1270	94	61	68	175	112	5	32	154	63	85	200	37	95	89									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7507	700	378	109	388	1022	114	299	128	436	463	1121	1522	220	607									
9	Число недействительных избирательных бюллетеней	52	2	0	0	0	45	0	1	1	1	0	1	1	0	0									
10	Число действительных избирательных бюллетеней	8725	792	439	177	563	1089	119	330	281	498	548	1320	1558	315	696									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	365	20	30	5	40	20	10	10	10	30	40	50	20	30	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	40	4	0	0	11	1	0	2	0	3	0	7	9	1	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	18	1	1	1	1	0	1	0	0	1	1	8	2	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	325	16	30	5	29	19	10	8	10	27	40	43	11	29	48									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	1	1	0	0	1	0	0	0	0	1	13	6	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	16	0	0	0	0	10	0	0	0	3	0	0	3	0	0									
		0.18%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.19%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	64	2	3	1	2	26	2	3	2	3	2	5	7	3	3									
		0.73%	0.25%	0.68%	0.56%	0.36%	2.29%	1.68%	0.91%	0.71%	0.60%	0.36%	0.38%	0.45%	0.95%	0.43%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	21	0	0	0	2	14	0	1	0	0	0	3	0	1	0									
		0.24%	0.00%	0.00%	0.00%	0.36%	1.23%	0.00%	0.30%	0.00%	0.00%	0.00%	0.23%	0.00%	0.32%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7372	731	392	165	518	491	102	270	241	450	511	1229	1351	271	650									
		83.99%	92.07%	89.29%	93.22%	92.01%	43.30%	85.71%	81.57%	85.46%	90.18%	93.25%	93.04%	86.66%	86.03%	93.39%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	11	0	0	0	1	2	0	1	0	0	1	3	2	0	1									
		0.13%	0.00%	0.00%	0.00%	0.18%	0.18%	0.00%	0.30%	0.00%	0.00%	0.18%	0.23%	0.13%	0.00%	0.14%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	0	0	1	3	0	0	0	1	0	0	0	0	0									
		0.06%	0.00%	0.00%	0.00%	0.18%	0.26%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	527	10	8	5	9	329	4	14	12	20	8	23	61	13	11									
		6.00%	1.26%	1.82%	2.82%	1.60%	29.01%	3.36%	4.23%	4.26%	4.01%	1.46%	1.74%	3.91%	4.13%	1.58%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	0	0	0	2	6	0	0	0	0	1	2	2	0	0									
		0.15%	0.00%	0.00%	0.00%	0.36%	0.53%	0.00%	0.00%	0.00%	0.00%	0.18%	0.15%	0.13%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	12	0	0	0	0	3	0	0	0	0	0	3	3	1	2									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.19%	0.32%	0.29%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0									
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	16	0	2	0	1	6	0	0	1	0	1	1	3	1	0									
		0.18%	0.00%	0.46%	0.00%	0.18%	0.53%	0.00%	0.00%	0.35%	0.00%	0.18%	0.08%	0.19%	0.32%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	390	39	24	5	18	117	5	21	11	11	14	33	65	10	17									
		4.44%	4.91%	5.47%	2.82%	3.20%	10.32%	4.20%	6.34%	3.90%	2.20%	2.55%	2.50%	4.17%	3.17%	2.44%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	0	0	0	1	3	0	1	0	0	3	2	2	0	2									
		0.16%	0.00%	0.00%	0.00%	0.18%	0.26%	0.00%	0.30%	0.00%	0.00%	0.55%	0.15%	0.13%	0.00%	0.29%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	262	10	10	1	8	79	6	17	14	10	7	16	59	15	10									
		2.99%	1.26%	2.28%	0.56%	1.42%	6.97%	5.04%	5.14%	4.96%	2.00%	1.28%	1.21%	3.78%	4.76%	1.44%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
