Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Октябрьская																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270					
1	"Число избирателей, внесенных в списки"	18488	279	94	370	101	107	78	786	75	83	64	194	85	501	177	195	921	243	368	87	75	325	200	141	186	332	256	190	380	186	425	1078	1117	986	996	1373	77	67	308	116	377	1312	211	245	249	138	339	209	88	588	383	226	501					
2	"Число бюллетеней, полученных участковыми комиссиями"	18240	270	100	370	100	100	80	770	70	80	60	180	90	920	230	200	900	250	360	80	70	320	200	140	190	300	250	180	360	170	400	1000	1010	960	960	1300	90	60	300	100	350	1300	200	240	240	140	320	200	80	580	340	200	480					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11561	200	64	194	73	59	63	476	69	52	55	145	83	492	177	130	525	173	247	66	55	248	152	114	151	247	173	131	219	109	240	597	614	493	520	712	48	45	182	75	281	713	165	134	171	84	204	145	45	402	276	157	316					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	549	11	11	8	0	0	0	23	0	2	0	0	0	9	0	7	28	15	48	0	0	11	0	0	0	7	25	14	16	12	16	43	25	22	13	19	6	4	13	0	17	31	1	0	0	0	13	9	7	21	4	8	30					
6	Число погашенных бюллетеней	6130	59	25	168	27	41	17	271	1	26	5	35	7	419	53	63	347	62	65	14	15	61	48	26	39	46	52	35	125	49	144	360	371	445	427	569	36	11	105	25	52	556	34	106	69	56	103	46	28	157	60	35	134					
7	Число бюллетеней в переносных ящиках для голосования	549	11	11	8	0	0	0	23	0	2	0	0	0	9	0	7	28	15	48	0	0	11	0	0	0	7	25	14	16	12	16	43	25	22	13	19	6	4	13	0	17	31	1	0	0	0	13	9	7	21	4	8	30					
8	Число бюллетеней в стационарных ящиках для голосования	11556	200	64	194	73	59	63	476	69	52	55	145	83	492	177	130	524	173	247	66	55	248	152	114	151	247	173	131	219	109	240	595	612	493	520	712	48	45	182	75	281	713	165	134	171	84	204	145	45	402	276	157	316					
9	Число недействительных бюллетеней	186	2	0	5	0	0	0	6	0	2	2	7	2	3	0	0	24	5	1	0	0	3	4	1	0	3	2	3	11	3	5	7	10	8	9	6	0	2	3	3	3	13	0	4	2	0	3	4	0	6	0	3	6					
10	Число действительных бюллетеней	11919	209	75	197	73	59	63	493	69	52	53	138	81	498	177	137	528	183	294	66	55	256	148	113	151	251	196	142	224	118	251	631	627	507	524	725	54	47	192	72	295	731	166	130	169	84	214	150	52	417	280	162	340					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	190	5	2	5	2	2	2	5	2	5	3	3	3	3	3	5	2	2	5	2	2	5	3	3	3	3	5	2	5	3	4	7	7	7	7	7	2	2	2	2	4	7	3	3	3	3	5	2	2	5	3	3	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	47	1	2	2	1	0	0	0	0	0	0	1	1	2	1	0	2	1	2	0	0	1	0	1	1	0	0	0	2	2	0	5	3	1	2	3	0	0	0	0	0	4	0	2	0	0	0	0	0	4	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	47	0	0	3	0	0	0	0	0	0	0	2	0	4	0	0	5	0	1	0	0	0	3	0	0	0	0	0	3	1	0	9	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	0	4	2	2					
14	Число погашенных открепительных удостоверений	143	4	0	3	1	2	2	5	2	5	3	2	2	1	2	5	0	1	3	2	2	4	3	2	2	3	5	2	3	1	4	2	4	6	5	4	2	2	2	2	4	3	3	1	3	3	5	2	2	1	3	3	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
