Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Отрадная городская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97					
1	"Число избирателей, внесенных в список избирателей"	36479	2476	2546	2498	2731	2762	2727	2507	2525	2495	2720	2681	2631	2507	2498	175					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36933	2489	2560	2529	2763	2775	2769	2518	2551	2518	2750	2709	2645	2533	2521	303					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19908	1173	1307	1380	1454	1555	1618	1473	1328	1486	1506	1461	1343	1532	1292	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	933	105	61	44	50	41	27	45	65	41	47	25	70	50	87	175					
6	Число погашенных избирательных бюллетеней	16092	1211	1192	1105	1259	1179	1124	1000	1158	991	1197	1223	1232	951	1142	128					
7	Число избирательных бюллетеней в переносных ящиках для голосования	933	105	61	44	50	41	27	45	65	41	47	25	70	50	87	175					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19801	1173	1307	1380	1453	1554	1618	1385	1324	1486	1506	1459	1343	1526	1287	0					
9	Число недействительных избирательных бюллетеней	382	17	24	29	40	22	32	37	17	25	23	28	35	26	26	1					
10	Число действительных избирательных бюллетеней	20352	1261	1344	1395	1463	1573	1613	1393	1372	1502	1530	1456	1378	1550	1348	174					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	742	53	53	53	53	53	53	53	53	53	53	53	53	53	53	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	401	19	27	34	17	37	45	28	28	35	26	29	25	31	20	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	191	18	25	15	7	13	13	19	13	13	10	10	7	18	10	0					
14	Число погашенных неиспользованных открепительных удостоверений	341	34	26	19	36	16	8	25	25	18	27	24	28	22	33	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	4	2	0	2	0	6	1	2	4	3	2	2	5	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3566	211	228	241	257	265	332	272	247	252	248	255	253	273	216	16					
		17.20%	16.51%	16.67%	16.92%	17.10%	16.61%	20.18%	19.02%	17.78%	16.50%	15.97%	17.18%	17.91%	17.32%	15.72%	9.14%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3961	231	296	299	277	325	315	253	271	256	298	299	269	283	256	33					
		19.10%	18.08%	21.64%	20.99%	18.43%	20.38%	19.15%	17.69%	19.51%	16.76%	19.19%	20.15%	19.04%	17.96%	18.63%	18.86%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	216	16	7	21	20	12	11	20	11	19	20	18	16	18	6	1					
		1.04%	1.25%	0.51%	1.47%	1.33%	0.75%	0.67%	1.40%	0.79%	1.24%	1.29%	1.21%	1.13%	1.14%	0.44%	0.57%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5707	324	371	374	409	414	424	396	394	479	464	387	380	468	377	46					
		27.52%	25.35%	27.12%	26.26%	27.21%	25.96%	25.78%	27.69%	28.37%	31.37%	29.88%	26.08%	26.89%	29.70%	27.44%	26.29%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	534	37	27	29	42	48	51	34	41	38	41	41	28	44	31	2					
		2.58%	2.90%	1.97%	2.04%	2.79%	3.01%	3.10%	2.38%	2.95%	2.49%	2.64%	2.76%	1.98%	2.79%	2.26%	1.14%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6283	436	410	423	449	504	470	412	405	452	453	447	429	460	457	76					
		30.30%	34.12%	29.97%	29.71%	29.87%	31.60%	28.57%	28.81%	29.16%	29.60%	29.17%	30.12%	30.36%	29.19%	33.26%	43.43%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	85	6	5	8	9	5	10	6	3	6	6	9	3	4	5	0					
		0.41%	0.47%	0.37%	0.56%	0.60%	0.31%	0.61%	0.42%	0.22%	0.39%	0.39%	0.61%	0.21%	0.25%	0.36%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
