Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва															
Дата голосования: 18.09.2016															
															
Наименование Избирательной комиссии:    Анабарская															
															
Сводная таблица итогов голосования по федеральному избирательному округу															
															
		Сумма	УИК №61	УИК №62	УИК №63	УИК №64									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2222	565	848	41	768									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2220	550	830	50	790									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	616	43	283	0	290									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1180	416	396	35	333									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	83	22	35	0	26									
6	Число погашенных избирательных бюллетеней	341	69	116	15	141									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	699	65	318	0	316									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1180	416	396	35	333									
9	Число недействительных избирательных бюллетеней	23	5	7	3	8									
10	Число действительных избирательных бюллетеней	1856	476	707	32	641									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	216	82	65	11	58									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	216	82	65	11	58									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	40	7	8	1	24									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	84	23	33	3	25									
16	Число утраченных открепительных удостоверений	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0									
															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	23	4	14	1	4									
		1.22%	0.83%	1.96%	2.86%	0.62%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	42	7	15	0	20									
		2.24%	1.46%	2.10%	0.00%	3.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	31	6	19	1	5									
		1.65%	1.25%	2.66%	2.86%	0.77%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1108	350	377	20	361									
		58.97%	72.77%	52.80%	57.14%	55.62%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	11	3	6	0	2									
		0.59%	0.62%	0.84%	0.00%	0.31%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	2	2	0	6									
		0.53%	0.42%	0.28%	0.00%	0.92%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	72	14	27	1	30									
		3.83%	2.91%	3.78%	2.86%	4.62%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	2	0	1	0	1									
		0.11%	0.00%	0.14%	0.00%	0.15%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	2	1	0	5									
		0.43%	0.42%	0.14%	0.00%	0.77%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	2	1	0	0									
		0.16%	0.42%	0.14%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	11	3	5	0	3									
		0.59%	0.62%	0.70%	0.00%	0.46%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	198	24	93	4	77									
		10.54%	4.99%	13.03%	11.43%	11.86%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	2	2	1	5									
		0.53%	0.42%	0.28%	2.86%	0.77%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	327	57	144	4	122									
		17.40%	11.85%	20.17%	11.43%	18.80%									
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
