Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
Наименование Избирательной комиссии:    Курганинская																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	65937	2055	2194	2100	1818	1397	1375	2144	1247	1242	2327	1618	1695	2356	2430	2308	498	432	1285	1158	1295	1080	96	108	180	845	878	926	572	1069	648	359	1230	1345	1292	1110	976	1235	413	590	95	108	173	345	647	240	297	197	1155	845	1988	1118	957	1024	1098	1703	1870	2120	976	1055									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	68850	2115	2370	2293	1873	1435	1420	2300	1276	1298	2391	1722	1429	2381	2505	2173	531	439	1381	1228	1333	1110	97	123	188	895	892	951	1315	1103	660	410	1157	1276	1304	1125	983	1243	444	665	100	110	198	399	653	298	305	205	1301	878	2058	1151	937	1480	1108	1718	1914	2151	984	1068									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27753	583	667	734	513	402	356	804	285	838	890	651	404	781	748	733	162	242	734	909	734	615	72	105	175	611	201	360	379	302	337	187	385	545	605	490	436	518	205	453	72	106	58	126	550	132	224	114	734	312	773	570	469	762	540	783	790	556	412	519									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	6619	201	80	102	118	98	274	155	396	266	175	53	298	128	149	112	8	60	175	56	174	204	23	0	0	82	163	150	193	185	80	27	32	30	36	21	50	54	42	85	0	0	95	59	50	74	17	30	59	142	200	98	153	262	91	124	152	270	117	91									
6	Число погашенных избирательных бюллетеней	34478	1331	1623	1457	1242	935	790	1341	595	194	1326	1018	727	1472	1608	1328	361	137	472	263	425	291	2	18	13	202	528	441	743	616	243	196	740	701	663	614	497	671	197	127	28	4	45	214	53	92	64	61	508	424	1085	483	315	456	477	811	972	1325	455	458									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	6486	201	80	102	118	98	274	155	396	133	175	53	298	128	149	112	8	60	175	56	174	204	23	0	0	82	163	150	193	185	80	27	32	30	36	21	50	54	42	85	0	0	95	59	50	74	17	30	59	142	200	98	153	262	91	124	152	270	117	91									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27332	583	667	734	513	402	356	804	285	419	890	651	404	781	748	733	162	242	734	909	734	615	72	105	175	611	201	360	379	302	337	187	385	543	605	490	436	518	205	453	72	106	58	126	550	132	224	114	734	312	773	570	469	762	540	783	790	556	412	519									
9	Число недействительных избирательных бюллетеней	1315	15	17	15	6	5	4	14	8	3	28	28	13	12	11	12	2	5	0	3	8	8	2	0	0	6	5	14	6	9	8	3	6	11	12	7	8	18	3	1	0	0	2	3	5	0	15	2	17	1	17	26	23	18	10	17	783	12	13	15									
10	Число действительных избирательных бюллетеней	32503	769	730	821	625	495	626	945	673	549	1037	676	689	897	886	833	168	297	909	962	900	811	93	105	175	687	359	496	566	478	409	211	411	562	629	504	478	554	244	537	72	106	151	182	595	206	226	142	776	453	956	642	599	1006	621	890	159	814	516	595									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	920	30	30	30	40	20	20	30	20	15	30	30	30	35	30	30	7	7	15	15	15	10	5	5	5	10	10	10	15	15	5	5	15	15	15	15	15	15	5	15	5	5	5	5	5	5	5	5	15	10	20	15	15	15	15	15	20	25	16	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	642	30	30	30	36	18	20	30	20	15	30	30	14	25	14	29	7	7	15	15	9	1	0	0	0	10	10	10	15	15	5	5	1	6	1	2	3	15	5	0	0	0	0	0	3	2	2	2	9	5	17	15	3	6	4	2	1	17	16	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	179	11	3	8	2	2	9	5	1	2	1	1	5	25	11	4	3	0	0	2	0	2	0	0	0	0	2	0	1	1	1	2	3	2	4	0	0	3	0	1	1	1	1	1	1	1	0	2	3	2	1	4	4	2	5	3	1	6	21	2									
14	Число погашенных неиспользованных открепительных удостоверений	278	0	0	0	4	2	0	0	0	0	0	0	16	10	16	1	0	0	0	0	6	9	5	5	5	0	0	0	0	0	0	0	14	9	14	13	12	0	0	15	5	5	5	5	2	3	3	3	6	5	3	0	12	9	11	13	19	8	0	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	0	1	1	2	1	1	1	1	0	1	1	0	1	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	3	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	461	2	24	16	13	10	17	16	6	11	20	19	15	16	11	6	2	1	5	9	7	10	2	0	1	3	3	11	3	6	4	3	4	15	3	5	5	7	1	2	2	2	0	1	3	2	1	0	1	1	12	11	24	23	19	14	0	10	12	9									
		1.36%	0.26%	3.21%	1.91%	2.06%	2.00%	2.70%	1.67%	0.88%	1.99%	1.88%	2.70%	2.14%	1.76%	1.23%	0.71%	1.18%	0.33%	0.55%	0.93%	0.77%	1.22%	2.11%	0.00%	0.57%	0.43%	0.82%	2.16%	0.52%	1.23%	0.96%	1.40%	0.96%	2.62%	0.47%	0.98%	1.03%	1.22%	0.40%	0.37%	2.78%	1.89%	0.00%	0.54%	0.50%	0.97%	0.41%	0.00%	0.13%	0.22%	1.23%	1.65%	3.86%	2.25%	3.01%	1.54%	0.00%	1.21%	2.27%	1.48%									
