Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Кореневская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591					
1	"Число избирателей, внесенных в списки"	15971	2526	2945	439	294	112	109	401	127	248	929	874	186	604	125	552	182	544	268	700	738	271	586	549	109	671	198	684					
2	"Число бюллетеней, полученных участковыми комиссиями"	15171	2382	2737	400	277	105	104	381	117	232	891	839	279	572	118	534	173	517	259	661	699	259	562	517	95	620	182	659					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9545	1388	1821	282	187	60	57	240	92	169	552	464	159	398	83	326	108	386	206	391	450	142	312	317	86	312	124	433					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	905	50	38	29	26	18	9	55	13	26	39	18	27	56	17	42	17	37	39	40	70	37	73	21	0	27	15	66					
6	Число погашенных бюллетеней	4721	944	878	89	64	27	38	86	12	37	300	357	93	118	18	166	48	94	14	230	179	80	177	179	9	281	43	160					
7	Число бюллетеней в переносных ящиках для голосования	905	50	38	29	26	18	9	55	13	26	39	18	27	56	17	42	17	37	39	40	70	37	73	21	0	27	15	66					
8	Число бюллетеней в стационарных ящиках для голосования	9545	1388	1821	282	187	60	57	240	92	169	552	464	159	398	83	326	108	386	206	391	450	142	312	317	86	312	124	433					
9	Число недействительных бюллетеней	395	29	51	7	9	16	2	15	4	0	15	15	4	12	3	24	15	33	14	14	23	10	16	20	1	7	8	28					
10	Число действительных бюллетеней	10055	1409	1808	304	204	62	64	280	101	195	576	467	182	442	97	344	110	390	231	417	497	169	369	318	85	332	131	471					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	165	20	20	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	48	15	15	4	2	0	0	0	0	0	3	1	0	1	0	1	0	1	0	0	0	0	3	0	0	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	3	7	2	0	2	1	1	1	1	0	1	0	4	1	2	2	3	1	2	2	1	1	1	2	1	1	1					
14	Число погашенных открепительных удостоверений	117	5	5	1	3	5	5	5	5	5	2	4	5	4	5	4	5	4	5	5	5	5	2	5	5	5	4	4					
