Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Белогорская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	48122	1452	1407	1339	1170	1321	1280	1124	1490	1165	1408	1614	575	336	675	207	1006	228	661	287	1102	376	1388	625	733	180	1334	473	1965	545	1380	199	498	261	258	1251	964	446	186	200	159	917	175	969	428	1671	635	478	1318	1270	1456	1440	1131	675	692	295	637	257	94	267	49									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35050	1000	1000	950	850	950	900	800	1050	850	1000	1150	400	250	500	200	700	200	500	250	800	300	1000	450	550	150	950	350	1400	400	950	150	350	200	200	900	700	350	150	150	150	650	150	700	300	1200	450	350	950	900	1050	1050	800	500	500	250	450	200	150	300	50									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19716	546	543	579	552	550	637	334	382	596	133	789	302	158	236	127	537	159	321	139	433	111	609	297	336	87	732	216	661	134	495	93	186	93	92	415	450	232	104	105	91	409	94	388	146	724	227	176	694	377	645	518	344	335	258	74	310	111	87	198	9									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1692	44	24	23	29	29	22	130	20	11	9	53	18	19	18	0	75	19	25	10	21	11	66	39	33	6	65	11	75	24	48	11	17	10	0	23	48	13	4	15	4	31	4	39	7	60	20	12	68	38	20	52	21	37	16	0	33	10	7	57	38									
6	Число погашенных избирательных бюллетеней	13642	410	433	348	269	371	241	336	648	243	858	308	80	73	246	73	88	22	154	101	346	178	325	114	181	57	153	123	664	242	407	46	147	97	108	462	202	105	42	30	55	210	52	273	147	416	203	162	188	485	385	480	435	128	226	176	107	79	56	45	3									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1692	44	24	23	29	29	22	130	20	11	9	53	18	19	18	0	75	19	25	10	21	11	66	39	33	6	65	11	75	24	48	11	17	10	0	23	48	13	4	15	4	31	4	39	7	60	20	12	68	38	20	52	21	37	16	0	33	10	7	57	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19714	546	543	579	552	550	637	334	382	596	133	789	302	158	236	127	537	159	321	139	433	111	609	297	336	87	732	216	661	134	495	93	186	93	92	415	450	232	104	105	91	409	94	388	146	724	227	176	694	375	645	518	344	335	258	74	310	111	87	198	9									
9	Число недействительных избирательных бюллетеней	520	8	7	7	10	8	14	8	13	7	7	32	11	2	8	3	14	1	6	9	18	10	9	16	6	3	16	11	21	5	13	0	6	10	4	11	4	5	1	0	2	7	1	5	7	9	20	4	17	11	18	9	9	11	22	4	7	5	2	5	1									
10	Число действительных избирательных бюллетеней	20886	582	560	595	571	571	645	456	389	600	135	810	309	175	246	124	598	177	340	140	436	112	666	320	363	90	781	216	715	153	530	104	197	93	88	427	494	240	107	120	93	433	97	422	146	775	227	184	745	402	647	561	356	361	252	70	336	116	92	250	46									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1075	30	30	28	25	28	28	24	32	25	30	35	12	17	14	5	41	5	14	6	24	8	30	13	15	4	28	10	42	12	30	4	11	6	5	27	20	9	4	5	4	20	4	41	9	36	14	10	28	27	31	31	24	15	15	6	14	6	4	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	391	14	14	13	19	18	20	4	2	18	0	16	9	8	14	0	36	0	4	2	4	1	1	2	3	0	24	1	5	1	8	0	2	3	0	14	1	1	1	0	2	5	0	27	0	12	2	2	9	6	14	6	5	9	4	1	4	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	268	7	3	5	19	11	5	11	7	7	7	4	7	3	1	2	6	5	0	5	0	2	5	0	3	3	7	1	4	1	6	1	2	4	8	0	2	2	5	2	4	1	2	8	7	6	1	0	1	9	2	4	4	4	4	1	2	1	2	23	9									
14	Число погашенных неиспользованных открепительных удостоверений	684	16	16	15	6	10	8	20	30	7	30	19	3	9	0	5	5	5	10	4	20	7	29	11	12	4	4	9	37	11	22	4	9	3	5	13	19	8	3	5	2	15	4	14	9	24	12	8	19	21	17	25	19	6	11	5	10	6	4	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	3	1	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	171	2	11	7	7	2	6	4	3	5	1	4	2	4	7	0	1	0	2	4	2	1	7	2	0	0	3	1	7	2	3	0	0	0	1	6	5	4	2	0	1	0	2	1	1	8	0	2	3	2	5	9	1	7	3	0	2	2	0	3	1									
		0.80%	0.34%	1.94%	1.16%	1.20%	0.35%	0.91%	0.86%	0.75%	0.82%	0.70%	0.48%	0.63%	2.26%	2.76%	0.00%	0.16%	0.00%	0.58%	2.68%	0.44%	0.82%	1.04%	0.60%	0.00%	0.00%	0.38%	0.44%	0.95%	1.27%	0.55%	0.00%	0.00%	0.00%	1.09%	1.37%	1.00%	1.63%	1.85%	0.00%	1.05%	0.00%	2.04%	0.23%	0.65%	1.02%	0.00%	1.06%	0.39%	0.48%	0.75%	1.58%	0.27%	1.88%	1.09%	0.00%	0.58%	1.65%	0.00%	1.18%	2.13%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	312	6	8	4	6	10	9	5	7	11	4	10	6	7	3	2	3	1	7	2	5	0	8	11	8	4	10	4	12	3	6	0	3	3	2	6	3	2	1	3	3	3	1	7	5	8	3	3	14	8	12	7	2	14	1	0	6	2	4	4	0									
