Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Карагинская																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3274	528	80	267	1816	454	129									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3100	500	70	250	1745	435	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	18	0	0	0	4	14	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1560	429	60	149	681	173	68									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	74	10	0	4	52	5	3									
6	Число погашенных избирательных бюллетеней	1448	61	10	97	1008	243	29									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	92	10	0	4	56	19	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1556	429	60	149	677	173	68									
9	Число недействительных избирательных бюллетеней	60	11	0	3	36	7	3									
10	Число действительных избирательных бюллетеней	1588	428	60	150	697	185	68									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	36	8	3	4	10	8	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	5	0	0	0	2	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3	1	0	0	2	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	31	8	3	4	8	5	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	1	6	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	17	1	1	2	13	0	0									
		1.03%	0.23%	1.67%	1.31%	1.77%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	35	2	0	6	23	3	1									
		2.12%	0.46%	0.00%	3.92%	3.14%	1.56%	1.41%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	40	4	0	3	26	4	3									
		2.43%	0.91%	0.00%	1.96%	3.55%	2.08%	4.23%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	808	200	43	63	339	124	39									
		49.03%	45.56%	71.67%	41.18%	46.25%	64.58%	54.93%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	13	0	0	6	1	1									
		1.27%	2.96%	0.00%	0.00%	0.82%	0.52%	1.41%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	8	1	1	5	0	1									
		0.97%	1.82%	1.67%	0.65%	0.68%	0.00%	1.41%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	374	131	12	22	160	35	14									
		22.69%	29.84%	20.00%	14.38%	21.83%	18.23%	19.72%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	8	8	0	0	0	0	0									
		0.49%	1.82%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	14	5	0	1	7	1	0									
		0.85%	1.14%	0.00%	0.65%	0.95%	0.52%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	3	0	0	0	0	1									
		0.24%	0.68%	0.00%	0.00%	0.00%	0.00%	1.41%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	13	2	0	1	8	2	0									
		0.79%	0.46%	0.00%	0.65%	1.09%	1.04%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	181	43	3	40	77	11	7									
		10.98%	9.79%	5.00%	26.14%	10.50%	5.73%	9.86%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	2	0	1	6	2	0									
		0.67%	0.46%	0.00%	0.65%	0.82%	1.04%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	46	6	0	10	27	2	1									
		2.79%	1.37%	0.00%	6.54%	3.68%	1.04%	1.41%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
