Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Карпинская городская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №1933	УИК №1934	УИК №1936	УИК №1937	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №2619									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24763	2441	2155	2272	767	2334	1761	1970	1234	1393	2173	2285	1424	763	178	52	400	723	438									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25200	2500	2100	2300	800	2300	1800	2000	1200	1400	2200	2300	1400	800	200	50	400	700	750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9852	988	817	864	327	951	728	866	551	479	983	896	407	193	69	23	167	182	361									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	334	46	19	13	22	63	9	28	15	34	21	6	28	20	3	0	2	5	0									
6	Число погашенных избирательных бюллетеней	15014	1466	1264	1423	451	1286	1063	1106	634	887	1196	1398	965	587	128	27	231	513	389									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	334	46	19	13	22	63	9	28	15	34	21	6	28	20	3	0	2	5	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9850	988	817	863	327	951	727	866	551	479	983	896	407	193	69	23	167	182	361									
9	Число недействительных избирательных бюллетеней	450	36	42	46	7	49	31	49	21	13	44	45	25	8	2	1	12	7	12									
10	Число действительных избирательных бюллетеней	9734	998	794	830	342	965	705	845	545	500	960	857	410	205	70	22	157	180	349									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	783	60	60	60	20	60	50	60	40	40	60	60	50	30	8	5	30	30	60									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	97	4	9	12	14	6	3	4	3	6	8	13	4	4	2	0	3	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	64	3	17	0	3	2	2	3	2	0	4	3	7	2	0	2	0	0	14									
14	Число погашенных неиспользованных открепительных удостоверений	686	56	51	48	6	54	47	56	37	34	52	47	46	26	6	5	27	30	58									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	2	2	2	0	2	2	1	1	3	0	0	0	1	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	112	9	12	9	0	17	6	8	5	4	11	9	4	0	1	1	3	0	13									
		1.10%	0.87%	1.44%	1.03%	0.00%	1.68%	0.82%	0.89%	0.88%	0.78%	1.10%	0.99%	0.92%	0.00%	1.39%	4.35%	1.78%	0.00%	3.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	302	26	26	33	3	26	28	32	17	18	26	30	11	2	3	1	4	8	8									
		2.97%	2.51%	3.11%	3.77%	0.86%	2.56%	3.80%	3.58%	3.00%	3.51%	2.59%	3.33%	2.53%	0.94%	4.17%	4.35%	2.37%	4.28%	2.22%									
