Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Алнашская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16518	2410	2706	343	429	408	215	494	322	704	400	502	496	297	452	525	376	774	797	404	516	253	158	462	316	800	266	186	203	304									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16050	2200	2500	350	450	400	220	500	350	700	350	500	500	300	450	550	400	750	750	400	500	250	160	450	300	800	280	190	200	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10186	1273	1391	176	311	321	126	321	238	468	292	369	289	165	358	340	211	614	490	242	337	175	92	260	194	462	211	148	122	190									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	579	49	62	17	22	7	14	8	7	27	13	29	13	20	20	40	21	22	50	15	27	17	3	8	3	36	12	6	7	4									
6	Число погашенных избирательных бюллетеней	5285	878	1047	157	117	72	80	171	105	205	45	102	198	115	72	170	168	114	210	143	136	58	65	182	103	302	57	36	71	106									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	579	49	62	17	22	7	14	8	7	27	13	29	13	20	20	40	21	22	50	15	27	17	3	8	3	36	12	6	7	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10174	1273	1389	174	311	321	126	321	238	468	292	369	289	165	358	340	204	613	490	242	337	175	92	260	194	462	211	148	122	190									
9	Число недействительных избирательных бюллетеней	204	38	52	5	8	2	1	5	4	13	4	2	4	4	2	3	9	7	6	8	2	1	3	0	2	6	4	1	3	5									
10	Число действительных избирательных бюллетеней	10549	1284	1399	186	325	326	139	324	241	482	301	396	298	181	376	377	216	628	534	249	362	191	92	268	195	492	219	153	126	189									
