Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Бардымская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20892	1496	1456	1602	1289	1519	273	89	145	396	413	441	175	927	196	52	302	105	263	1090	77	211	170	1151	554	213	52	53	442	100	111	384	205	1188	358	497	107	588	355	56	155	142	48	345	252	420	243	186									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19400	1350	1300	1450	1100	1400	250	90	140	390	400	400	150	900	190	50	300	100	250	1000	80	210	170	1000	550	220	60	60	420	90	100	380	180	1050	350	480	100	550	350	40	130	130	50	350	250	420	235	185									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8760	526	408	615	402	501	118	47	54	229	198	185	68	411	98	35	159	57	149	504	47	123	92	487	248	149	38	35	159	53	51	174	125	501	151	201	49	296	177	32	70	69	27	148	124	201	83	86									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	955	21	29	5	9	22	15	1	9	28	13	48	14	105	25	7	15	11	14	46	6	16	13	63	57	8	8	9	15	8	9	11	13	38	20	15	8	15	5	4	3	5	0	46	14	23	50	36									
6	Число погашенных избирательных бюллетеней	9685	803	863	830	689	877	117	42	77	133	189	167	68	384	67	8	126	32	87	450	27	71	65	450	245	63	14	16	246	29	40	195	42	511	179	264	43	239	168	4	57	56	23	156	112	196	102	63									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	955	21	29	5	9	22	15	1	9	28	13	48	14	105	25	7	15	11	14	46	6	16	13	63	57	8	8	9	15	8	9	11	13	38	20	15	8	15	5	4	3	5	0	46	14	23	50	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8757	523	408	615	402	501	118	47	54	229	198	185	68	411	98	35	159	57	149	504	47	123	92	487	248	149	38	35	159	53	51	174	125	501	151	201	49	296	177	32	70	69	27	148	124	201	83	86									
9	Число недействительных избирательных бюллетеней	434	14	54	22	13	30	5	1	5	5	1	6	5	17	4	0	1	2	9	32	5	8	13	13	10	8	3	1	9	1	0	8	4	31	15	15	2	15	5	2	3	1	0	8	12	12	1	3									
10	Число действительных избирательных бюллетеней	9278	530	383	598	398	493	128	47	58	252	210	227	77	499	119	42	173	66	154	518	48	131	92	537	295	149	43	43	165	60	60	177	134	508	156	201	55	296	177	34	70	73	27	186	126	212	132	119									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	484	15	20	35	15	15	7	3	3	8	5	8	3	50	10	6	5	4	3	25	12	22	10	10	10	30	14	13	5	3	3	5	4	10	5	5	3	5	7	3	5	5	3	15	10	17	5	5									
