Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Красненская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК  644	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668					
1	"Число избирателей, внесенных в список"	11490	494	614	251	528	98	161	938	462	787	809	232	241	568	270	350	800	1134	186	514	135	185	522	292	153	766					
2	Число полученных избирательных бюллетеней	11600	500	610	250	520	100	160	950	450	800	800	230	230	570	280	360	800	1180	185	530	145	210	530	300	160	750					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8905	290	416	179	395	74	126	778	329	705	725	212	149	431	255	268	592	900	139	320	91	162	367	229	77	696					
5	"Число избирательных бюллетеней, выданных вне помещения"	2243	182	192	70	121	22	32	141	102	65	61	17	81	112	13	73	168	215	44	156	43	20	132	58	72	51					
6	Число погашенных избирательных бюллетеней	452	28	2	1	4	4	2	31	19	30	14	1	0	27	12	19	40	65	2	54	11	28	31	13	11	3					
7	Число избирательных бюллетеней в переносных ящиках	2243	182	192	70	121	22	32	141	102	65	61	17	81	112	13	73	168	215	44	156	43	20	132	58	72	51					
8	Число бюллетеней в стационарных ящиках для голосования	8905	290	416	179	395	74	126	778	329	705	725	212	149	431	255	268	592	900	139	320	91	162	367	229	77	696					
9	Число недействительных избирательных бюллетеней	288	1	5	0	4	0	2	51	18	5	13	25	3	19	2	10	24	9	0	1	0	42	11	10	0	33					
10	Число действительных избирательных бюллетеней	10860	471	603	249	512	96	156	868	413	765	773	204	227	524	266	331	736	1106	183	475	134	140	488	277	149	714					
11	Число полученных открепительных  удостоверений	149	6	6	4	6	2	4	2	6	23	10	1	1	6	4	4	10	10	4	6	4	4	6	4	4	12					
12	Число выданных открепительных удостоверений	72	3	6	0	1	0	0	2	0	21	10	0	1	1	0	0	3	7	0	1	0	0	4	0	0	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	74	3	4	3	1	1	1	0	2	4	5	2	2	1	1	2	4	9	2	4	3	0	1	3	7	9					
14	Число неиспользованных открепительных удостоверений	77	3	0	4	5	2	4	0	6	2	0	1	0	5	4	4	7	3	4	5	4	4	2	4	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	258	12	8	4	26	2	2	24	10	16	26	6	4	31	3	8	7	11	2	14	2	2	11	5	2	20					
		2.31%	2.54%	1.32%	1.61%	5.04%	2.08%	1.27%	2.61%	2.32%	2.08%	3.31%	2.62%	1.74%	5.71%	1.12%	2.35%	0.92%	0.99%	1.09%	2.94%	1.49%	1.10%	2.20%	1.74%	1.34%	2.68%					
19	. Малышкин Олег Александрович	421	14	17	3	46	6	5	30	4	43	21	2	4	28	12	11	21	37	11	33	13	7	17	1	6	29					
		3.78%	2.97%	2.80%	1.20%	8.91%	6.25%	3.16%	3.26%	0.93%	5.58%	2.67%	0.87%	1.74%	5.16%	4.48%	3.23%	2.76%	3.32%	6.01%	6.93%	9.70%	3.85%	3.41%	0.35%	4.03%	3.88%					
20	. Миронов Сергей Михайлович	98	9	5	0	9	0	0	1	1	7	8	2	4	5	2	3	10	11	4	6	1	0	3	2	1	4					
		0.88%	1.91%	0.82%	0.00%	1.74%	0.00%	0.00%	0.11%	0.23%	0.91%	1.02%	0.87%	1.74%	0.92%	0.75%	0.88%	1.32%	0.99%	2.19%	1.26%	0.75%	0.00%	0.60%	0.70%	0.67%	0.54%					
21	. Путин Владимир Владимирович	6353	229	444	200	188	45	57	500	259	449	483	155	81	303	153	189	409	742	98	277	36	95	283	132	77	469					
		56.99%	48.52%	73.03%	80.32%	36.43%	46.88%	36.08%	54.41%	60.09%	58.31%	61.45%	67.69%	35.22%	55.80%	57.09%	55.43%	53.82%	66.55%	53.55%	58.19%	26.87%	52.20%	56.71%	45.99%	51.68%	62.78%					
22	. Хакамада Ирина Муцуовна	225	9	8	1	6	1	8	11	8	29	23	0	13	22	3	4	6	15	5	7	3	4	17	5	3	14					
		2.02%	1.91%	1.32%	0.40%	1.16%	1.04%	5.06%	1.20%	1.86%	3.77%	2.93%	0.00%	5.65%	4.05%	1.12%	1.17%	0.79%	1.35%	2.73%	1.47%	2.24%	2.20%	3.41%	1.74%	2.01%	1.87%					
23	. Харитонов Николай Михайлович	3248	186	117	37	217	39	83	295	127	195	172	35	115	111	89	107	267	261	58	128	79	32	148	132	56	162					
		29.14%	39.41%	19.24%	14.86%	42.05%	40.62%	52.53%	32.10%	29.47%	25.32%	21.88%	15.28%	50.00%	20.44%	33.21%	31.38%	35.13%	23.41%	31.69%	26.89%	58.96%	17.58%	29.66%	45.99%	37.58%	21.69%					
																																
24	Против всех	257	12	4	4	20	3	1	7	4	26	40	4	6	24	4	9	16	29	5	10	0	0	9	0	4	16					
		2.31%	2.54%	0.66%	1.61%	3.88%	3.12%	0.63%	0.76%	0.93%	3.38%	5.09%	1.75%	2.61%	4.42%	1.49%	2.64%	2.11%	2.60%	2.73%	2.10%	0.00%	0.00%	1.80%	0.00%	2.68%	2.14%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
