Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Каширская городская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №650	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	56682	312	2350	1399	1661	863	2639	985	1934	1254	1448	1598	510	2648	610	2419	1055	1105	2089	2160	1406	1679	1535	2280	2269	647	2238	589	879	1180	1166	1880	838	1200	443	1084	458	522	862	923	394	1255	805	308	170	633									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46100	350	1900	1100	1300	700	2100	800	1600	1000	1200	1300	400	2000	500	1900	900	900	1700	1700	1100	1300	1200	1800	1800	500	1800	500	700	1000	1000	1600	700	1000	400	900	400	500	700	800	350	1000	700	250	150	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18357	312	813	344	479	184	661	278	634	403	448	473	102	716	161	787	337	420	776	740	531	552	549	754	638	172	611	188	271	336	361	557	243	381	130	691	188	151	273	264	76	533	296	72	82	389									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	983	0	15	10	12	30	22	4	5	3	7	1	5	8	2	19	10	7	12	9	3	30	7	55	15	10	8	7	36	27	18	26	8	25	35	14	10	31	50	133	29	64	80	78	3	0									
6	Число погашенных избирательных бюллетеней	26760	38	1072	746	809	486	1417	518	961	594	745	826	293	1276	337	1094	553	473	912	951	566	718	644	991	1147	318	1181	305	393	637	621	1017	449	594	235	195	202	318	377	403	245	403	324	100	65	211									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	983	0	15	10	12	30	22	4	5	3	7	1	5	8	2	19	10	7	12	9	3	30	7	55	15	10	8	7	36	27	18	26	8	25	35	14	10	31	50	133	29	64	80	78	3	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18355	312	813	342	479	184	661	278	634	403	448	473	102	716	161	787	337	420	776	740	531	552	549	754	638	172	611	188	271	336	361	557	243	381	130	691	188	151	273	264	76	533	296	72	82	389									
9	Число недействительных избирательных бюллетеней	659	1	23	22	25	11	14	11	32	12	17	12	10	25	8	34	15	27	30	21	24	18	20	3	27	6	24	10	5	17	17	12	13	14	7	10	4	8	10	15	6	13	8	4	2	12									
10	Число действительных избирательных бюллетеней	18679	311	805	330	466	203	669	271	607	394	438	462	97	699	155	772	332	400	758	728	510	564	536	806	626	176	595	185	302	346	362	571	238	392	158	695	194	174	313	382	99	584	368	146	83	377									
