Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Барышcкая городская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81									
1	Число избирателей, внесенных в список	15185	1360	1471	1472	681	959	1433	766	869	773	1440	843	1570	1548									
2	Число полученных избирательных бюллетеней	13960	1250	1400	1400	620	800	1310	700	790	700	1320	770	1450	1450									
3	Число избирательных бюллетеней, выданных  досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в день голосования	7410	792	759	790	346	470	603	339	381	375	540	426	906	683									
5	Число избирательных бюллетеней, выданных вне помещения	564	43	39	20	9	73	46	27	22	18	75	27	60	105									
6	Число погашенных избирательных бюллетеней	5986	415	602	590	265	257	661	334	387	307	705	317	484	662									
7	Число избирательных бюллетеней в переносных ящиках	564	43	39	20	9	73	46	27	22	18	75	27	60	105									
8	Число бюллетеней в стационарных ящиках для голосования	7409	791	759	790	346	470	603	339	381	375	540	426	906	683									
9	Число недействительных избирательных бюллетеней	46	4	7	4	0	6	2	2	3	0	5	3	5	5									
10	Число действительных избирательных бюллетеней	7927	830	791	806	355	537	647	364	400	393	610	450	961	783									
11	Число полученных открепительных  удостоверений	240	20	20	20	15	15	20	15	15	15	20	15	30	20									
12	Число выданных открепительных удостоверений	115	10	9	14	8	15	7	4	4	0	6	3	22	13									
13	Число избирателей, проголосовавших по открепительным удостоверениям	50	6	7	6	0	14	3	1	3	2	1	4	1	2									
14	Число неиспользованных открепительных удостоверений	125	10	11	6	7	0	13	11	11	15	14	12	8	7									
15	Число открепительных удостоверений, выданных в ТИК	11	0	0	0	0	0	2	1	0	2	3	0	1	2									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
Число голосов избирателей, поданных за каждый список																								
18	. Глазьев Сергей Юрьевич	286	36	46	38	13	21	19	8	11	14	14	13	32	21									
		3.59%	4.32%	5.76%	4.69%	3.66%	3.87%	2.93%	2.19%	2.73%	3.56%	2.28%	2.87%	3.31%	2.66%									
19	. Малышкин Олег Александрович	185	16	12	19	12	7	12	10	4	14	18	19	18	24									
		2.32%	1.92%	1.50%	2.35%	3.38%	1.29%	1.85%	2.73%	0.99%	3.56%	2.93%	4.19%	1.86%	3.05%									
20	. Миронов Сергей Михайлович	53	17	2	5	4	4	3	1	1	1	5	2	4	4									
		0.66%	2.04%	0.25%	0.62%	1.13%	0.74%	0.46%	0.27%	0.25%	0.25%	0.81%	0.44%	0.41%	0.51%									
21	. Путин Владимир Владимирович	5009	503	474	521	218	360	424	231	237	244	384	298	630	485									
		62.82%	60.31%	59.40%	64.32%	61.41%	66.30%	65.33%	63.11%	58.81%	62.09%	62.44%	65.78%	65.22%	61.55%									
22	. Хакамада Ирина Муцуовна	117	17	15	17	6	6	12	8	4	1	9	2	11	9									
		1.47%	2.04%	1.88%	2.10%	1.69%	1.10%	1.85%	2.19%	0.99%	0.25%	1.46%	0.44%	1.14%	1.14%									
23	. Харитонов Николай Михайлович	2122	223	216	185	97	130	169	102	137	110	171	114	244	224									
		26.61%	26.74%	27.07%	22.84%	27.32%	23.94%	26.04%	27.87%	34.00%	27.99%	27.80%	25.17%	25.26%	28.43%									
																								
24	Против всех	155	18	26	21	5	9	8	4	6	9	9	2	22	16									
		1.94%	2.16%	3.26%	2.59%	1.41%	1.66%	1.23%	1.09%	1.49%	2.29%	1.46%	0.44%	2.28%	2.03%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
