Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Гагинская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №755	УИК №756	УИК №757	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9952	1144	1301	800	381	313	257	275	253	323	507	246	529	145	135	259	121	109	300	401	251	266	147	261	126	161	597	344									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9791	1100	1300	800	370	320	260	280	240	300	500	248	500	129	132	260	116	108	290	400	250	260	140	260	128	160	600	340									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5009	539	623	364	142	109	107	150	170	158	240	107	289	84	97	144	70	66	151	211	112	107	77	117	73	100	396	206									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1091	48	25	33	63	85	49	16	7	107	67	18	40	20	22	16	15	19	69	36	49	48	15	69	18	25	84	28									
6	Число погашенных избирательных бюллетеней	3691	513	652	403	165	126	104	114	63	35	193	123	171	25	13	100	31	23	70	153	89	105	48	74	37	35	120	106									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1091	48	25	33	63	85	49	16	7	107	67	18	40	20	22	16	15	19	69	36	49	48	15	69	18	25	84	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5009	539	623	364	142	109	107	150	170	158	240	107	289	84	97	144	70	66	151	211	112	107	77	117	73	100	396	206									
9	Число недействительных избирательных бюллетеней	57	13	9	0	0	0	1	2	7	1	4	1	1	1	0	0	1	0	5	8	0	0	2	0	0	0	0	1									
10	Число действительных избирательных бюллетеней	6043	574	639	397	205	194	155	164	170	264	303	124	328	103	119	160	84	85	215	239	161	155	90	186	91	125	480	233									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	190	18	29	10	5	8	5	10	5	7	10	5	10	3	3	5	0	3	5	10	5	5	3	5	3	3	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	110	16	26	10	5	8	4	10	1	2	1	2	8	2	0	3	0	0	4	0	1	1	2	0	0	0	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	87	12	6	8	3	1	2	3	3	3	0	2	6	6	4	3	3	1	2	2	3	2	5	1	1	1	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	80	2	3	0	0	0	1	0	4	5	9	3	2	1	3	2	0	3	1	10	4	4	1	5	3	3	8	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	4	4	3	2	0	1	3	0	3	0	0	3	0	0	3	0	1	0	0	1	0	1	1	0	0	0	1									
		0.51%	0.68%	0.62%	0.76%	0.98%	0.00%	0.64%	1.81%	0.00%	1.13%	0.00%	0.00%	0.91%	0.00%	0.00%	1.88%	0.00%	1.18%	0.00%	0.00%	0.62%	0.00%	1.09%	0.54%	0.00%	0.00%	0.00%	0.43%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	154	11	22	13	1	7	3	3	8	8	9	5	6	0	0	2	0	1	6	5	4	4	2	7	1	2	14	10									
		2.52%	1.87%	3.40%	3.27%	0.49%	3.61%	1.92%	1.81%	4.52%	3.02%	2.93%	4.00%	1.82%	0.00%	0.00%	1.25%	0.00%	1.18%	2.73%	2.02%	2.48%	2.58%	2.17%	3.76%	1.10%	1.60%	2.92%	4.27%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	60	8	16	0	0	0	2	2	2	1	8	4	4	0	0	0	0	0	2	3	3	0	1	2	0	0	0	2									
