Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Боханская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №363									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17967	153	145	788	297	98	168	562	420	422	135	1096	59	614	125	183	97	180	727	407	253	1257	2102	512	194	125	757	192	914	102	120	1654	101	104	200	810	712	150	88	86	68	621	78	91									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17300	156	142	800	298	103	170	580	417	432	141	1000	60	600	127	194	99	182	730	422	258	1130	1936	518	197	128	700	197	890	103	123	1508	100	106	204	729	666	149	92	86	71	586	78	92									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7086	49	37	386	87	50	46	190	138	204	78	337	31	363	96	112	49	85	335	197	105	457	700	214	52	46	293	112	346	61	90	538	48	50	68	226	245	79	58	68	42	243	33	42									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	979	14	33	79	47	4	23	30	12	16	14	88	15	38	4	40	7	14	47	35	9	16	30	4	17	12	50	4	61	6	3	48	0	3	23	63	24	0	0	0	0	36	3	7									
6	Число погашенных избирательных бюллетеней	9235	93	72	335	164	49	101	360	267	212	49	575	14	199	27	42	43	83	348	190	144	657	1206	300	128	70	357	81	483	36	30	922	52	53	113	440	397	70	34	18	29	307	42	43									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	979	14	33	79	47	4	23	30	12	16	14	88	15	38	4	40	7	14	47	35	9	16	30	4	17	12	50	4	61	6	3	48	0	3	23	63	24	0	0	0	0	36	3	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7085	49	37	386	87	50	46	190	138	204	78	337	31	363	96	112	49	85	335	197	105	457	699	214	52	46	293	112	346	61	90	538	48	50	68	226	245	79	58	68	42	243	33	42									
9	Число недействительных избирательных бюллетеней	99	3	1	6	2	0	0	3	2	3	0	7	0	3	0	1	2	1	3	3	2	7	7	0	1	0	4	0	0	0	0	16	0	0	1	12	1	0	0	0	0	4	0	4									
10	Число действительных избирательных бюллетеней	7965	60	69	459	132	54	69	217	148	217	92	418	46	398	100	151	54	98	379	229	112	466	722	218	68	58	339	116	407	67	93	570	48	53	90	277	268	79	58	68	42	275	36	45									
