Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																			
Дата голосования: 04.12.2011																			
																			
Наименование Избирательной комиссии:    Приютненская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161					
1	"Число избирателей, внесенных в список избирателей"	8614	367	296	856	336	399	554	476	1353	1042	948	1380	607					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8878	422	318	877	293	400	603	532	1355	1056	953	1436	633					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5635	322	265	518	203	356	415	317	793	708	523	867	348					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	417	26	20	59	11	0	58	20	87	32	37	35	32					
6	Число погашенных избирательных бюллетеней	2826	74	33	300	79	44	130	195	475	316	393	534	253					
7	Число избирательных бюллетеней в переносных ящиках для голосования	417	26	20	59	11	0	58	20	87	32	37	35	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5635	322	265	518	203	356	415	317	793	708	523	867	348					
9	Число недействительных избирательных бюллетеней	43	0	0	2	1	0	5	4	9	4	4	9	5					
10	Число действительных избирательных бюллетеней	6009	348	285	575	213	356	468	333	871	736	556	893	375					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	386	40	30	20	20	20	30	26	50	50	30	50	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	180	40	30	6	5	0	8	26	18	10	12	16	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	68	7	14	2	7	4	9	8	0	2	1	12	2					
14	Число погашенных неиспользованных открепительных удостоверений	206	0	0	14	15	20	22	0	32	40	18	34	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	0	1	3	1	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	283	11	0	9	5	5	29	20	58	50	0	75	21					
		4.68%	3.16%	0.00%	1.56%	2.34%	1.40%	6.13%	5.93%	6.59%	6.76%	0.00%	8.31%	5.53%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	231	2	0	10	3	2	17	12	65	40	30	48	2					
		3.82%	0.57%	0.00%	1.73%	1.40%	0.56%	3.59%	3.56%	7.39%	5.41%	5.36%	5.32%	0.53%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	16	0	0	5	1	1	0	2	1	1	0	4	1					
		0.26%	0.00%	0.00%	0.87%	0.47%	0.28%	0.00%	0.59%	0.11%	0.14%	0.00%	0.44%	0.26%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	827	17	26	89	35	21	38	56	180	102	56	122	85					
		13.66%	4.89%	9.12%	15.42%	16.36%	5.90%	8.03%	16.62%	20.45%	13.78%	10.00%	13.53%	22.37%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	21	0	0	3	1	0	1	4	2	1	1	5	3					
		0.35%	0.00%	0.00%	0.52%	0.47%	0.00%	0.21%	1.19%	0.23%	0.14%	0.18%	0.55%	0.79%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4615	318	259	453	167	327	381	238	562	541	468	639	262					
		76.26%	91.38%	90.88%	78.51%	78.04%	91.85%	80.55%	70.62%	63.86%	73.11%	83.57%	70.84%	68.95%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	16	0	0	6	1	0	2	1	3	1	1	0	1					
		0.26%	0.00%	0.00%	1.04%	0.47%	0.00%	0.42%	0.30%	0.34%	0.14%	0.18%	0.00%	0.26%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
