Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    Анжеро-Судженская городская																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60					
1	"Число избирателей, внесенных в список"	63869	925	864	1110	789	977	1415	1557	1484	1066	1430	1090	1474	1010	797	944	1014	667	1005	1194	1629	965	1520	1332	1614	1259	870	725	1174	473	594	728	758	777	1285	849	1154	910	785	869	701	844	712	905	1014	303	903	1039	1494	673	373	1684	1403	1494	1575	1644	1683	1600	501	1086	1156					
2	Число полученных избирательных бюллетеней	59771	845	790	1030	715	945	1360	1440	1370	930	1540	1150	1380	990	730	870	980	660	970	1090	1440	900	1415	1220	1560	1250	845	740	970	361	565	640	700	700	1175	820	1160	860	735	820	725	780	690	835	965	280	855	960	1340	570	330	1620	1295	1350	1410	1535	1525	1530	460	990	1065					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36971	429	407	742	378	646	728	905	712	595	1114	659	1032	544	492	438	564	330	465	791	1029	580	855	717	881	744	513	365	510	184	351	424	489	460	593	413	542	517	477	383	297	475	432	473	666	176	495	556	940	371	251	928	767	783	977	1233	1252	1095	280	720	806					
5	"Число избирательных бюллетеней, выданных вне помещения"	8367	74	209	117	129	84	104	108	96	204	145	119	100	132	101	179	152	110	292	142	271	72	294	122	163	145	176	215	336	144	86	95	97	116	222	136	284	88	118	151	190	104	94	298	84	47	94	180	137	136	52	78	139	143	143	71	65	48	89	189	58					
6	Число погашенных избирательных бюллетеней	14433	342	174	171	208	215	528	427	562	131	281	372	248	314	137	253	264	220	213	157	140	248	266	381	516	361	156	160	124	33	128	121	114	124	360	271	334	255	140	286	238	201	164	64	215	57	266	224	263	63	27	614	389	424	290	231	208	387	91	81	201					
7	Число избирательных бюллетеней в переносных ящиках	8367	74	209	117	129	84	104	108	96	204	145	119	100	132	101	179	152	110	292	142	271	72	294	122	163	145	176	215	336	144	86	95	97	116	222	136	284	88	118	151	190	104	94	298	84	47	94	180	137	136	52	78	139	143	143	71	65	48	89	189	58					
8	Число бюллетеней в стационарных ящиках для голосования	36969	429	407	742	378	646	728	905	712	595	1114	659	1032	544	492	438	564	330	465	791	1029	580	855	717	881	744	513	365	510	184	351	424	489	460	593	413	540	517	477	383	297	475	432	473	666	176	495	556	940	371	251	928	767	783	977	1233	1252	1095	280	720	806					
9	Число недействительных избирательных бюллетеней	289	0	2	3	1	3	2	2	8	7	8	8	1	9	4	3	5	3	1	4	37	9	0	2	5	15	4	0	7	0	2	6	3	0	6	4	2	5	1	2	4	2	0	2	4	0	3	4	13	14	0	4	3	4	3	15	19	10	0	0	1					
10	Число действительных избирательных бюллетеней	45047	503	614	856	506	727	830	1011	800	792	1251	770	1131	667	589	614	711	437	756	929	1263	643	1149	837	1039	874	685	580	839	328	435	513	583	576	809	545	822	600	594	532	483	577	526	769	746	223	586	732	1064	493	303	1002	903	922	1117	1289	1298	1133	369	909	863					
11	Число полученных открепительных  удостоверений	1064	10	10	10	10	10	10	20	15	10	28	20	20	30	10	10	20	10	10	20	20	20	13	20	40	25	10	45	30	10	10	10	10	10	20	10	20	30	10	10	10	10	10	10	10	10	10	13	13	10	10	75	20	20	20	60	17	40	10	20	10					
12	Число выданных открепительных удостоверений	787	6	2	3	3	6	9	13	12	5	27	15	19	18	8	10	12	4	8	19	17	10	10	20	39	18	7	45	21	0	9	4	10	1	16	7	19	28	9	7	9	7	4	9	8	0	6	6	5	1	4	72	13	17	20	39	12	32	3	14	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	660	6	9	2	6	10	4	12	8	16	11	12	11	21	19	14	9	24	8	5	11	15	19	9	7	5	34	0	61	63	2	7	3	4	6	2	8	3	5	6	17	6	4	4	13	6	10	11	8	9	9	10	12	21	14	5	4	3	4	9	4					
14	Число неиспользованных открепительных удостоверений	277	4	8	7	7	4	1	7	3	5	1	5	1	12	2	0	8	6	2	1	3	10	3	0	1	7	3	0	9	10	1	6	0	9	4	3	1	2	1	3	1	3	6	1	2	10	4	7	8	9	6	3	7	3	0	21	5	8	7	6	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																			
18	. Глазьев Сергей Юрьевич	1837	16	21	15	14	19	28	38	25	25	53	43	40	24	21	31	51	21	20	24	21	26	28	44	53	55	16	11	48	11	16	16	31	16	29	17	50	33	26	14	27	23	23	32	31	3	41	21	59	25	2	56	41	52	42	40	83	53	14	28	51					
		4.05%	3.18%	3.41%	1.75%	2.76%	2.60%	3.37%	3.75%	3.09%	3.13%	4.21%	5.53%	3.53%	3.55%	3.54%	5.02%	7.12%	4.77%	2.64%	2.57%	1.62%	3.99%	2.44%	5.24%	5.08%	6.19%	2.32%	1.90%	5.67%	3.35%	3.66%	3.08%	5.29%	2.78%	3.56%	3.10%	6.07%	5.45%	4.37%	2.62%	5.54%	3.97%	4.37%	4.15%	4.13%	1.35%	6.96%	2.85%	5.48%	4.93%	0.66%	5.57%	4.53%	5.62%	3.75%	3.07%	6.30%	4.64%	3.79%	3.08%	5.90%					
19	. Малышкин Олег Александрович	2224	38	33	57	29	27	45	42	45	52	56	32	43	24	54	24	30	18	28	33	47	25	54	26	51	63	15	22	47	19	14	25	24	33	42	33	20	18	34	27	31	26	37	44	25	24	36	34	90	19	17	42	33	31	54	48	105	75	24	40	40					
