Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Новочебоксарская городская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605					
1	"Число избирателей, внесенных в список"	95922	1584	1964	1592	2081	1989	2265	1909	2063	1558	2204	1926	1819	2038	2078	1875	2221	2517	2204	2227	1485	2165	2102	2327	2192	2523	2403	2201	2778	2465	2369	2557	2467	371	1887	2246	1621	2396	2786	2865	1575	2148	2775	2021	2552	2531					
2	Число полученных избирательных бюллетеней	97750	1600	2000	1650	2100	2000	2300	1950	2150	1600	2250	1950	1850	2100	2100	1900	2200	2600	2200	2300	1600	2200	2100	2400	2200	2600	2400	2200	2800	2500	2400	2600	2500	350	2000	2300	1700	2500	2850	2900	1600	2200	2800	2050	2600	2600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	56610	969	1126	864	1080	1025	1295	1017	1277	787	1225	1239	1203	1175	1294	1141	1309	1505	1321	1251	889	1230	1201	1398	1330	1495	1396	1299	1647	1352	1435	1524	1483	168	1129	1433	991	1473	1656	1718	974	1264	1622	1218	1613	1569					
5	"Число избирательных бюллетеней, выданных вне помещения"	1022	23	14	22	13	46	31	24	24	13	38	19	25	30	31	34	22	42	26	39	10	22	18	32	33	30	15	19	28	12	22	33	24	46	6	9	4	12	19	15	10	12	14	27	16	18					
6	Число погашенных избирательных бюллетеней	40118	608	860	764	1007	929	974	909	849	800	987	692	622	895	775	725	869	1053	853	1010	701	948	881	970	837	1075	989	882	1125	1136	943	1043	993	136	865	858	705	1015	1175	1167	616	924	1164	805	971	1013					
7	Число избирательных бюллетеней в переносных ящиках	1022	23	14	22	13	46	31	24	24	13	38	19	25	30	31	34	22	42	26	39	10	22	18	32	33	30	15	19	28	12	22	33	24	46	6	9	4	12	19	15	10	12	14	27	16	18					
8	Число бюллетеней в стационарных ящиках для голосования	56607	969	1124	864	1080	1025	1295	1017	1277	787	1225	1239	1203	1175	1294	1141	1309	1505	1321	1251	889	1230	1201	1398	1330	1495	1396	1299	1647	1352	1435	1524	1483	168	1129	1433	991	1473	1656	1718	974	1264	1622	1218	1613	1568					
9	Число недействительных избирательных бюллетеней	409	17	10	6	11	15	13	13	9	7	16	8	7	6	5	5	14	18	9	17	1	10	9	10	6	10	10	8	9	5	9	8	14	1	7	5	9	8	13	10	4	8	11	7	4	7					
10	Число действительных избирательных бюллетеней	57220	975	1128	880	1082	1056	1313	1028	1292	793	1247	1250	1221	1199	1320	1170	1317	1529	1338	1273	898	1242	1210	1420	1357	1515	1401	1310	1666	1359	1448	1549	1493	213	1128	1437	986	1477	1662	1723	980	1268	1625	1238	1625	1579					
11	Число полученных открепительных  удостоверений	3471	59	67	60	79	79	80	68	79	69	80	70	70	80	79	70	80	89	80	80	60	80	79	80	79	90	79	80	90	80	79	89	87	40	69	80	70	90	88	89	69	79	89	70	88	80					
12	Число выданных открепительных удостоверений	841	12	14	19	20	19	13	17	29	10	25	7	22	21	14	17	16	27	24	25	22	17	20	16	28	23	19	17	30	21	16	16	18	0	11	22	15	22	26	18	17	12	26	20	19	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	437	10	1	7	6	13	5	5	15	9	15	7	20	5	6	7	4	14	13	8	10	10	9	13	5	10	12	8	4	12	16	16	10	35	11	15	3	9	8	2	6	8	9	11	5	10					
14	Число неиспользованных открепительных удостоверений	2630	47	53	41	59	60	67	51	50	59	55	63	48	59	65	53	64	62	56	55	38	63	59	64	51	67	60	63	60	59	63	73	69	40	58	58	55	68	62	71	52	67	63	50	69	61					
15	"Число открепительных удостоверений, выданных в ТИК"	29	1	3	0	1	1	0	2	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	3	0	1	0	0	0	2	1	1	1	1	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
