Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Степновская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15009	978	270	717	276	161	1136	338	2024	971	809	348	673	1046	747	1775	1115	908	306	411									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15140	1000	270	720	270	160	1150	340	2060	970	820	350	680	1060	750	1810	1110	910	300	410									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5466	347	164	297	119	91	485	130	690	211	252	183	295	397	188	722	458	269	82	86									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1064	88	0	25	10	4	102	15	149	91	30	20	45	69	53	137	138	37	31	20									
6	Число погашенных избирательных бюллетеней	8610	565	106	398	141	65	563	195	1221	668	538	147	340	594	509	951	514	604	187	304									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1064	88	0	25	10	4	102	15	149	91	30	20	45	69	53	137	138	37	31	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5466	347	164	297	119	91	485	130	690	211	252	183	295	397	188	722	458	269	82	86									
9	Число недействительных избирательных бюллетеней	268	4	3	17	8	3	23	2	39	5	18	18	6	25	12	32	16	16	19	2									
10	Число действительных избирательных бюллетеней	6262	431	161	305	121	92	564	143	800	297	264	185	334	441	229	827	580	290	94	104									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	166	11	5	5	5	5	10	5	15	10	10	5	5	15	10	15	15	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	145	11	5	2	0	0	10	5	15	10	9	5	5	15	10	15	15	10	2	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	62	5	5	3	1	3	2	1	6	1	4	0	2	6	3	6	3	4	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	21	0	0	3	5	5	0	0	0	0	1	0	0	0	0	0	0	0	3	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	0	0	1	0	0	1	1	0	0	0	0	6	2	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	72	18	0	2	2	1	4	2	7	0	3	1	4	3	1	11	3	6	3	1									
		1.10%	4.14%	0.00%	0.62%	1.55%	1.05%	0.68%	1.38%	0.83%	0.00%	1.06%	0.49%	1.18%	0.64%	0.41%	1.28%	0.50%	1.96%	2.65%	0.94%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	238	21	6	7	7	4	15	5	33	10	8	6	7	22	12	33	19	14	5	4									
		3.64%	4.83%	3.66%	2.17%	5.43%	4.21%	2.56%	3.45%	3.93%	3.31%	2.84%	2.96%	2.06%	4.72%	4.98%	3.84%	3.19%	4.58%	4.42%	3.77%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	138	6	2	4	0	4	8	2	8	8	11	11	6	7	2	30	10	9	9	1									
		2.11%	1.38%	1.22%	1.24%	0.00%	4.21%	1.36%	1.38%	0.95%	2.65%	3.90%	5.42%	1.76%	1.50%	0.83%	3.49%	1.68%	2.94%	7.96%	0.94%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3405	266	100	168	71	53	346	100	507	219	119	101	179	184	88	381	323	135	29	36									
		52.14%	61.15%	60.98%	52.17%	55.04%	55.79%	58.94%	68.97%	60.43%	72.52%	42.20%	49.75%	52.65%	39.48%	36.51%	44.35%	54.19%	44.12%	25.66%	33.96%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	31	0	0	1	0	0	4	0	4	2	1	0	1	1	4	5	3	1	4	0									
		0.47%	0.00%	0.00%	0.31%	0.00%	0.00%	0.68%	0.00%	0.48%	0.66%	0.35%	0.00%	0.29%	0.21%	1.66%	0.58%	0.50%	0.33%	3.54%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	0	0	1	0	0	3	0	2	3	5	0	0	3	1	0	3	0	1	0									
		0.34%	0.00%	0.00%	0.31%	0.00%	0.00%	0.51%	0.00%	0.24%	0.99%	1.77%	0.00%	0.00%	0.64%	0.41%	0.00%	0.50%	0.00%	0.88%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	969	20	0	63	19	18	80	12	87	14	74	34	77	88	49	156	89	48	19	22									
		14.84%	4.60%	0.00%	19.57%	14.73%	18.95%	13.63%	8.28%	10.37%	4.64%	26.24%	16.75%	22.65%	18.88%	20.33%	18.16%	14.93%	15.69%	16.81%	20.75%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	29	1	0	1	0	1	2	3	1	1	1	0	0	1	1	7	3	2	0	4									
		0.44%	0.23%	0.00%	0.31%	0.00%	1.05%	0.34%	2.07%	0.12%	0.33%	0.35%	0.00%	0.00%	0.21%	0.41%	0.81%	0.50%	0.65%	0.00%	3.77%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	38	0	0	2	0	0	6	1	2	1	3	0	1	6	4	5	5	2	0	0									
		0.58%	0.00%	0.00%	0.62%	0.00%	0.00%	1.02%	0.69%	0.24%	0.33%	1.06%	0.00%	0.29%	1.29%	1.66%	0.58%	0.84%	0.65%	0.00%	0.00%									
