Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Заринская городская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385					
1	"Число избирателей, внесенных в список"	40809	2875	3004	2762	2584	2280	2238	2831	2838	2529	2106	1645	1919	1525	1665	2215	1922	2850	1021					
2	Число полученных избирательных бюллетеней	37400	2700	2700	2500	2400	2100	2100	2600	2600	2300	2000	1500	1800	1400	1500	2000	1700	2600	900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23647	1699	1791	1370	1580	1422	1392	1768	1753	1703	1323	999	1192	781	819	1123	994	1475	463					
5	"Число избирательных бюллетеней, выданных вне помещения"	1115	58	131	33	32	31	49	53	76	28	24	33	18	64	116	99	69	97	104					
6	Число погашенных избирательных бюллетеней	12638	943	778	1097	788	647	659	779	771	569	653	468	590	555	565	778	637	1028	333					
7	Число избирательных бюллетеней в переносных ящиках	1115	58	131	33	32	31	49	53	76	28	24	33	18	64	116	99	69	97	104					
8	Число бюллетеней в стационарных ящиках для голосования	23633	1699	1788	1368	1580	1422	1391	1768	1752	1703	1321	999	1189	781	819	1123	994	1473	463					
9	Число недействительных избирательных бюллетеней	136	9	10	7	17	7	10	11	7	6	1	0	5	9	8	6	14	7	2					
10	Число действительных избирательных бюллетеней	24612	1748	1909	1394	1595	1446	1430	1810	1821	1725	1344	1032	1202	836	927	1216	1049	1563	565					
11	Число полученных открепительных  удостоверений	535	35	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20					
12	Число выданных открепительных удостоверений	242	29	18	15	11	19	15	16	16	17	19	11	15	2	7	8	5	13	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	164	15	14	11	9	5	7	21	1	7	12	9	9	3	14	9	3	13	2					
14	Число неиспользованных открепительных удостоверений	293	6	12	15	19	11	15	14	14	13	11	19	15	28	23	22	25	17	14					
15	"Число открепительных удостоверений, выданных в ТИК"	10	2	2	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	1128	77	75	44	88	67	67	90	101	77	59	59	67	41	31	54	36	76	19					
		4.56%	4.38%	3.91%	3.14%	5.46%	4.61%	4.65%	4.94%	5.53%	4.45%	4.39%	5.72%	5.55%	4.85%	3.32%	4.42%	3.39%	4.84%	3.35%					
19	. Малышкин Олег Александрович	917	73	76	63	61	43	41	66	70	40	48	25	33	47	41	58	37	64	31					
		3.71%	4.15%	3.96%	4.50%	3.78%	2.96%	2.85%	3.62%	3.83%	2.31%	3.57%	2.42%	2.73%	5.56%	4.39%	4.75%	3.48%	4.08%	5.47%					
20	. Миронов Сергей Михайлович	184	20	12	8	21	8	7	14	10	17	7	7	16	7	1	11	5	9	4					
		0.74%	1.14%	0.63%	0.57%	1.30%	0.55%	0.49%	0.77%	0.55%	0.98%	0.52%	0.68%	1.33%	0.83%	0.11%	0.90%	0.47%	0.57%	0.71%					
21	. Путин Владимир Владимирович	16970	1198	1354	1021	1094	1041	1002	1281	1239	1297	973	734	835	551	537	745	680	981	407					
		68.57%	68.18%	70.56%	72.88%	67.87%	71.64%	69.58%	70.35%	67.78%	74.93%	72.34%	71.12%	69.18%	65.21%	57.43%	60.97%	63.97%	62.48%	71.78%					
22	. Хакамада Ирина Муцуовна	658	40	50	37	40	44	49	44	58	56	32	40	44	18	24	25	24	25	8					
		2.66%	2.28%	2.61%	2.64%	2.48%	3.03%	3.40%	2.42%	3.17%	3.24%	2.38%	3.88%	3.65%	2.13%	2.57%	2.05%	2.26%	1.59%	1.41%					
23	. Харитонов Николай Михайлович	4050	289	275	174	247	191	217	267	276	186	177	127	184	161	275	297	238	379	90					
		16.36%	16.45%	14.33%	12.42%	15.32%	13.15%	15.07%	14.66%	15.10%	10.75%	13.16%	12.31%	15.24%	19.05%	29.41%	24.30%	22.39%	24.14%	15.87%					
																									
24	Против всех	705	51	67	47	44	52	47	48	67	52	48	40	23	11	18	26	29	29	6					
		2.85%	2.90%	3.49%	3.35%	2.73%	3.58%	3.26%	2.64%	3.67%	3.00%	3.57%	3.88%	1.91%	1.30%	1.93%	2.13%	2.73%	1.85%	1.06%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
