Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    Солецкая																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438					
1	"Число избирателей, внесенных в списки избирателей"	13925	293	157	962	208	522	131	431	313	318	257	231	409	540	791	1092	784	879	1306	991	768	2542					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13379	293	155	957	212	512	130	428	305	318	245	236	347	529	751	1061	787	839	1278	978	782	2236					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8195	184	88	576	105	323	83	256	182	159	115	165	237	389	404	752	431	457	720	546	438	1585					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1075	52	21	116	58	64	30	44	51	77	80	38	94	70	59	27	47	30	14	60	24	19					
6	Число погашенных избирательных бюллетеней	4109	57	46	265	49	125	17	128	72	82	50	33	16	70	288	282	309	352	544	372	320	632					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1075	52	21	116	58	64	30	44	51	77	80	38	94	70	59	27	47	30	14	60	24	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8194	184	88	576	105	323	83	256	182	159	115	165	237	389	404	752	431	457	720	546	438	1584					
9	Число недействительных избирательных бюллетеней	59	0	0	1	4	1	0	2	1	2	0	0	0	0	3	10	2	7	4	2	1	19					
10	Число действительных избирательных бюллетеней	9210	236	109	691	159	386	113	298	232	234	195	203	331	459	460	769	476	480	730	604	461	1584					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	192	6	5	10	5	7	5	3	3	3	5	2	3	3	5	10	10	3	9	5	9	81					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	137	6	5	3	2	4	2	3	2	2	2	0	0	0	5	9	7	3	9	5	9	59					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	95	2	2	7	2	11	1	4	1	1	1	2	4	5	2	5	3	5	2	2	4	29					
14	Число погашенных неиспользованных открепительных удостоверений	55	0	0	7	3	3	3	0	1	1	3	2	3	3	0	1	3	0	0	0	0	22					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	1.Политическая партия «Аграрная партия России»	153	2	0	20	5	12	5	5	3	6	1	0	3	6	12	12	2	12	5	12	10	20					
		1.65%	0.85%	0.00%	2.89%	3.07%	3.10%	4.42%	1.67%	1.29%	2.54%	0.51%	0.00%	0.91%	1.31%	2.59%	1.54%	0.42%	2.46%	0.68%	1.98%	2.16%	1.25%					
19	2.Всероссийская политическая партия «Гражданская Сила»	60	0	0	1	0	1	0	5	1	1	0	2	0	2	3	6	3	5	4	1	5	20					
		0.65%	0.00%	0.00%	0.14%	0.00%	0.26%	0.00%	1.67%	0.43%	0.42%	0.00%	0.99%	0.00%	0.44%	0.65%	0.77%	0.63%	1.03%	0.54%	0.17%	1.08%	1.25%					
20	3.Политическая партия «Демократическая партия России»	9	0	1	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	1	0	0	2					
		0.10%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.22%	0.39%	0.00%	0.00%	0.14%	0.00%	0.00%	0.12%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	663	14	4	39	12	34	6	11	18	6	4	2	18	30	45	62	39	30	69	34	45	141					
		7.15%	5.93%	3.67%	5.64%	7.36%	8.79%	5.31%	3.67%	7.73%	2.54%	2.05%	0.99%	5.44%	6.54%	9.72%	7.96%	8.16%	6.16%	9.40%	5.61%	9.74%	8.80%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	27	1	0	1	0	2	0	0	0	0	0	0	0	0	1	4	0	0	6	1	0	11					
		0.29%	0.42%	0.00%	0.14%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.51%	0.00%	0.00%	0.82%	0.17%	0.00%	0.69%					
23	6.Политическая партия «Партия социальной справедливости»	16	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	3	1	2	4					
		0.17%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.51%	0.49%	0.00%	0.00%	0.22%	0.00%	0.00%	0.21%	0.41%	0.17%	0.43%	0.25%					
24	7.Политическая партия «Либерально-демократическая партия России»	829	21	13	43	5	20	6	19	15	30	12	11	34	31	40	59	32	45	65	31	37	260					
		8.94%	8.90%	11.93%	6.21%	3.07%	5.17%	5.31%	6.33%	6.44%	12.71%	6.15%	5.42%	10.27%	6.75%	8.64%	7.57%	6.69%	9.24%	8.86%	5.12%	8.01%	16.22%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	522	16	4	33	8	11	2	51	11	7	4	5	10	18	26	52	25	35	39	25	36	104					
		5.63%	6.78%	3.67%	4.77%	4.91%	2.84%	1.77%	17.00%	4.72%	2.97%	2.05%	2.46%	3.02%	3.92%	5.62%	6.68%	5.23%	7.19%	5.31%	4.13%	7.79%	6.49%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	79	1	1	1	0	2	2	3	2	2	0	1	1	2	4	7	6	2	5	4	4	29					
		0.85%	0.42%	0.92%	0.14%	0.00%	0.52%	1.77%	1.00%	0.86%	0.85%	0.00%	0.49%	0.30%	0.44%	0.86%	0.90%	1.26%	0.41%	0.68%	0.66%	0.87%	1.81%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6812	178	85	552	128	303	92	203	178	182	173	180	264	368	325	558	369	350	529	491	322	982					
		73.49%	75.42%	77.98%	79.77%	78.53%	78.29%	81.42%	67.67%	76.39%	77.12%	88.72%	88.67%	79.76%	80.17%	70.19%	71.63%	77.20%	71.87%	72.07%	81.02%	69.70%	61.26%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	40	2	1	1	1	1	0	0	4	0	0	1	0	2	2	6	0	0	4	4	0	11					
		0.43%	0.85%	0.92%	0.14%	0.61%	0.26%	0.00%	0.00%	1.72%	0.00%	0.00%	0.49%	0.00%	0.44%	0.43%	0.77%	0.00%	0.00%	0.54%	0.66%	0.00%	0.69%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
