Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
"Наименование Избирательной комиссии:    Нижний Новгород, Советская"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767					
1	"Число избирателей, внесенных в списки избирателей"	125532	2247	2487	2675	2889	2076	1793	1792	1657	1225	2287	2272	1702	2539	2152	1597	1340	1766	2154	1723	1622	1268	1952	1807	2727	1449	1889	2650	2505	2839	2764	2309	2862	1921	2034	2194	1650	2902	2550	2384	2251	2143	2276	2151	1917	1942	1795	1995	2172	2396	2186	2437	2455	2169	2080	2690	2797	2450	909	1670					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	113800	2000	2200	2400	2600	1900	1700	1600	1500	1100	2000	2000	1500	2100	2000	1500	1200	1600	2000	1600	1500	1100	1700	1700	2600	1200	1700	2400	2300	2600	2600	2000	2500	1700	1800	1800	1500	2700	2400	2200	2000	1900	2100	2000	1800	1800	1600	1800	2000	2100	2000	2200	2200	2000	1900	2500	2200	2300	900	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	63565	1074	1094	1210	1346	1007	860	748	746	642	1069	1183	750	1293	966	838	844	995	1092	920	729	822	910	879	1416	775	996	1329	1330	1359	1364	1096	1306	1010	907	947	745	1401	1366	1162	1217	1088	1141	1130	969	1037	978	1003	1155	1310	1261	1336	1274	1124	1076	1378	1264	1304	324	1670					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2803	41	43	43	48	31	40	21	29	20	37	16	17	30	40	42	0	30	59	37	137	0	24	15	31	63	44	14	29	12	177	51	270	15	44	33	34	26	19	39	35	35	40	26	32	25	62	45	31	30	33	31	33	23	19	28	417	29	128	0					
6	Число погашенных избирательных бюллетеней	47432	885	1063	1147	1206	862	800	831	725	438	894	801	733	777	994	620	356	575	849	643	634	278	766	806	1153	362	660	1057	941	1229	1059	853	924	675	849	820	721	1273	1015	999	748	777	919	844	799	738	560	752	814	760	706	833	893	853	805	1094	519	967	448	330					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2802	41	43	43	48	31	40	21	29	20	37	16	17	30	40	42	0	30	59	37	137	0	24	15	31	63	44	14	29	12	176	51	270	15	44	33	34	26	19	39	35	35	40	26	32	25	62	45	31	30	33	31	33	23	19	28	417	29	128	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	63516	1074	1092	1210	1345	1005	860	748	746	641	1069	1183	750	1293	966	838	844	994	1092	920	729	822	910	879	1412	775	994	1327	1330	1359	1363	1095	1306	1010	907	947	745	1401	1365	1159	1217	1082	1140	1130	969	1035	978	1001	1154	1310	1255	1335	1273	1122	1076	1378	1264	1304	324	1664					
9	Число недействительных избирательных бюллетеней	915	1	9	14	8	18	4	6	5	8	11	16	4	11	8	10	10	7	7	12	13	15	12	11	12	13	23	15	6	22	18	18	16	9	9	6	10	12	24	12	14	8	12	21	18	7	19	8	20	20	7	16	21	9	9	19	17	7	5	213					
10	Число действительных избирательных бюллетеней	65403	1114	1126	1239	1385	1018	896	763	770	653	1095	1183	763	1312	998	870	834	1017	1144	945	853	807	922	883	1431	825	1015	1326	1353	1349	1521	1128	1560	1016	942	974	769	1415	1360	1186	1238	1109	1168	1135	983	1053	1021	1038	1165	1320	1281	1350	1285	1136	1086	1387	1664	1326	447	1451					
