Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																						
Дата голосования: 04.12.2011																																																																						
																																																																						
"Наименование Избирательной комиссии:    Нижний Новгород, Советская"																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770					
1	"Число избирателей, внесенных в список избирателей"	123280	86	208	2396	2311	2568	2742	2012	1778	1799	1638	1279	2156	2275	1749	2351	2157	1544	562	1648	2113	1656	2750	2022	2366	2822	1317	1882	2701	2516	2870	2568	2447	2394	1852	2255	2212	1694	2898	2446	2270	2173	2002	2204	2101	1881	1869	1665	1871	2047	2471	2123	2352	2338	2197	2548	2504	2320	2362	1058	1312	261	141	170					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	113100	150	250	2100	2100	2300	2500	1900	1600	1600	1500	1100	2000	2100	1700	2200	2000	1400	700	1500	2000	1500	2500	1800	2200	2600	1200	1700	2400	2300	2600	2300	2200	2100	1700	2100	1900	1500	2600	2200	2100	2000	1900	2100	1900	1700	1700	1500	1700	1900	2000	2200	2200	2200	1900	2400	2400	1800	2200	900	1500	300	200	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	68509	86	208	1220	1373	1414	1478	1145	1028	712	909	688	1448	1469	735	1431	1420	997	346	814	1432	1003	1318	1476	1315	1869	942	891	1339	1533	1488	1764	1755	1676	1221	935	863	654	1255	1429	1370	1107	1087	1325	1267	869	881	796	878	1029	1229	1165	1196	1124	1107	1259	1255	1265	1128	414	1312	91	111	165					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1672	0	0	13	20	18	10	24	37	22	25	34	15	20	15	20	17	11	0	23	31	25	25	22	13	19	18	40	64	16	16	25	29	12	42	21	45	55	19	21	24	24	18	22	65	19	65	21	28	18	12	25	16	21	13	18	21	22	24	168	0	116	30	0					
6	Число погашенных избирательных бюллетеней	42919	64	42	867	707	868	1012	731	535	866	566	378	537	611	950	749	563	392	354	663	537	472	1157	302	872	712	240	769	997	751	1096	511	416	412	437	1144	992	791	1326	750	706	869	795	753	568	812	754	683	794	853	759	1010	988	1055	780	1123	1124	513	1048	318	188	93	59	135					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1672	0	0	13	20	18	10	24	37	22	25	34	15	20	15	20	17	11	0	23	31	25	25	22	13	19	18	40	64	16	16	25	29	12	42	21	45	55	19	21	24	24	18	22	65	19	65	21	28	18	12	25	16	21	13	18	21	22	24	168	0	116	30	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	68487	86	208	1217	1372	1413	1478	1145	1028	712	909	686	1448	1469	735	1431	1420	997	346	814	1432	1003	1318	1476	1315	1867	942	891	1339	1533	1485	1764	1755	1673	1221	935	861	653	1255	1429	1370	1107	1085	1325	1267	869	881	796	878	1028	1229	1165	1196	1124	1107	1259	1255	1265	1128	413	1312	91	111	165					
9	Число недействительных избирательных бюллетеней	1238	0	0	7	12	10	19	16	20	17	11	79	12	9	9	22	11	27	8	14	13	12	24	19	22	20	9	19	20	66	25	27	13	15	14	10	14	10	22	15	13	12	16	13	18	11	9	14	16	18	13	16	12	15	6	207	12	16	15	4	83	4	1	2					
10	Число действительных избирательных бюллетеней	68921	86	208	1223	1380	1421	1469	1153	1045	717	923	641	1451	1480	741	1429	1426	981	338	823	1450	1016	1319	1479	1306	1866	951	912	1383	1483	1476	1762	1771	1670	1249	946	892	698	1252	1435	1381	1119	1087	1334	1314	877	937	803	890	1028	1228	1174	1200	1130	1114	1070	1264	1271	1137	577	1229	203	140	163					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2046	0	0	30	35	30	30	45	21	20	20	20	22	30	75	40	35	15	255	54	45	50	95	25	40	25	20	28	30	35	37	30	25	25	30	20	30	25	55	32	25	30	20	25	20	30	25	25	20	29	50	40	25	25	30	31	40	30	32	15	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1995	0	0	30	35	27	30	45	21	14	20	14	21	30	74	40	35	15	255	52	45	50	95	25	40	25	19	27	30	34	37	30	25	25	25	19	28	22	54	30	23	30	19	23	20	23	25	25	20	29	50	40	25	25	30	31	40	28	32	14	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2754	15	30	56	15	68	28	66	59	96	70	39	40	58	17	29	26	38	25	88	21	30	61	72	56	43	29	52	71	48	82	38	53	81	43	26	99	55	30	33	16	41	25	37	48	33	19	27	16	20	29	58	54	43	104	32	23	60	40	90	41	0	0	12					
14	Число погашенных неиспользованных открепительных удостоверений	51	0	0	0	0	3	0	0	0	6	0	6	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	5	1	2	3	1	2	2	0	1	2	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	0	0	2	1	2	1	1	3	2	1	0	0	0	2	1	0	0	0	0	2	10	0	1	0	0	0	1	1	2	0	1	0	0	0	0	0	1	1	0	0	3	0	2	0	2	3	1	0	3	1	4	2	1	0	0	3	2	7	3	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11602	9	24	192	203	232	180	167	157	147	131	88	146	221	112	160	173	164	44	164	208	132	149	186	148	244	123	183	204	232	202	214	206	156	162	178	148	129	184	233	200	208	159	225	242	195	246	220	234	298	321	381	337	335	271	209	311	357	277	82	74	44	20	21					
		16.54%	10.47%	11.54%	15.61%	14.58%	16.21%	12.10%	14.29%	14.74%	20.03%	14.03%	12.22%	9.98%	14.84%	14.93%	11.03%	12.04%	16.27%	12.72%	19.59%	14.22%	12.84%	11.09%	12.42%	11.14%	12.94%	12.81%	19.66%	14.54%	14.98%	13.46%	11.96%	11.55%	9.26%	12.83%	18.62%	16.34%	18.22%	14.44%	16.07%	14.35%	18.39%	14.42%	16.70%	18.17%	21.96%	26.00%	26.93%	25.83%	28.49%	25.87%	32.02%	27.81%	29.26%	24.20%	16.37%	24.37%	27.74%	24.05%	14.11%	5.64%	21.26%	14.18%	12.73%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6592	23	45	122	93	130	148	114	75	103	68	75	87	106	99	161	89	78	70	68	72	105	253	89	165	135	52	96	150	110	133	129	80	113	73	110	88	77	137	138	133	133	91	84	106	80	89	81	71	74	106	98	94	123	108	101	93	112	116	61	502	34	12	31					
