Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
"Наименование Избирательной комиссии:    Новосибирск, Советская"																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989					
1	"Число избирателей, внесенных в списки избирателей"	106894	2312	2221	2284	2436	1658	2355	2291	1916	2081	1481	1790	1969	1779	2146	1978	2086	1977	2008	1745	1887	2347	2171	1860	1666	1776	79	1924	17	1704	1833	2165	1985	1637	2173	2107	2055	1839	1750	2207	1534	1578	2133	2135	2239	2105	2295	2143	2817	2750	2152	2084	2004	1737	1713	1534	162	84					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	87900	1900	1800	1900	2000	1300	1850	1850	1600	1700	1200	1450	1600	1500	1800	1600	1700	1600	1700	1400	1600	1850	1750	1500	1400	1500	100	1550	50	1350	1550	1800	1600	1350	1750	1700	1700	1500	1500	1800	1250	1300	1750	1750	1850	1700	1850	1750	2600	2300	1800	1700	1600	1400	1400	1300	150	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	58978	1295	1226	1193	1251	879	1007	1238	1095	1004	802	973	1126	925	956	981	1106	1039	991	771	985	1032	997	1083	842	956	75	1078	17	934	1156	1331	1172	982	1102	1338	1105	1079	1071	1178	862	893	1160	1118	1209	1132	1334	1243	2266	1865	1228	1190	1053	997	941	904	137	75					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1321	18	26	22	30	15	27	18	17	16	34	42	14	16	27	16	20	28	26	39	26	69	42	13	28	23	0	9	0	17	41	42	42	12	22	30	27	34	3	50	28	14	24	33	29	12	24	18	27	9	8	14	12	11	65	12	0	0					
6	Число погашенных избирательных бюллетеней	27601	587	548	685	719	406	816	594	488	680	364	435	460	559	817	603	574	533	683	590	589	749	711	404	530	521	25	463	33	399	353	427	386	356	626	332	568	387	426	572	360	393	566	599	612	556	492	489	307	426	564	496	535	392	394	384	13	25					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1321	18	26	22	30	15	27	18	17	16	34	42	14	16	27	16	20	28	26	39	26	69	42	13	28	23	0	9	0	17	41	42	42	12	22	30	27	34	3	50	28	14	24	33	29	12	24	18	27	9	8	14	12	11	65	12	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	58860	1294	1224	1186	1248	879	1005	1236	1094	1001	802	973	1123	925	956	981	1106	1011	990	771	981	1032	993	1083	842	956	75	1072	17	934	1156	1327	1171	979	1098	1337	1101	1077	1069	1175	860	893	1160	1115	1209	1130	1327	1236	2266	1865	1226	1190	1052	996	940	903	137	75					
9	Число недействительных избирательных бюллетеней	737	12	15	5	17	10	8	15	11	20	10	6	13	8	10	12	42	10	8	9	4	9	12	8	5	11	0	19	0	8	15	19	13	12	22	13	18	13	13	12	28	20	13	15	19	15	22	18	37	19	22	11	12	3	7	5	4	0					
10	Число действительных избирательных бюллетеней	59444	1300	1235	1203	1261	884	1024	1239	1100	997	826	1009	1124	933	973	985	1084	1029	1008	801	1003	1092	1023	1088	865	968	75	1062	17	943	1182	1350	1200	979	1098	1354	1110	1098	1059	1213	860	887	1171	1133	1219	1127	1329	1236	2256	1855	1212	1193	1052	1004	998	910	133	75					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1600	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	30	0	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	30	30	30	30	30	30	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	697	6	15	5	11	13	12	19	15	16	9	15	12	9	13	19	16	15	15	4	17	14	15	11	15	20	0	18	0	12	14	15	13	7	9	13	13	8	12	17	3	12	18	19	18	9	7	11	13	31	12	13	7	16	11	15	0	0					
