Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Ноябрьская городская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	71062	2733	2590	2644	2759	2493	2649	2575	1151	2566	1556	1581	2539	2676	2591	1315	2534	1585	2463	1481	1252	1354	1609	1645	1510	1449	2176	1116	1696	1625	1417	2072	1856	1662	1086	952	1539	2565									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	69400	2700	2600	2600	2700	2500	2500	2500	1100	2500	1500	1500	2500	2600	2600	1300	2500	1500	2400	1400	1200	1300	1600	1600	1500	1400	2200	1100	1700	1600	1400	2000	1800	1600	1000	900	1500	2500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	50095	1919	1858	1647	1866	1859	1888	1855	756	1875	1060	1032	1785	1851	1847	974	1806	1087	1821	1046	863	1177	1138	1298	927	927	1871	813	1194	1083	881	1663	1561	958	516	520	898	1975									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	264	1	1	3	10	28	2	0	20	34	3	0	5	4	9	1	2	6	4	2	2	1	8	1	1	36	16	1	4	11	26	1	1	0	4	4	6	6									
6	Число погашенных избирательных бюллетеней	19041	780	741	950	824	613	610	645	324	591	437	468	710	745	744	325	692	407	575	352	335	122	454	301	572	437	313	286	502	506	493	336	238	642	480	376	596	519									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	264	1	1	3	10	28	2	0	20	34	3	0	5	4	9	1	2	6	4	2	2	1	8	1	1	36	16	1	4	11	26	1	1	0	4	4	6	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	50095	1919	1858	1647	1866	1859	1888	1855	756	1875	1060	1032	1785	1851	1847	974	1806	1087	1821	1046	863	1177	1138	1298	927	927	1871	813	1194	1083	881	1663	1561	958	516	520	898	1975									
9	Число недействительных избирательных бюллетеней	568	43	39	40	7	30	3	22	12	25	15	55	24	7	7	6	3	9	5	6	15	13	23	5	3	3	23	8	18	39	5	2	4	12	12	8	14	3									
10	Число действительных избирательных бюллетеней	49791	1877	1820	1610	1869	1857	1887	1833	764	1884	1048	977	1766	1848	1849	969	1805	1084	1820	1042	850	1165	1123	1294	925	960	1864	806	1180	1055	902	1662	1558	946	508	516	890	1978									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	793	25	25	20	20	25	25	20	20	20	20	20	25	25	20	20	20	20	20	20	20	20	25	20	20	20	20	20	20	20	20	20	38	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	465	16	18	13	14	19	16	19	13	15	12	8	18	15	17	9	12	6	11	12	12	7	17	16	9	7	10	7	7	12	9	16	38	9	3	4	8	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	142	0	10	0	20	19	0	7	0	10	0	6	3	0	0	0	0	0	0	0	4	14	9	0	0	0	5	7	11	0	3	0	0	6	3	0	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	328	9	7	7	6	6	9	1	7	5	8	12	7	10	3	11	8	14	9	8	8	13	8	4	11	13	10	13	13	8	11	4	0	11	17	16	12	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2237	82	82	65	75	71	75	79	56	74	60	62	82	70	66	47	83	59	60	48	53	57	57	53	57	54	58	51	50	53	49	68	63	40	43	40	48	47									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	243	4	5	5	2	9	3	9	3	16	10	4	16	4	6	2	5	6	7	5	8	7	7	2	8	2	5	11	4	7	11	7	5	6	5	7	9	11									
		0.48%	0.21%	0.27%	0.30%	0.11%	0.48%	0.16%	0.49%	0.39%	0.84%	0.94%	0.39%	0.89%	0.22%	0.32%	0.21%	0.28%	0.55%	0.38%	0.48%	0.92%	0.59%	0.61%	0.15%	0.86%	0.21%	0.26%	1.35%	0.33%	0.64%	1.21%	0.42%	0.32%	0.63%	0.96%	1.34%	0.99%	0.56%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	650	23	31	11	9	13	55	31	15	24	11	9	21	9	19	45	33	16	35	19	18	12	10	8	9	11	29	7	15	14	10	12	8	12	13	11	5	17									
		1.29%	1.20%	1.67%	0.67%	0.48%	0.69%	2.91%	1.67%	1.93%	1.26%	1.03%	0.87%	1.17%	0.49%	1.02%	4.62%	1.83%	1.46%	1.92%	1.81%	2.08%	1.02%	0.87%	0.62%	0.97%	1.14%	1.54%	0.86%	1.25%	1.28%	1.10%	0.72%	0.51%	1.25%	2.50%	2.10%	0.55%	0.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	276	3	9	5	2	11	4	5	3	28	5	3	24	9	8	4	11	3	10	4	6	8	5	8	4	5	8	4	7	10	2	8	5	14	7	3	6	15									
		0.55%	0.16%	0.48%	0.30%	0.11%	0.58%	0.21%	0.27%	0.39%	1.47%	0.47%	0.29%	1.34%	0.49%	0.43%	0.41%	0.61%	0.27%	0.55%	0.38%	0.69%	0.68%	0.44%	0.62%	0.43%	0.52%	0.42%	0.49%	0.58%	0.91%	0.22%	0.48%	0.32%	1.46%	1.35%	0.57%	0.66%	0.76%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	30787	1194	1160	932	1161	1182	1174	1164	459	1131	651	612	1105	1166	1149	583	1146	710	1116	636	530	756	705	758	562	569	1252	516	742	647	544	986	978	550	225	227	576	1233									
		61.14%	62.19%	62.40%	56.48%	61.89%	62.64%	62.12%	62.75%	59.15%	59.25%	61.24%	59.30%	61.73%	62.86%	61.91%	59.79%	63.38%	64.96%	61.15%	60.69%	61.27%	64.18%	61.52%	58.35%	60.56%	59.09%	66.35%	63.39%	61.94%	59.14%	59.98%	59.25%	62.61%	57.41%	43.27%	43.32%	63.72%	62.24%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	227	2	11	2	3	8	7	16	5	9	6	5	9	8	3	4	9	6	11	5	7	4	8	4	5	7	10	8	7	4	5	6	4	5	1	4	2	7									
		0.45%	0.10%	0.59%	0.12%	0.16%	0.42%	0.37%	0.86%	0.64%	0.47%	0.56%	0.48%	0.50%	0.43%	0.16%	0.41%	0.50%	0.55%	0.60%	0.48%	0.81%	0.34%	0.70%	0.31%	0.54%	0.73%	0.53%	0.98%	0.58%	0.37%	0.55%	0.36%	0.26%	0.52%	0.19%	0.76%	0.22%	0.35%									
24	"6. Политическая партия ""Гражданская Платформа"""	224	11	4	3	11	2	7	11	6	1	9	4	1	8	2	6	8	9	11	6	5	2	7	8	8	7	9	8	7	7	5	8	5	0	1	5	0	12									
		0.44%	0.57%	0.22%	0.18%	0.59%	0.11%	0.37%	0.59%	0.77%	0.05%	0.85%	0.39%	0.06%	0.43%	0.11%	0.62%	0.44%	0.82%	0.60%	0.57%	0.58%	0.17%	0.61%	0.62%	0.86%	0.73%	0.48%	0.98%	0.58%	0.64%	0.55%	0.48%	0.32%	0.00%	0.19%	0.95%	0.00%	0.61%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7365	290	271	346	308	263	276	270	112	337	127	135	276	256	285	157	256	128	243	183	112	153	115	216	117	135	231	92	153	142	121	248	180	175	187	108	143	218									
		14.62%	15.10%	14.58%	20.97%	16.42%	13.94%	14.60%	14.56%	14.43%	17.65%	11.95%	13.08%	15.42%	13.80%	15.36%	16.10%	14.16%	11.71%	13.32%	17.46%	12.95%	12.99%	10.03%	16.63%	12.61%	14.02%	12.24%	11.30%	12.77%	12.98%	13.34%	14.90%	11.52%	18.27%	35.96%	20.61%	15.82%	11.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	197	5	7	5	7	5	7	7	4	7	3	3	12	6	7	3	5	5	7	5	4	8	5	3	5	4	7	4	4	2	5	7	3	7	7	4	4	4									
		0.39%	0.26%	0.38%	0.30%	0.37%	0.26%	0.37%	0.38%	0.52%	0.37%	0.28%	0.29%	0.67%	0.32%	0.38%	0.31%	0.28%	0.46%	0.38%	0.48%	0.46%	0.68%	0.44%	0.23%	0.54%	0.42%	0.37%	0.49%	0.33%	0.18%	0.55%	0.42%	0.19%	0.73%	1.35%	0.76%	0.44%	0.20%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	276	7	9	6	11	4	8	6	6	20	4	4	14	12	13	5	14	4	8	5	5	13	7	5	7	5	10	6	8	7	5	6	4	7	1	4	4	12									
		0.55%	0.36%	0.48%	0.36%	0.59%	0.21%	0.42%	0.32%	0.77%	1.05%	0.38%	0.39%	0.78%	0.65%	0.70%	0.51%	0.77%	0.37%	0.44%	0.48%	0.58%	1.10%	0.61%	0.38%	0.75%	0.52%	0.53%	0.74%	0.67%	0.64%	0.55%	0.36%	0.26%	0.73%	0.19%	0.76%	0.44%	0.61%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	261	10	12	11	12	11	2	3	6	5	6	6	1	13	12	5	13	6	13	8	6	1	8	6	8	7	12	6	7	5	4	11	7	1	1	6	0	10									
		0.52%	0.52%	0.65%	0.67%	0.64%	0.58%	0.11%	0.16%	0.77%	0.26%	0.56%	0.58%	0.06%	0.70%	0.65%	0.51%	0.72%	0.55%	0.71%	0.76%	0.69%	0.08%	0.70%	0.46%	0.86%	0.73%	0.64%	0.74%	0.58%	0.46%	0.44%	0.66%	0.45%	0.10%	0.19%	1.15%	0.00%	0.50%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	235	8	6	7	6	11	6	5	6	13	5	4	10	5	12	3	5	5	5	8	2	7	8	4	8	7	4	6	3	5	4	11	5	9	0	6	8	8									
		0.47%	0.42%	0.32%	0.42%	0.32%	0.58%	0.32%	0.27%	0.77%	0.68%	0.47%	0.39%	0.56%	0.27%	0.65%	0.31%	0.28%	0.46%	0.27%	0.76%	0.23%	0.59%	0.70%	0.31%	0.86%	0.73%	0.21%	0.74%	0.25%	0.46%	0.44%	0.66%	0.32%	0.94%	0.00%	1.15%	0.88%	0.40%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6052	212	190	189	238	228	231	195	96	191	155	131	200	218	211	104	196	109	246	106	102	159	130	167	103	149	185	93	166	152	142	215	182	145	47	93	102	274									
		12.02%	11.04%	10.22%	11.45%	12.69%	12.08%	12.22%	10.51%	12.37%	10.01%	14.58%	12.69%	11.17%	11.75%	11.37%	10.67%	10.84%	9.97%	13.48%	10.11%	11.79%	13.50%	11.34%	12.86%	11.10%	15.47%	9.80%	11.43%	13.86%	13.89%	15.66%	12.92%	11.65%	15.14%	9.04%	17.75%	11.28%	13.83%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	289	11	9	4	10	14	9	16	7	5	5	6	6	16	15	5	8	10	11	10	4	2	10	6	10	9	7	8	5	7	5	8	7	2	1	7	3	11									
		0.57%	0.57%	0.48%	0.24%	0.53%	0.74%	0.48%	0.86%	0.90%	0.26%	0.47%	0.58%	0.34%	0.86%	0.81%	0.51%	0.44%	0.91%	0.60%	0.95%	0.46%	0.17%	0.87%	0.46%	1.08%	0.93%	0.37%	0.98%	0.42%	0.64%	0.55%	0.48%	0.45%	0.21%	0.19%	1.34%	0.33%	0.56%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2709	97	96	84	89	96	98	95	36	97	51	51	71	118	107	43	96	67	97	42	41	33	98	99	71	43	95	37	52	46	39	129	165	13	12	31	28	146									
		5.38%	5.05%	5.16%	5.09%	4.74%	5.09%	5.19%	5.12%	4.64%	5.08%	4.80%	4.94%	3.97%	6.36%	5.77%	4.41%	5.31%	6.13%	5.32%	4.01%	4.74%	2.80%	8.55%	7.62%	7.65%	4.47%	5.03%	4.55%	4.34%	4.20%	4.30%	7.75%	10.56%	1.36%	2.31%	5.92%	3.10%	7.37%									
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
