Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Навлинская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22272	2967	2419	2220	2806	2930	1183	385	557	160	129	450	210	250	225	614	109	223	193	251	578	313	341	311	296	439	986	330	133	264									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21500	2800	2300	2100	2700	2700	1100	400	600	150	120	450	200	250	220	650	100	220	200	250	580	300	350	300	300	450	1000	330	130	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12686	1689	1027	1463	1546	1488	738	97	448	118	91	191	113	150	96	313	78	168	121	170	425	233	184	239	135	233	706	176	64	186									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1873	88	61	133	58	53	110	130	58	14	26	135	74	27	20	212	18	17	39	32	33	55	116	45	48	33	73	109	25	31									
6	Число погашенных избирательных бюллетеней	6941	1023	1212	504	1096	1159	252	173	94	18	3	124	13	73	104	125	4	35	40	48	122	12	50	16	117	184	221	45	41	33									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1873	88	61	133	58	53	110	130	58	14	26	135	74	27	20	212	18	17	39	32	33	55	116	45	48	33	73	109	25	31									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12686	1689	1027	1463	1546	1488	738	97	448	118	91	191	113	150	96	313	78	168	121	170	425	233	184	239	135	233	706	176	64	186									
9	Число недействительных избирательных бюллетеней	183	13	44	15	15	17	14	0	6	1	0	20	2	0	1	0	2	2	0	0	0	1	2	0	2	17	3	5	1	0									
10	Число действительных избирательных бюллетеней	14376	1764	1044	1581	1589	1524	834	227	500	131	117	306	185	177	115	525	94	183	160	202	458	287	298	284	181	249	776	280	88	217									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	134	23	15	12	13	18	5	2	3	1	1	3	2	1	1	3	1	1	2	2	3	2	2	2	3	3	5	2	1	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	134	23	15	12	13	18	5	2	3	1	1	3	2	1	1	3	1	1	2	2	3	2	2	2	3	3	5	2	1	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	81	8	2	5	6	7	5	5	0	1	3	2	1	2	3	0	1	2	7	2	0	2	2	1	4	1	4	2	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	116	26	17	12	14	21	1	3	6	0	0	0	0	1	1	0	0	1	0	0	2	0	0	1	2	7	1	0	0	0									
