Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Щучанская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №1066	УИК №1067	УИК №1068	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1100	УИК №1101	УИК №1102	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1109	УИК №1110	УИК №1112	УИК №1113	УИК №1115	УИК №1116									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18027	590	594	1648	609	933	214	1001	1405	1184	481	282	109	256	593	173	120	357	363	109	176	247	480	123	840	170	413	205	169	78	751	124	109	454	342	135	87	318	307	95	323	117	730	213									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17100	550	600	1600	600	900	200	950	1400	1000	450	250	100	250	600	150	100	350	350	100	150	200	450	100	850	150	400	200	150	75	750	100	100	450	300	100	75	300	300	100	300	100	700	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7255	158	264	575	163	340	67	329	431	662	217	111	53	142	253	78	46	207	143	46	80	118	242	50	335	73	151	89	83	36	189	54	65	214	174	73	43	131	124	62	130	55	312	87									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	973	33	41	41	20	53	18	18	25	10	41	31	7	25	17	15	15	0	16	10	9	18	14	14	48	8	21	11	15	2	80	3	5	36	20	3	0	40	31	10	35	13	76	25									
6	Число погашенных избирательных бюллетеней	8872	359	295	984	417	507	115	603	944	328	192	108	40	83	330	57	39	143	191	44	61	64	194	36	467	69	228	100	52	37	481	43	30	200	106	24	32	129	145	28	135	32	312	88									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	973	33	41	41	20	53	18	18	25	10	41	31	7	25	17	15	15	0	16	10	9	18	14	14	48	8	21	11	15	2	80	3	5	36	20	3	0	40	31	10	35	13	76	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7255	158	264	575	163	340	67	329	431	662	217	111	53	142	253	78	46	207	143	46	80	118	242	50	335	73	151	89	83	36	189	54	65	214	174	73	43	131	124	62	130	55	312	87									
9	Число недействительных избирательных бюллетеней	140	1	4	10	4	2	1	2	3	19	5	0	4	1	6	1	1	4	4	1	0	1	2	1	11	4	6	2	2	0	5	0	0	8	5	1	1	2	0	0	3	0	10	3									
10	Число действительных избирательных бюллетеней	8088	190	301	606	179	391	84	345	453	653	253	142	56	166	264	92	60	203	155	55	89	135	254	63	372	77	166	98	96	38	264	57	70	242	189	75	42	169	155	72	162	68	378	109									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	382	6	29	22	11	15	5	10	5	12	12	7	5	6	10	10	5	8	26	5	5	6	8	5	10	5	10	5	5	5	20	5	5	13	8	5	5	8	7	5	8	5	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	237	2	29	21	9	8	5	7	2	8	12	0	0	0	4	10	3	1	22	0	5	2	3	5	10	0	5	2	5	0	20	0	2	13	3	5	1	3	0	5	0	0	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	200	2	13	10	2	11	2	12	3	61	13	2	1	2	0	1	1	4	5	1	1	3	4	2	7	3	1	1	1	1	4	3	2	3	3	1	0	1	1	0	2	2	2	6									
14	Число погашенных неиспользованных открепительных удостоверений	145	4	0	1	2	7	0	3	3	4	0	7	5	6	6	0	2	7	4	5	0	4	5	0	0	5	5	3	0	5	0	5	3	0	5	0	4	5	7	0	8	5	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	94	0	0	2	0	11	0	1	0	73	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	106	0	3	9	0	3	3	2	12	5	3	2	1	0	2	1	0	1	4	2	1	2	4	3	5	3	6	0	0	0	2	0	4	1	3	2	0	1	1	0	4	1	7	3									
		1.29%	0.00%	0.98%	1.46%	0.00%	0.76%	3.53%	0.58%	2.63%	0.74%	1.16%	1.41%	1.67%	0.00%	0.74%	1.08%	0.00%	0.48%	2.52%	3.57%	1.12%	1.47%	1.56%	4.69%	1.31%	3.70%	3.49%	0.00%	0.00%	0.00%	0.74%	0.00%	5.71%	0.40%	1.55%	2.63%	0.00%	0.58%	0.65%	0.00%	2.42%	1.47%	1.80%	2.68%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	264	19	5	20	12	7	2	12	14	10	9	8	1	10	13	1	2	5	5	2	2	7	4	0	21	1	7	1	0	3	9	0	2	4	5	0	1	5	3	4	8	3	17	0									
		3.21%	9.95%	1.64%	3.25%	6.56%	1.78%	2.35%	3.46%	3.07%	1.49%	3.49%	5.63%	1.67%	5.99%	4.81%	1.08%	3.28%	2.42%	3.14%	3.57%	2.25%	5.15%	1.56%	0.00%	5.48%	1.23%	4.07%	1.00%	0.00%	7.89%	3.35%	0.00%	2.86%	1.60%	2.58%	0.00%	2.33%	2.92%	1.94%	5.56%	4.85%	4.41%	4.38%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	174	6	7	11	1	6	1	7	9	7	3	2	1	6	4	2	3	1	5	2	2	2	9	5	7	1	1	3	4	0	13	1	7	3	6	1	2	2	0	1	5	1	8	6									
		2.11%	3.14%	2.30%	1.79%	0.55%	1.53%	1.18%	2.02%	1.97%	1.04%	1.16%	1.41%	1.67%	3.59%	1.48%	2.15%	4.92%	0.48%	3.14%	3.57%	2.25%	1.47%	3.52%	7.81%	1.83%	1.23%	0.58%	3.00%	4.08%	0.00%	4.83%	1.75%	10.00%	1.20%	3.09%	1.32%	4.65%	1.17%	0.00%	1.39%	3.03%	1.47%	2.06%	5.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3996	78	128	240	85	168	40	169	201	316	128	81	27	100	145	65	38	92	62	36	42	80	123	16	146	49	99	58	54	12	125	24	26	139	126	36	23	81	107	46	74	32	219	60									
		48.57%	40.84%	41.97%	38.96%	46.45%	42.75%	47.06%	48.70%	44.08%	47.02%	49.61%	57.04%	45.00%	59.88%	53.70%	69.89%	62.30%	44.44%	38.99%	64.29%	47.19%	58.82%	48.05%	25.00%	38.12%	60.49%	57.56%	58.00%	55.10%	31.58%	46.47%	42.11%	37.14%	55.60%	64.95%	47.37%	53.49%	47.37%	69.03%	63.89%	44.85%	47.06%	56.44%	53.57%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	44	0	2	6	0	3	0	0	2	4	1	1	1	0	1	0	0	2	1	0	0	0	1	0	1	0	1	1	0	0	4	0	4	1	0	1	0	0	1	1	1	1	2	0									
		0.53%	0.00%	0.66%	0.97%	0.00%	0.76%	0.00%	0.00%	0.44%	0.60%	0.39%	0.70%	1.67%	0.00%	0.37%	0.00%	0.00%	0.97%	0.63%	0.00%	0.00%	0.00%	0.39%	0.00%	0.26%	0.00%	0.58%	1.00%	0.00%	0.00%	1.49%	0.00%	5.71%	0.40%	0.00%	1.32%	0.00%	0.00%	0.65%	1.39%	0.61%	1.47%	0.52%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	18	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	1	0	0	0	0	0	0	3	1	0	0	1	0	0	1	1	0	0									
		0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.15%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	2.21%	0.00%	0.00%	0.52%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.20%	0.52%	0.00%	0.00%	0.58%	0.00%	0.00%	0.61%	1.47%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1726	39	64	141	34	96	26	84	113	209	51	30	14	22	50	14	1	33	26	9	24	20	65	18	88	13	25	11	23	15	48	21	17	44	19	25	7	35	24	12	32	17	52	15									
		20.98%	20.42%	20.98%	22.89%	18.58%	24.43%	30.59%	24.21%	24.78%	31.10%	19.77%	21.13%	23.33%	13.17%	18.52%	15.05%	1.64%	15.94%	16.35%	16.07%	26.97%	14.71%	25.39%	28.13%	22.98%	16.05%	14.53%	11.00%	23.47%	39.47%	17.84%	36.84%	24.29%	17.60%	9.79%	32.89%	16.28%	20.47%	15.48%	16.67%	19.39%	25.00%	13.40%	13.39%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	20	1	2	2	4	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0									
		0.24%	0.52%	0.66%	0.32%	2.19%	0.00%	0.00%	0.29%	0.00%	0.45%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.25%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	41	0	0	10	0	4	0	4	1	4	1	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	2	2	0	0	0	2	1	0	0	1	0	0	1	2	1									
		0.50%	0.00%	0.00%	1.62%	0.00%	1.02%	0.00%	1.15%	0.22%	0.60%	0.39%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.78%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	5.26%	0.74%	0.00%	0.00%	0.00%	1.03%	1.32%	0.00%	0.00%	0.65%	0.00%	0.00%	1.47%	0.52%	0.89%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	2	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.12%	0.00%	0.66%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	1.23%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	53	1	1	5	2	3	0	3	3	6	1	1	0	1	2	0	0	0	0	0	1	0	3	1	1	0	0	0	0	0	2	0	0	4	0	1	0	0	1	0	1	0	8	1									
		0.64%	0.52%	0.33%	0.81%	1.09%	0.76%	0.00%	0.86%	0.66%	0.89%	0.39%	0.70%	0.00%	0.60%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%	1.17%	1.56%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	1.60%	0.00%	1.32%	0.00%	0.00%	0.65%	0.00%	0.61%	0.00%	2.06%	0.89%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1119	30	46	97	28	73	10	41	58	55	41	13	9	23	30	8	16	62	15	3	13	18	27	13	80	9	21	22	9	2	38	2	7	28	13	3	2	33	15	4	31	10	41	20									
		13.60%	15.71%	15.08%	15.75%	15.30%	18.58%	11.76%	11.82%	12.72%	8.18%	15.89%	9.15%	15.00%	13.77%	11.11%	8.60%	26.23%	29.95%	9.43%	5.36%	14.61%	13.24%	10.55%	20.31%	20.89%	11.11%	12.21%	22.00%	9.18%	5.26%	14.13%	3.51%	10.00%	11.20%	6.70%	3.95%	4.65%	19.30%	9.68%	5.56%	18.79%	14.71%	10.57%	17.86%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	39	1	1	5	2	2	1	1	2	4	1	0	0	0	1	0	0	0	5	0	0	1	1	1	3	0	0	0	0	0	0	1	0	2	0	0	2	1	1	0	0	0	0	0									
		0.47%	0.52%	0.33%	0.81%	1.09%	0.51%	1.18%	0.29%	0.44%	0.60%	0.39%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	3.14%	0.00%	0.00%	0.74%	0.39%	1.56%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.75%	0.00%	0.80%	0.00%	0.00%	4.65%	0.58%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	478	15	40	59	11	26	1	21	36	26	12	4	2	4	14	1	0	7	30	1	2	2	15	6	15	0	5	2	6	4	20	8	3	11	14	5	5	10	1	4	5	1	21	3									
		5.81%	7.85%	13.11%	9.58%	6.01%	6.62%	1.18%	6.05%	7.89%	3.87%	4.65%	2.82%	3.33%	2.40%	5.19%	1.08%	0.00%	3.38%	18.87%	1.79%	2.25%	1.47%	5.86%	9.38%	3.92%	0.00%	2.91%	2.00%	6.12%	10.53%	7.43%	14.04%	4.29%	4.40%	7.22%	6.58%	11.63%	5.85%	0.65%	5.56%	3.03%	1.47%	5.41%	2.68%									
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
