Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    Прохладненская городская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253					
1	"Число избирателей, внесенных в списки избирателей"	41147	1896	2020	2328	2562	2117	2280	1866	1888	1608	2766	1567	1811	2177	2085	2290	2090	1937	2074	2120	1480	185					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	40755	1900	2000	2300	2500	2080	2250	1850	1890	1600	2800	1550	1800	2200	2100	2250	2050	1900	2050	2050	1450	185					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	38300	1759	1910	2145	2273	2016	2141	1794	1765	1513	2489	1501	1718	2033	1940	2082	2035	1857	1828	1952	1364	185					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1357	54	38	100	212	40	35	42	63	29	168	30	25	61	44	115	14	19	121	98	49	0					
6	Число погашенных избирательных бюллетеней	1098	87	52	55	15	24	74	14	62	58	143	19	57	106	116	53	1	24	101	0	37	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1357	54	38	100	212	40	35	42	63	29	168	30	25	61	44	115	14	19	121	98	49	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38300	1759	1910	2145	2273	2016	2141	1794	1765	1513	2489	1501	1718	2033	1940	2082	2035	1857	1828	1952	1364	185					
9	Число недействительных избирательных бюллетеней	141	3	1	2	2	7	0	7	0	0	19	11	80	0	0	0	0	0	7	0	2	0					
10	Число действительных избирательных бюллетеней	39516	1810	1947	2243	2483	2049	2176	1829	1828	1542	2638	1520	1663	2094	1984	2197	2049	1876	1942	2050	1411	185					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	180	10	10	8	10	15	5	5	10	8	30	10	5	5	5	14	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	132	6	10	7	5	10	5	2	6	8	30	6	1	4	4	14	2	4	1	3	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	39	0	1	2	3	1	3	6	2	1	2	5	2	1	0	5	0	0	2	1	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	48	4	0	1	5	5	0	3	4	0	0	4	4	1	1	0	3	1	4	2	1	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	1.Политическая партия «Аграрная партия России»	54	0	0	6	0	2	0	0	0	0	0	19	0	0	0	0	0	0	17	0	10	0					
		0.14%	0.00%	0.00%	0.27%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	1.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.71%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	17	0	0	0	0	1	0	0	2	0	0	10	0	0	0	0	0	0	3	0	1	0					
		0.04%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.11%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.07%	0.00%					
20	3.Политическая партия «Демократическая партия России»	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1554	58	56	35	37	62	150	36	26	92	101	137	45	74	127	105	92	23	177	76	39	6					
		3.92%	3.20%	2.87%	1.56%	1.49%	3.02%	6.89%	1.96%	1.42%	5.97%	3.80%	8.95%	2.58%	3.53%	6.40%	4.78%	4.49%	1.23%	9.08%	3.71%	2.76%	3.24%					
