Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва													
Дата голосования: 18.09.2016													
													
Наименование Избирательной комиссии:    Островнинская													
													
Сводная таблица итогов голосования по федеральному избирательному округу													
													
		Сумма	УИК №299	УИК №300									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	1319	655	664									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1305	670	635									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	62	62	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	481	230	251									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1	1	0									
6	Число погашенных избирательных бюллетеней	761	377	384									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	63	63	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	481	230	251									
9	Число недействительных избирательных бюллетеней	13	4	9									
10	Число действительных избирательных бюллетеней	531	289	242									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	18	9	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	13	5	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	5	4	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	20	12									
16	Число утраченных открепительных удостоверений	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0									
													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	9	5	4									
		1.65%	1.71%	1.59%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	13	8	5									
		2.39%	2.73%	1.99%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	5	2	3									
		0.92%	0.68%	1.20%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	289	159	130									
		53.13%	54.27%	51.79%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	2	2	0									
		0.37%	0.68%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	1	0									
		0.18%	0.34%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	142	75	67									
		26.10%	25.60%	26.69%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	2	2	0									
		0.37%	0.68%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3	1	2									
		0.55%	0.34%	0.80%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0									
		0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4	1	3									
		0.74%	0.34%	1.20%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	44	26	18									
		8.09%	8.87%	7.17%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1	1	0									
		0.18%	0.34%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	16	6	10									
		2.94%	2.05%	3.98%									
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
