Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																									
Дата голосования: 04.12.2011																									
																									
Наименование Избирательной комиссии:    Чудовская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527					
1	"Число избирателей, внесенных в список избирателей"	19072	690	132	67	545	1185	427	189	494	230	412	1036	1083	2457	2144	2117	1254	2600	2010					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18790	700	130	70	550	1200	450	190	500	250	450	1000	1000	2400	2100	2100	1200	2500	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9334	436	61	33	188	676	195	97	235	126	272	484	317	1237	1123	1094	545	1264	951					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	732	24	17	13	106	25	68	14	19	43	12	70	61	52	38	59	39	46	26					
6	Число погашенных избирательных бюллетеней	8724	240	52	24	256	499	187	79	246	81	166	446	622	1111	939	947	616	1190	1023					
7	Число избирательных бюллетеней в переносных ящиках для голосования	732	24	17	13	106	25	68	14	19	43	12	70	61	52	38	59	39	46	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9334	436	61	33	188	676	195	97	235	126	272	484	317	1237	1123	1094	545	1264	951					
9	Число недействительных избирательных бюллетеней	247	12	1	1	8	26	15	1	15	0	3	22	10	21	21	21	10	36	24					
10	Число действительных избирательных бюллетеней	9819	448	77	45	286	675	248	110	239	169	281	532	368	1268	1140	1132	574	1274	953					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	442	70	12	10	20	28	30	12	20	50	70	15	5	23	15	20	10	15	17					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	381	68	12	7	19	28	30	12	20	26	44	15	3	23	15	20	9	15	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	232	13	9	3	15	15	11	10	4	3	3	16	29	16	14	35	6	15	15					
14	Число погашенных неиспользованных открепительных удостоверений	61	2	0	3	1	0	0	0	0	24	26	0	2	0	0	0	1	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	0	0	0	2	0	0	0	3	0	0	1	15	3	5	14	4	1	8					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2460	89	13	5	59	172	46	14	37	23	17	89	84	376	358	316	147	362	253					
		24.44%	19.35%	16.67%	10.87%	20.07%	24.54%	17.49%	12.61%	14.57%	13.61%	5.99%	16.06%	22.22%	29.17%	30.84%	27.41%	25.17%	27.63%	25.90%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1255	74	10	5	54	115	37	22	49	17	12	82	32	176	125	120	69	132	124					
		12.47%	16.09%	12.82%	10.87%	18.37%	16.41%	14.07%	19.82%	19.29%	10.06%	4.23%	14.80%	8.47%	13.65%	10.77%	10.41%	11.82%	10.08%	12.69%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	87	4	3	0	6	8	1	0	1	0	0	5	1	9	12	10	6	8	13					
		0.86%	0.87%	3.85%	0.00%	2.04%	1.14%	0.38%	0.00%	0.39%	0.00%	0.00%	0.90%	0.26%	0.70%	1.03%	0.87%	1.03%	0.61%	1.33%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2024	83	12	9	52	155	44	21	39	13	20	67	60	260	227	233	153	344	232					
		20.11%	18.04%	15.38%	19.57%	17.69%	22.11%	16.73%	18.92%	15.35%	7.69%	7.04%	12.09%	15.87%	20.17%	19.55%	20.21%	26.20%	26.26%	23.75%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	232	0	0	1	13	11	5	2	6	0	1	8	10	26	25	45	10	36	33					
		2.30%	0.00%	0.00%	2.17%	4.42%	1.57%	1.90%	1.80%	2.36%	0.00%	0.35%	1.44%	2.65%	2.02%	2.15%	3.90%	1.71%	2.75%	3.38%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3722	198	39	25	99	213	114	51	106	116	230	278	181	419	388	403	186	383	293					
		36.98%	43.04%	50.00%	54.35%	33.67%	30.39%	43.35%	45.95%	41.73%	68.64%	80.99%	50.18%	47.88%	32.51%	33.42%	34.95%	31.85%	29.24%	29.99%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	39	0	0	0	3	1	1	0	1	0	1	3	0	2	5	5	3	9	5					
		0.39%	0.00%	0.00%	0.00%	1.02%	0.14%	0.38%	0.00%	0.39%	0.00%	0.35%	0.54%	0.00%	0.16%	0.43%	0.43%	0.51%	0.69%	0.51%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
