Выборы Президента Российской Федерации																																			
																																			
"Наименование Избирательной комиссии:    Калининград, Центральная"																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322					
1	"Число избирателей, внесенных в список"	63738	2536	2734	2696	2610	2275	1883	2314	1929	2313	1970	2554	2131	1252	2806	2715	2552	2732	2783	2277	2756	2414	1339	2311	2897	2278	2480	1518	683					
2	Число полученных избирательных бюллетеней	61500	2400	2700	2600	2500	2200	1800	2300	1900	2200	1900	2500	2100	1200	2800	2700	2400	2700	2700	2200	2700	2400	1200	2100	2700	2200	2400	1300	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	34542	1084	1527	1481	1361	1166	1066	1241	1096	1165	1101	1432	1163	702	1523	1493	1589	1522	1475	1201	1227	1335	639	1320	1397	1321	1457	776	682					
5	"Число избирательных бюллетеней, выданных вне помещения"	705	29	36	41	18	37	23	40	29	63	30	15	16	17	24	36	28	24	55	16	23	21	13	22	33	10	6	0	0					
6	Число погашенных избирательных бюллетеней	26253	1287	1137	1078	1121	997	711	1019	775	972	769	1053	921	481	1253	1171	783	1154	1170	983	1450	1044	548	758	1270	869	937	524	18					
7	Число избирательных бюллетеней в переносных ящиках	705	29	36	41	18	37	23	40	29	63	30	15	16	17	24	36	28	24	55	16	23	21	13	22	33	10	6	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	34514	1084	1525	1481	1361	1166	1066	1241	1094	1165	1100	1431	1162	701	1521	1492	1587	1518	1473	1201	1223	1335	636	1320	1397	1320	1457	776	681					
9	Число недействительных избирательных бюллетеней	230	7	14	7	10	12	5	5	11	3	4	5	4	8	12	6	11	14	10	6	6	6	5	5	27	7	8	8	4					
10	Число действительных избирательных бюллетеней	34989	1106	1547	1515	1369	1191	1084	1276	1112	1225	1126	1441	1174	710	1533	1522	1604	1528	1518	1211	1240	1350	644	1337	1403	1323	1455	768	677					
11	Число полученных открепительных  удостоверений	695	20	20	20	10	20	10	20	25	25	20	20	10	10	20	20	10	20	20	20	20	25	20	10	30	20	20	210	0					
12	Число выданных открепительных удостоверений	401	16	13	13	5	10	5	8	16	21	8	12	8	5	16	15	6	12	15	8	10	21	5	7	28	13	8	97	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	386	12	8	5	14	11	13	20	12	22	11	14	7	12	16	20	12	7	16	10	7	21	5	9	5	8	7	9	73					
14	Число неиспользованных открепительных удостоверений	294	4	7	7	5	10	5	12	9	4	12	8	2	5	4	5	4	8	5	12	10	4	15	3	2	7	12	113	0					
15	"Число открепительных удостоверений, выданных в ТИК"	318	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	148	0	0	0	0	0	0	165	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	2460	59	120	111	107	67	82	111	92	89	96	131	111	60	108	107	119	143	106	75	89	63	33	81	68	87	97	41	7					
		6.98%	5.30%	7.69%	7.29%	7.76%	5.57%	7.53%	8.67%	8.19%	7.25%	8.50%	9.06%	9.42%	8.36%	6.99%	7.00%	7.37%	9.27%	6.94%	6.16%	7.14%	4.65%	5.08%	6.04%	4.76%	6.54%	6.63%	5.28%	1.03%					
19	. Малышкин Олег Александрович	546	22	14	24	16	22	9	13	15	19	17	20	13	5	19	18	28	24	17	15	22	28	11	28	18	11	34	24	40					
		1.55%	1.98%	0.90%	1.58%	1.16%	1.83%	0.83%	1.01%	1.34%	1.55%	1.50%	1.38%	1.10%	0.70%	1.23%	1.18%	1.73%	1.56%	1.11%	1.23%	1.77%	2.06%	1.69%	2.09%	1.26%	0.83%	2.32%	3.09%	5.87%					
20	. Миронов Сергей Михайлович	444	15	24	20	14	18	19	14	21	18	18	17	12	9	22	19	15	15	17	31	20	13	10	5	14	9	20	13	2					
		1.26%	1.35%	1.54%	1.31%	1.02%	1.50%	1.74%	1.09%	1.87%	1.47%	1.59%	1.18%	1.02%	1.25%	1.42%	1.24%	0.93%	0.97%	1.11%	2.55%	1.61%	0.96%	1.54%	0.37%	0.98%	0.68%	1.37%	1.68%	0.29%					
21	. Путин Владимир Владимирович	22276	752	955	931	823	775	659	732	635	767	659	867	707	438	937	937	1072	920	987	782	814	836	402	967	1012	917	975	524	494					
		63.25%	67.57%	61.18%	61.17%	59.68%	64.42%	60.51%	57.14%	56.54%	62.46%	58.32%	59.96%	60.02%	61.00%	60.65%	61.32%	66.38%	59.66%	64.59%	64.26%	65.33%	61.65%	61.94%	72.06%	70.77%	68.95%	66.64%	67.53%	72.54%					
22	. Хакамада Ирина Муцуовна	2435	84	105	105	127	107	85	122	96	80	108	112	84	58	130	96	83	93	126	97	69	98	33	63	68	74	81	35	16					
		6.91%	7.55%	6.73%	6.90%	9.21%	8.89%	7.81%	9.52%	8.55%	6.51%	9.56%	7.75%	7.13%	8.08%	8.41%	6.28%	5.14%	6.03%	8.25%	7.97%	5.54%	7.23%	5.08%	4.69%	4.76%	5.56%	5.54%	4.51%	2.35%					
23	. Харитонов Николай Михайлович	4531	117	228	208	190	130	168	192	167	171	156	204	174	115	210	265	172	226	156	138	167	214	111	115	142	158	158	73	6					
		12.87%	10.51%	14.61%	13.67%	13.78%	10.81%	15.43%	14.99%	14.87%	13.93%	13.81%	14.11%	14.77%	16.02%	13.59%	17.34%	10.65%	14.66%	10.21%	11.34%	13.40%	15.78%	17.10%	8.57%	9.93%	11.88%	10.80%	9.41%	0.88%					
																																			
24	Против всех	2297	57	101	116	92	72	62	92	86	81	72	90	73	25	107	80	115	107	109	73	59	98	44	78	81	67	90	58	112					
		6.52%	5.12%	6.47%	7.62%	6.67%	5.99%	5.69%	7.18%	7.66%	6.60%	6.37%	6.22%	6.20%	3.48%	6.93%	5.24%	7.12%	6.94%	7.13%	6.00%	4.74%	7.23%	6.78%	5.81%	5.66%	5.04%	6.15%	7.47%	16.45%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
