Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																	
Дата голосования: 02.12.2007																																	
																																	
Наименование Избирательной комиссии:    Лиманская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296					
1	"Число избирателей, внесенных в списки избирателей"	24437	1542	1892	2137	1512	364	1449	1135	1171	1618	726	89	154	165	1144	517	179	912	2047	1524	754	549	224	1376	456	555	246					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24035	1500	1800	2000	1500	350	1400	1000	1200	1500	700	85	155	155	1100	550	195	950	2050	1500	850	580	225	1400	490	550	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	97	0	0	0	0	0	31	0	0	0	0	0	0	0	45	0	0	0	21	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14588	841	1103	1335	883	230	805	685	638	927	491	67	127	133	659	338	155	601	1308	740	426	385	126	783	324	314	164					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1850	72	96	56	108	19	110	50	189	147	30	18	16	12	49	43	22	58	112	209	106	54	48	118	30	62	16					
6	Число погашенных избирательных бюллетеней	7500	587	601	609	509	101	454	265	373	426	179	0	12	10	347	169	18	291	609	551	318	141	51	499	136	174	70					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1947	72	96	56	108	19	141	50	189	147	30	18	16	12	94	43	22	58	133	209	106	54	48	118	30	62	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14577	841	1103	1335	883	230	800	685	638	926	490	67	127	133	659	338	155	599	1308	738	426	385	126	783	324	314	164					
9	Число недействительных избирательных бюллетеней	220	6	48	10	8	4	5	3	14	14	10	0	0	0	7	9	3	10	19	15	6	7	2	9	2	5	4					
10	Число действительных избирательных бюллетеней	16304	907	1151	1381	983	245	936	732	813	1059	510	85	143	145	746	372	174	647	1422	932	526	432	172	892	352	371	176					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	207	6	10	5	19	2	13	13	19	17	8	0	2	2	6	6	2	11	6	20	5	5	0	13	12	3	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	202	5	10	5	19	2	13	12	18	17	8	0	1	1	6	6	2	11	6	20	5	5	0	13	12	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	151	3	13	9	13	2	6	6	7	6	3	0	1	4	9	4	2	3	13	13	6	7	0	13	7	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	5	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	143	13	16	23	8	1	7	6	7	4	4	0	0	0	8	0	1	5	9	9	8	5	1	4	1	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
