Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Княжпогостская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК  419					
1	"Число избирателей, внесенных в списки"	19545	352	506	45	1312	741	1467	2444	2149	1773	1288	932	271	263	56	88	261	61	246	342	85	210	905	353	166	1777	257	277	846	72					
2	"Число бюллетеней, полученных участковыми комиссиями"	19411	350	470	50	1280	700	1450	2520	2105	1705	1270	970	265	280	64	83	260	57	255	345	94	197	925	355	168	1770	255	275	820	73					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10113	148	278	29	576	333	664	1415	1202	888	611	415	112	156	27	38	125	42	159	149	60	138	450	226	117	939	134	180	472	30					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	581	26	39	7	10	13	6	42	30	16	60	5	29	32	18	15	15	11	35	20	2	6	21	10	7	51	10	0	25	20					
6	Число погашенных бюллетеней	8717	176	153	14	694	354	780	1063	873	801	599	550	124	92	19	30	120	4	61	176	32	53	454	119	44	780	111	95	323	23					
7	Число бюллетеней в переносных ящиках для голосования	581	26	39	7	10	13	6	42	30	16	60	5	29	32	18	15	15	11	35	20	2	6	21	10	7	51	10	0	25	20					
8	Число бюллетеней в стационарных ящиках для голосования	10111	148	278	29	576	333	664	1413	1202	888	611	415	112	156	27	38	125	42	159	149	60	138	450	226	117	939	134	180	472	30					
9	Число недействительных бюллетеней	108	2	4	0	1	4	6	4	10	5	6	9	2	1	0	0	4	1	1	5	3	5	11	1	3	7	5	2	6	0					
10	Число действительных бюллетеней	10584	172	313	36	585	342	664	1451	1222	899	665	411	139	187	45	53	136	52	193	164	59	139	460	235	121	983	139	178	491	50					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	238	5	5	5	5	2	10	13	10	10	10	10	5	22	1	5	5	5	10	5	5	10	10	10	5	20	5	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	102	2	2	1	0	2	5	13	9	8	4	2	3	18	1	1	3	0	3	1	0	2	1	0	3	12	1	1	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	107	1	32	0	3	3	2	14	1	3	1	1	1	0	2	3	0	1	1	1	1	14	1	8	0	6	2	0	3	2					
14	Число погашенных открепительных удостоверений	136	3	3	4	5	0	5	0	1	2	6	8	2	4	0	4	2	5	7	4	5	8	9	10	2	8	4	9	8	8					
15	Число открепительных удостоверений выданных ТИК	12	0	0	0	0	1	2	2	1	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	"1. ""ЕДИНЕНИЕ"""	125	4	7	4	8	1	8	9	12	6	6	3	4	1	1	1	1	0	3	2	0	1	7	2	2	18	3	1	9	1					
		1.16%	2.29%	2.20%	11.11%	1.36%	0.28%	1.19%	0.61%	0.97%	0.66%	0.89%	0.71%	2.83%	0.53%	2.22%	1.88%	0.71%	0.0%	1.54%	1.18%	0.0%	0.69%	1.48%	0.84%	1.61%	1.81%	2.08%	0.55%	1.81%	2.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	189	6	3	7	3	4	5	25	18	20	11	12	2	4	0	0	1	1	1	2	0	1	4	2	3	46	2	1	5	0					
		1.76%	3.44%	0.94%	19.44%	0.51%	1.15%	0.74%	1.71%	1.46%	2.21%	1.63%	2.85%	1.41%	2.12%	0.0%	0.0%	0.71%	1.88%	0.51%	1.18%	0.0%	0.69%	0.84%	0.84%	2.41%	4.64%	1.38%	0.55%	1.00%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	378	8	12	1	34	16	24	51	32	31	16	13	1	15	0	0	10	4	6	10	1	3	23	10	7	22	5	6	17	0					
		3.53%	4.59%	3.78%	2.77%	5.80%	4.62%	3.58%	3.50%	2.59%	3.42%	2.38%	3.09%	0.70%	7.97%	0.0%	0.0%	7.14%	7.54%	3.09%	5.91%	1.61%	2.08%	4.88%	4.23%	5.64%	2.22%	3.47%	3.33%	3.42%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	243	5	10	0	17	8	9	44	41	41	7	2	3	0	0	0	3	1	0	1	1	0	18	2	3	17	4	0	6	0					
		2.27%	2.87%	3.15%	0.0%	2.90%	2.31%	1.34%	3.02%	3.32%	4.53%	1.04%	0.47%	2.12%	0.0%	0.0%	0.0%	2.14%	1.88%	0.0%	0.59%	1.61%	0.0%	3.82%	0.84%	2.41%	1.71%	2.77%	0.0%	1.20%	0.0%					
22	"5. ""За Русь Святую"""	50	1	3	0	5	2	0	3	5	9	5	1	0	0	1	1	0	0	1	2	0	0	1	3	0	2	1	0	4	0					
		0.46%	0.57%	0.94%	0.0%	0.85%	0.57%	0.0%	0.20%	0.40%	0.99%	0.74%	0.23%	0.0%	0.0%	2.22%	1.88%	0.0%	0.0%	0.51%	1.18%	0.0%	0.0%	0.21%	1.27%	0.0%	0.20%	0.69%	0.0%	0.80%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	24	0	1	0	1	1	0	6	2	2	2	1	0	0	0	0	2	0	0	0	1	0	1	1	0	2	0	0	0	1					
		0.22%	0.0%	0.31%	0.0%	0.17%	0.28%	0.0%	0.41%	0.16%	0.22%	0.29%	0.23%	0.0%	0.0%	0.0%	0.0%	1.42%	0.0%	0.0%	0.0%	1.61%	0.0%	0.21%	0.42%	0.0%	0.20%	0.0%	0.0%	0.0%	2.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	63	1	0	0	3	1	5	7	12	4	6	0	0	0	0	0	0	0	0	2	0	0	1	3	0	14	0	0	4	0					
		0.58%	0.57%	0.0%	0.0%	0.51%	0.28%	0.74%	0.48%	0.97%	0.44%	0.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.18%	0.0%	0.0%	0.21%	1.27%	0.0%	1.41%	0.0%	0.0%	0.80%	0.0%					
25	"8. ""Народно-республиканская партия России"""	17	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	1	0	1	3	1	0	2	1	1	2	0					
		0.15%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	1.42%	0.0%	0.0%	0.59%	0.0%	0.69%	0.63%	0.42%	0.0%	0.20%	0.69%	0.55%	0.40%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	36	1	4	0	0	2	0	6	3	1	1	1	0	1	0	0	2	0	0	1	1	0	1	0	0	7	1	0	2	1					
		0.33%	0.57%	1.26%	0.0%	0.0%	0.57%	0.0%	0.41%	0.24%	0.11%	0.14%	0.23%	0.0%	0.53%	0.0%	0.0%	1.42%	0.0%	0.0%	0.59%	1.61%	0.0%	0.21%	0.0%	0.0%	0.70%	0.69%	0.0%	0.40%	2.0%					
27	"10. ""Аграрная партия России"""	219	3	17	4	4	2	4	21	19	21	35	8	3	2	1	5	3	2	2	4	1	6	9	3	1	15	3	2	17	2					
		2.04%	1.72%	5.36%	11.11%	0.68%	0.57%	0.59%	1.44%	1.54%	2.32%	5.21%	1.90%	2.12%	1.06%	2.22%	9.43%	2.14%	3.77%	1.03%	2.36%	1.61%	4.16%	1.91%	1.27%	0.80%	1.51%	2.08%	1.11%	3.42%	4.0%					
28	"11. ""Истинные патриоты России"""	13	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	5	0	0	0	0					
		0.12%	0.0%	0.31%	0.0%	0.17%	0.0%	0.14%	0.06%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.22%	0.0%	0.0%	0.0%	0.80%	0.50%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	244	2	10	0	14	9	21	34	44	21	18	6	4	4	1	6	8	0	1	3	2	2	8	1	1	12	2	1	9	0					
		2.28%	1.14%	3.15%	0.0%	2.38%	2.60%	3.13%	2.33%	3.57%	2.32%	2.68%	1.42%	2.83%	2.12%	2.22%	11.32%	5.71%	0.0%	0.51%	1.77%	3.22%	1.38%	1.69%	0.42%	0.80%	1.21%	1.38%	0.55%	1.81%	0.0%					
30	"13. ""Демократическая партия России"""	36	1	2	0	0	2	1	5	1	3	0	5	1	0	2	0	0	0	0	1	0	1	2	2	0	4	2	1	0	0					
