Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																
Дата голосования: 07.12.2003 0:00:00																																																																
																																																																
Наименование Избирательной комиссии:    Красносулинская																																																																
																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																
																																																																
		Сумма	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2537					
1	"Число избирателей, внесенных в списки"	62955	2322	1616	2095	1685	1070	998	1016	1063	1529	1948	451	2066	2135	1562	1197	1749	2127	1611	2077	1379	1239	1110	1376	1600	431	950	1850	722	855	392	2106	714	2685	371	538	671	500	670	223	1685	572	381	1017	468	388	417	339	577	321	1545	480	517	1891	236	963	272	187					
2	"Число бюллетеней, полученных участковыми комиссиями"	62194	2276	1591	2059	1645	1042	973	1001	1046	1509	1948	441	2043	2097	1525	1173	1706	2106	1584	2075	1349	1221	1104	1359	1556	429	957	1850	742	884	391	2068	700	2649	362	556	661	494	692	221	1647	592	377	1010	468	380	439	323	578	311	1520	473	516	1840	228	943	267	197					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	27652	1039	505	619	668	303	312	373	445	572	701	156	805	801	538	421	767	840	613	763	423	461	406	653	520	307	650	803	426	489	177	1113	438	1485	166	364	395	256	357	141	910	308	186	538	285	179	237	163	309	224	867	271	262	836	102	481	129	94					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2511	78	71	56	124	77	20	55	34	112	140	25	38	129	66	40	35	119	56	45	127	42	33	60	73	13	24	77	24	13	0	0	0	0	58	34	0	23	0	0	101	63	69	46	23	0	0	32	10	0	26	21	14	0	44	68	19	54					
6	Число погашенных бюллетеней	32031	1159	1015	1384	853	662	641	573	567	825	1107	260	1200	1167	921	712	904	1147	915	1267	799	718	665	646	963	109	283	970	292	382	214	955	262	1164	138	158	266	215	335	80	636	221	122	426	160	201	202	128	259	87	627	181	240	1004	82	394	119	49					
7	Число бюллетеней в переносных ящиках для голосования	2511	78	71	56	124	77	20	55	34	112	140	25	38	129	66	40	35	119	56	45	127	42	33	60	73	13	24	77	24	13	0	0	0	0	58	34	0	23	0	0	101	63	69	46	23	0	0	32	10	0	26	21	14	0	44	68	19	54					
8	Число бюллетеней в стационарных ящиках для голосования	27650	1038	505	619	668	303	312	373	445	572	701	156	805	801	538	421	767	840	613	762	423	461	406	653	520	307	650	803	426	489	177	1113	438	1485	166	364	395	256	357	141	910	308	186	538	285	179	237	163	309	224	867	271	262	836	102	481	129	94					
9	Число недействительных бюллетеней	308	9	7	10	6	3	1	7	0	0	28	4	9	9	5	6	2	8	3	10	10	4	6	4	3	1	3	10	7	20	4	16	1	13	2	8	0	6	2	0	2	0	0	2	6	0	1	0	4	0	8	5	5	17	0	6	5	0					
10	Число действительных бюллетеней	29853	1107	569	665	786	377	331	421	479	684	813	177	834	921	599	455	800	951	666	797	540	499	433	709	590	319	671	870	443	482	173	1097	437	1472	222	390	395	273	355	141	1009	371	255	582	302	179	236	195	315	224	885	287	271	819	146	543	143	148					
